sampleName	clusterName	bam
270502_S0_L001	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/270502_S0_L001.sorted.dedup.bam
304955_S0_L001	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/304955_S0_L001.sorted.dedup.bam
278106_S0_L001	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/278106_S0_L001.sorted.dedup.bam
304944_S0_L001	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/304944_S0_L001.sorted.dedup.bam
313308_S0_L001	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/313308_S0_L001.sorted.dedup.bam
2792020_S32_L003	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2792020_S32_L003.sorted.dedup.bam
2781090_S41_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2781090_S41_L003.sorted.dedup.bam
2858490_S0_L001	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2858490_S0_L001.sorted.dedup.bam
2811610_S33_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2811610_S33_L003.sorted.dedup.bam
2705020_S0_L001	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2705020_S0_L001.sorted.dedup.bam
2858810_S31_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2858810_S31_L003.sorted.dedup.bam
2781080_S30_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2781080_S30_L003.sorted.dedup.bam
2705010_S40_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2705010_S40_L003.sorted.dedup.bam
2858800_S38_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2858800_S38_L003.sorted.dedup.bam
3049430_S42_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/3049430_S42_L003.sorted.dedup.bam
2705000_S0_L001	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2705000_S0_L001.sorted.dedup.bam
3049380_S0_L001	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/3049380_S0_L001.sorted.dedup.bam
2792010_S0_L001	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2792010_S0_L001.sorted.dedup.bam
3013500_S34_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/3013500_S34_L003.sorted.dedup.bam
2811630_S35_L003	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2811630_S35_L003.sorted.dedup.bam
2792040_S0_L001	c1	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2792040_S0_L001.sorted.dedup.bam
2781020_S37_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/2781020_S37_L003.sorted.dedup.bam
3049400_S39_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/3049400_S39_L003.sorted.dedup.bam
3049450_S36_L003	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/3049450_S36_L003.sorted.dedup.bam
m329861_S198	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m329861_S198.sorted.dedup.bam
m329883_S194	c1	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m329883_S194.sorted.dedup.bam
m344004_S196	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m344004_S196.sorted.dedup.bam
m344001_S207	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m344001_S207.sorted.dedup.bam
m329885_S199	c2	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m329885_S199.sorted.dedup.bam
m329865_S206	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m329865_S206.sorted.dedup.bam
m318978_S195	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m318978_S195.sorted.dedup.bam
m318979_S197	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m318979_S197.sorted.dedup.bam
m313309_S193	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m313309_S193.sorted.dedup.bam
m318986_S33	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m318986_S33_sorted.dedup.bam
m334087_S35	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m334087_S35_sorted.dedup.bam
m357484_S37	c1	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m357484_S37_sorted.dedup.bam
m357486_S34	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m357486_S34_sorted.dedup.bam
m357488_S36	c3	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m357488_S36_sorted.dedup.bam
m364088_S38	c1	/data/SCLCgenomics/CCBR_analysis/ATAC_bams/m364088_S38_sorted.dedup.bam
