rna_sample_id	atac_sample_id	pdx_rank3
Sample_1_270501_1_P1	2705010_S40_L003	cluster3
Sample_6_270502_P1	2705020_S0_L001	cluster2
Sample_6_270502_P1	270502_S0_L001	cluster2
Sample_7_278102_P3	2781020_S37_L003	cluster3
Sample_4_278106_P2	278106_S0_L001	cluster2
Sample_8_278108_P1	2781080_S30_L003	cluster3
Sample_9_278109_P1	2781090_S41_L003	cluster3
Sample_10_279201_P1	2792010_S0_L001	cluster3
Sample_3_279202_P3	2792020_S32_L003	cluster2
Sample_12_279204_P1	2792040_S0_L001	cluster1
Sample_5_281161_P3	2811610_S33_L003	cluster3
Sample_13_281163_P1	2811630_S35_L003	cluster2
Sample_14_285849_P1	2858490_S0_L001	cluster3
Sample_15_285880_P1	2858800_S38_L003	cluster3
Sample_11_285881_P3	2858810_S31_L003	cluster3
Sample_1_301350_P3	3013500_S34_L003	cluster3
Sample_4_304938_P3	3049380_S0_L001	cluster2
Sample_2_304940_P3	3049400_S39_L003	cluster3
Sample_5_304943_P3	3049430_S42_L003	cluster3
Sample_3_304944_P3	304944_S0_L001	cluster2
Sample_6_304945_P3	3049450_S36_L003	cluster3
Sample_7_304955_P1	304955_S0_L001	cluster2
Sample_8_313308_P3	313308_S0_L001	cluster2
Sample_1_313309_P1	m313309_S193	cluster3
Sample_3_318978_P1	m318978_S195	cluster3
Sample_5_318979_P1	m318979_S197	cluster3
Sample_7_318986_P1	m318986_S33	cluster3
Sample_9_329861_P1	m329861_S198	cluster2
Sample_11_329865_P1	m329865_S206	cluster3
Sample_2_329883_P3	m329883_S194	cluster1
Sample_10_329885_P3	m329885_S199	cluster2
Sample_13_334087_P1	m334087_S35	cluster3
Sample_12_344001_P3	m344001_S207	cluster3
Sample_4_344004_P3	m344004_S196	cluster3
Sample_15_357484_P1	m357484_S37	cluster1
Sample_8_357486_P3	m357486_S34	cluster3
Sample_14_357488_P3	m357488_S36	cluster3
Sample_16_364088_P3	m364088_S38	cluster1
