Sample_ID,Genral Biopsy Site,"PDX Generation (1,2,3)",ATAC data (Y/N),ATAC_ID,Matching Bulk RNA (Y/N),Matching Bulk RNA ID,"Cluster (nmf, rank=3)"
270500,Lymph,P1,Y,2705000,N,N,cluster3
270501,Liver,P1,Y,2705010,Y,1_270501_1_P1/2_270501_2_p1,cluster3
270502,Liver,P1,Y,2705020,Y,6_270502_P1,cluster2
278102,Liver,P3,Y,2781020,Y,7_278102_P3,cluster3
278108,Liver,P1,Y,2781080,Y,8_278108_P1,cluster3
278109,Liver,P1,Y,2781090,Y,9_278109_P1,cluster3
279201,Lymph,P1,Y,2792010,Y,10_279201_P1,cluster3
279202,Liver,P3,Y,2792020,Y,Sample_3_279202_P3,cluster2
279204,Liver,P1,Y,2792040,Y,Sample_12_279204_P1,cluster1
281161,Lymph,P3,Y,2811610,Y,5_281161_P3,cluster3
281163,Liver,P1,Y,2811630,Y,13_281163_P1,cluster2
285849,Liver,P1,Y,2858490,Y,14_285849_P1,cluster3
285880,Liver,P1,Y,2858800,Y,15_285880_P1,cluster3
285881,Lymph,P3,Y,2858810,Y,Sample_11_285881_P3,cluster3
301350,Liver,P3,Y,3013500,Y,1_301350_P3,cluster3
304938,Liver,P3,Y,3049380,Y,4_304938_P3,cluster2
304940,Liver,P3,Y,3049400,Y,2_304940_P3,cluster3
304943,Liver,P3,Y,3049430,Y,Sample_5_304943_P3,cluster3
304945,Liver,P3,Y,3049450,N,N,cluster3
278106,Lymph,P2,Y,278106,Y,4_278106_P2,cluster2
270502,Liver,P1,Y,270502,Y,6_270502_P1,cluster2
304944,Liver,P3,Y,304944,N,N,cluster2
304955,Lymph,P1,Y,304955,N,N,cluster2
313308,Lymph,P3,Y,313308,N,N,cluster2
313309,Lymph,P1,Y,m313309_S193,N,N,cluster3
318978,Lymph,P1,Y,m318978_S195,N,N,cluster3
318979,Adrenal,P1,Y,m318979_S197,N,N,cluster3
329861,Lymph,P1,Y,m329861_S198,Y,Sample_48_ASP19_05374,cluster2
329865,Liver,P1,Y,m329865_S206,N,N,cluster3
329883,Liver,P3,Y,m329883_S194,N,N,cluster1
329885,Lymph,P3,Y,m329885_S199,Y,Sample_48_ASP19_05374,cluster2
344001,Liver,P3,Y,m344001_S207,N,N,cluster3
344004,Lymph,P3,Y,m344004_S196,N,N,cluster3
357488,?,P3,Y,m357488_S36,Y,357488_P3,cluster3
357484,?,P1,Y,m357484_S37,Y,357484_P1,cluster1
357486,?,P3,Y,m357486_S34,Y,357486_P3,cluster3
318986,?,P1,Y,m318986_S33,Y,318986_P1,cluster3
334087,?,P1,Y,m334087_S35,Y,334087_P1,cluster3
364088,?,P3,Y,m364088_S38,Y,364088_P3,cluster1
