atac_id_meta	rna_id_meta	rna_id	atac_id	atac_id_sample	rna_id_sample
2792040	Sample_12_279204_P1	279204_P1	2792040	2792040_S0_L001	Sample_12_279204_P1
m329883_S194	2_329883_P3	329883_P3	m329883	m329883_S194	Sample_2_329883_P3
m357484_S37	357484_P1	357484_P1	m357484	m357484_S37	Sample_15_357484_P1
m364088_S38	364088_P3	364088_P3	m364088	m364088_S38	Sample_16_364088_P3
2792020	Sample_3_279202_P3	279202_P3	2792020	2792020_S32_L003	Sample_3_279202_P3
278106	4_278106_P2	278106_P2	278106	278106_S0_L001	Sample_4_278106_P2
2705020	6_270502_P1	270502_P1	2705020	2705020_S0_L001	Sample_6_270502_P1
270502	6_270502_P1	270502_P1	270502	270502_S0_L001	Sample_6_270502_P1
2811630	13_281163_P1	281163_P1	2811630	2811630_S35_L003	Sample_13_281163_P1
3049380	4_304938_P3	304938_P3	3049380	3049380_S0_L001	Sample_4_304938_P3
m329861_S198	Sample_48_ASP19_05374	ASP19_05374	m329861	m329861_S198	NA
m329885_S199	Sample_48_ASP19_05374	ASP19_05374	m329885	m329885_S199	NA
2705010	1_270501_1_P1	270501_1_P1	2705010	2705010_S40_L003	Sample_1_270501_1_P1
2705010	2_270501_2_p1	270501_2_p1	2705010	2705010_S40_L003	NA
2811610	5_281161_P3	281161_P3	2811610	2811610_S33_L003	Sample_5_281161_P3
2781020	7_278102_P3	278102_P3	2781020	2781020_S37_L003	Sample_7_278102_P3
2781080	8_278108_P1	278108_P1	2781080	2781080_S30_L003	Sample_8_278108_P1
3013500	1_301350_P3	301350_P3	3013500	3013500_S34_L003	Sample_1_301350_P3
2781090	9_278109_P1	278109_P1	2781090	2781090_S41_L003	Sample_9_278109_P1
3049400	2_304940_P3	304940_P3	3049400	3049400_S39_L003	Sample_2_304940_P3
2792010	10_279201_P1	279201_P1	2792010	2792010_S0_L001	Sample_10_279201_P1
2858810	Sample_11_285881_P3	285881_P3	2858810	2858810_S31_L003	Sample_11_285881_P3
2858490	14_285849_P1	285849_P1	2858490	2858490_S0_L001	Sample_14_285849_P1
2858800	15_285880_P1	285880_P1	2858800	2858800_S38_L003	Sample_15_285880_P1
3049430	Sample_5_304943_P3	304943_P3	3049430	3049430_S42_L003	Sample_5_304943_P3
m313309_S193	1_313309_P1	313309_P1	m313309	m313309_S193	Sample_1_313309_P1
m318978_S195	3_318978_P1	318978_P1	m318978	m318978_S195	Sample_3_318978_P1
m344004_S196	4_344004_P3	344004_P3	m344004	m344004_S196	Sample_4_344004_P3
m318979_S197	5_318979_P1	318979_P1	m318979	m318979_S197	Sample_5_318979_P1
m357486_S34	357486_P3	357486_P3	m357486	m357486_S34	Sample_8_357486_P3
m318986_S33	318986_P1	318986_P1	m318986	m318986_S33	Sample_7_318986_P1
m329865_S206	11_329865_P1	329865_P1	m329865	m329865_S206	Sample_11_329865_P1
m344001_S207	12_344001_P3	344001_P3	m344001	m344001_S207	Sample_12_344001_P3
m357488_S36	357488_P3	357488_P3	m357488	m357488_S36	Sample_14_357488_P3
m334087_S35	334087_P1	334087_P1	m334087	m334087_S35	Sample_13_334087_P1
NA	NA	NA	304955	304955_S0_L001	NA
NA	NA	NA	304944	304944_S0_L001	NA
NA	NA	NA	313308	313308_S0_L001	NA
NA	NA	NA	2705000	2705000_S0_L001	NA
NA	NA	NA	3049450	3049450_S36_L003	NA
NA	NA	304944_P3	NA	NA	Sample_3_304944_P3
NA	NA	304945_P3	NA	NA	Sample_6_304945_P3
NA	NA	304955_P1	NA	NA	Sample_7_304955_P1
NA	NA	313308_P3	NA	NA	Sample_8_313308_P3
NA	NA	329861_P1	NA	NA	Sample_9_329861_P1
NA	NA	329885_P3	NA	NA	Sample_10_329885_P3
