Sample	cluster
Sample_12_279204_P1	cluster1
Sample_2_329883_P3	cluster1
Sample_15_357484_P1	cluster1
Sample_16_364088_P3	cluster1
Sample_3_279202_P3	cluster2
Sample_4_278106_P2	cluster2
Sample_6_270502_P1	cluster2
Sample_13_281163_P1	cluster2
Sample_4_304938_P3	cluster2
Sample_48_ASP19_05374	cluster2
Sample_1_270501_1_P1	cluster3
Sample_5_281161_P3	cluster3
Sample_7_278102_P3	cluster3
Sample_8_278108_P1	cluster3
Sample_1_301350_P3	cluster3
Sample_9_278109_P1	cluster3
Sample_2_304940_P3	cluster3
Sample_10_279201_P1	cluster3
Sample_11_285881_P3	cluster3
Sample_14_285849_P1	cluster3
Sample_15_285880_P1	cluster3
Sample_5_304943_P3	cluster3
Sample_1_313309_P1	cluster3
Sample_3_318978_P1	cluster3
Sample_4_344004_P3	cluster3
Sample_5_318979_P1	cluster3
Sample_8_357486_P3	cluster3
Sample_7_318986_P1	cluster3
Sample_11_329865_P1	cluster3
Sample_12_344001_P3	cluster3
Sample_14_357488_P3	cluster3
Sample_13_334087_P1	cluster3
