sample_id	NE10	NE_score	NonNE_score	NE50	Type	ASCL1	NEUROD1	POU2F3	YAP1	Subtype	ATAC_Id	generation	rank3
Sample_12_279204_P1	0.523308683	0.412161326	-0.316672648	0.728833974	NE	0.566371117	-0.656246843	-0.458716085	-0.263645362	ASCL1	2792040	P1	cluster1
Sample_2_329883_P3	0.042262577	0.215830989	0.122135158	0.093695831	NE	-0.593213196	-0.398923119	-0.455559412	-0.68418062	ASCL1	m329883_S194	P1	cluster1
Sample_15_357484_P1	0.024696568	-0.038786951	0.303451925	-0.342238877	Non-NE	-1.551472752	-0.656246843	-0.477615711	3.709770485	YAP1	m357484_S37	P3	cluster1
Sample_16_364088_P3	0.02814538	-0.189236659	0.14596873	-0.335205388	Non-NE	-1.551472752	-0.656246843	-0.340911433	0.435359909	YAP1	m364088_S38	P3	cluster1
Sample_3_279202_P3	0.031393846	0.042671036	-0.150395892	0.193066927	Non-NE	-1.093521885	-0.318787043	-0.399175832	0.349903473	YAP1	2792020	P1	cluster2
Sample_4_278106_P2	0.260507136	0.332836991	-0.356558012	0.689395002	NE	0.887508747	-0.537422113	-0.491549135	-0.349840933	ASCL1	278106	P2	cluster2
Sample_6_270502_P1	-0.16434347	-0.133405753	-0.089775276	-0.043630477	Non-NE	-1.551472752	-0.656246843	2.964966905	0.919672397	POU2F3	2705020	P1	cluster2
Sample_13_281163_P1	-0.109210479	-0.146860876	-0.015937214	-0.130923661	Non-NE	-1.522644375	-0.642924762	1.765757578	-0.205323224	POU2F3	2811630	P1	cluster2
Sample_4_304938_P3	-0.1282606	-0.1587675	0.138029034	-0.296796535	Non-NE	-1.505510931	-0.656246843	1.834355065	1.727091323	POU2F3	3049380	P3	cluster2
Sample_1_270501_1_P1	0.116018892	0.145328913	0.061023453	0.084305459	Non-NE	-0.345511505	-0.348725003	-0.362021455	3.217419205	YAP1	281163	P1	cluster3
Sample_5_281161_P3	0.290463248	0.396337034	-0.442845577	0.839182611	NE	0.914636608	-0.638801929	-0.492236856	-0.303468971	ASCL1	2811610	P3	cluster3
Sample_7_278102_P3	-0.116515899	-0.023940562	-0.144395916	0.120455354	Non-NE	-1.551472752	-0.267281112	2.949117037	0.590917406	POU2F3	2781020	P3	cluster3
Sample_8_278108_P1	0.321994755	0.336905951	-0.384670781	0.721576731	NE	0.456596819	0.336905705	-0.47089552	-0.333225207	ASCL1	2781080	P1	cluster3
Sample_1_301350_P3	0.381656814	0.370151744	-0.344004996	0.714156741	NE	0.747512171	0.831432212	-0.459724392	0.066805062	NEUROD1	3013500	P3	cluster3
Sample_9_278109_P1	0.557154423	0.361327948	-0.394662766	0.755990714	NE	0.856960499	3.764550304	-0.485049184	-0.646264171	ASCL1	278109	P1	cluster3
Sample_2_304940_P3	0.506204333	0.348676811	-0.40811713	0.756793941	NE	0.97059136	3.015632705	-0.394304791	-0.620083853	ASCL1	3049400	P3	cluster3
Sample_10_279201_P1	0.472637904	0.371766277	-0.260464045	0.632230322	NE	0.905176873	1.344826543	-0.481693437	-0.60515773	ASCL1	2792010	P1	cluster3
Sample_11_285881_P3	0.387894091	0.338209555	-0.331181064	0.669390619	NE	0.501923459	0.140336343	-0.47993283	-0.634467331	ASCL1	2858810	P3	cluster3
Sample_14_285849_P1	0.457083085	0.400894491	-0.369634052	0.770528543	NE	0.421444643	-0.497432101	-0.45643385	-0.292853322	ASCL1	2858490	P1	cluster3
Sample_15_285880_P1	0.496150328	0.477197345	-0.409821261	0.887018606	NE	0.549903848	-0.292167435	-0.485029908	-0.450959572	ASCL1	2858800	P1	cluster3
