gene_name,cluster_id,A_diff,E_diff,data,O_diff,rank_A_diff,rank_E_diff,rank_O_diff,rank_sum,TF_rank,outdegree,expression,accessibility
LHX2,c3,2.029640896332007,3.1834584444353147,,9.555583347145511,5,2,1,8,1,9.555583347145511,3.1834584444353147,2.029640896332007
CEBPA,c2,2.350981745408996,4.00292330083008,,9.310927207700848,7,3,4,14,1,9.310927207700848,4.00292330083008,2.350981745408996
TFEB,c1,8.338362122795644,1.8165056342798067,,9.296962641804157,7,7,1,15,1,9.296962641804157,1.8165056342798067,8.338362122795644
RUNX3,c1,9.335248696824664,2.077205433975059,,8.772643412821957,5,3,7,15,2,8.772643412821957,2.077205433975059,9.335248696824664
RFX2,c3,2.0774781149982418,3.4356582985034163,,8.150787033674415,4,1,10,15,2,8.150787033674415,3.4356582985034163,2.0774781149982418
CEBPB,c2,2.164676357932874,2.502505306977553,,9.535938640378452,8,7,1,16,2,9.535938640378452,2.502505306977553,2.164676357932874
JUNB,c1,10.854537946291096,2.0265488559750655,,8.559958211748448,3,4,10,17,3,8.559958211748448,2.0265488559750655,10.854537946291096
ATF4,c2,-1.0291790824068363,2.708331509815796,,9.361595981660003,11,5,3,19,3,9.361595981660003,2.708331509815796,-1.0291790824068363
TGIF1,c3,5.340967194516573,-2.0068276449692535,,8.534274874519053,1,16,6,23,3,8.534274874519053,-2.0068276449692535,5.340967194516573
FOSL2,c2,5.16486186214173,1.7223631017374283,,8.78393404760925,1,13,6,20,4,8.78393404760925,1.7223631017374283,5.16486186214173
IRF7,c1,9.979774447786209,2.00538470774385,,8.53526325522246,4,5,11,20,4,8.53526325522246,2.00538470774385,9.979774447786209
USF1,c3,1.4661219541758836,-1.610191121669926,,8.530535244472471,7,11,7,25,4,8.530535244472471,-1.610191121669926,1.4661219541758836
REL,c2,4.626464097434221,2.1944687626798243,,7.928536260992575,2,8,12,22,5,7.928536260992575,2.1944687626798243,4.626464097434221
MEF2D,c1,4.7709201565124175,1.4205194866608575,,9.033194099535635,9,10,4,23,5,9.033194099535635,1.4205194866608575,4.7709201565124175
RORA,c3,1.9241722298580033,2.0861589785796455,,7.75715661030763,6,7,16,29,5,7.75715661030763,2.0861589785796455,1.9241722298580033
NFKB2,c2,3.973581044658822,5.956927680225959,,7.694785081473912,4,2,16,22,6,7.694785081473912,5.956927680225959,3.973581044658822
SRF,c1,-0.2163281132867534,2.487110776071262,,8.808158997129583,16,2,5,23,6,8.808158997129583,2.487110776071262,-0.2163281132867534
E2F2,c3,1.1044797055602018,2.1230216552844214,,7.6781031892694775,8,6,17,31,6,7.6781031892694775,2.1230216552844214,1.1044797055602018
IRF2,c1,12.710221988848257,1.6698460083734252,,7.953434217666551,2,8,13,23,7,7.953434217666551,1.6698460083734252,12.710221988848257
JUND,c2,4.4822004957836326,-1.7264275952681498,,8.463566130927184,3,19,9,31,7,8.463566130927184,-1.7264275952681498,4.4822004957836326
MEF2D,c3,-1.7539539220099587,-1.862166024191963,,8.953804305428577,19,12,3,34,7,8.953804305428577,-1.862166024191963,-1.7539539220099587
IRF1,c1,8.081187273155937,2.8481124924900647,,7.921364185554097,8,1,14,23,8,7.921364185554097,2.8481124924900647,8.081187273155937
SPIB,c2,1.504761832270138,2.9346705528128703,,7.559452234879337,9,4,19,32,8,7.559452234879337,2.9346705528128703,1.504761832270138
INSM1,c3,0.9671526646282738,2.7495787777644995,,7.412334284372345,9,3,22,34,8,7.412334284372345,2.7495787777644995,0.9671526646282738
CTCF,c1,13.004177435059653,1.6173285670453577,,7.156116707554099,1,9,17,27,9,7.156116707554099,1.6173285670453577,13.004177435059653
EHF,c2,3.3179279324439923,1.4454213736459594,,7.736426724327301,5,14,14,33,9,7.736426724327301,1.4454213736459594,3.3179279324439923
CEBPA,c3,-0.8455056522714792,-2.536725163739569,,8.892569017068077,12,20,4,36,9,8.892569017068077,-2.536725163739569,-0.8455056522714792
CEBPB,c1,-5.107407478120088,-1.3534841657650243,,9.165444484685654,19,12,3,34,10,9.165444484685654,-1.3534841657650243,-5.107407478120088
SOX9,c2,-2.5788411096581796,1.823817982881488,,8.517267550121025,17,10,8,35,10,8.517267550121025,1.823817982881488,-2.5788411096581796
SRF,c3,-0.051905760408258034,-3.5383859368411925,,9.289829633018037,11,24,2,37,10,9.289829633018037,-3.5383859368411925,-0.051905760408258034
DBP,c1,-2.1031430251800076,-1.7841131126231489,,9.189463387839702,18,15,2,35,11,9.189463387839702,-1.7841131126231489,-2.1031430251800076
TGIF1,c2,-7.022353416753413,2.5885858750753474,,8.603756266352674,25,6,7,38,11,8.603756266352674,2.5885858750753474,-7.022353416753413
IRF2,c3,-1.2163026260180005,-1.4166689507798929,,7.840548225590966,16,8,14,38,11,7.840548225590966,-1.4166689507798929,-1.2163026260180005
TEAD1,c1,0.15707073711376118,-1.4882441799698094,,8.60178509305825,15,13,8,36,12,8.60178509305825,-1.4882441799698094,0.15707073711376118
REST,c3,3.524591953880688,-1.91785991051312,,7.481659672469255,2,15,21,38,12,7.481659672469255,-1.91785991051312,3.524591953880688
RFX5,c2,-3.722779754790765,7.313372401746554,,7.65050635409416,20,1,18,39,12,7.65050635409416,7.313372401746554,-3.722779754790765
PAX5,c1,0.3717653921127566,1.927422133505663,,7.354575799700355,14,6,16,36,13,7.354575799700355,1.927422133505663,0.3717653921127566
USF1,c2,-4.597837970505425,2.0427582582679378,,8.23386389811886,21,9,10,40,13,8.23386389811886,2.0427582582679378,-4.597837970505425
E2F7,c3,0.11994110121638035,2.5393784503915713,,7.109369202738749,10,4,26,40,13,7.109369202738749,2.5393784503915713,0.11994110121638035
ATF4,c1,-0.2579799641385483,-1.8931144133693785,,8.776646428861657,17,16,6,39,14,8.776646428861657,-1.8931144133693785,-0.2579799641385483
LHX2,c2,-2.149082768118528,-2.0914535408408796,,9.220521247936693,14,22,5,41,14,9.220521247936693,-2.0914535408408796,-2.149082768118528
IRF7,c3,-1.926164286608267,-1.8922195115842415,,8.386520958421713,20,13,8,41,14,8.386520958421713,-1.8922195115842415,-1.926164286608267
JUN,c1,1.3970561593983608,-2.6247408796545226,,8.568854552911567,11,19,9,39,15,8.568854552911567,-2.6247408796545226,1.3970561593983608
SP1,c2,2.9753869945127143,1.7609056013384918,,6.9537719507895135,6,11,25,42,15,6.9537719507895135,1.7609056013384918,2.9753869945127143
IRF9,c3,-3.695617188783724,-1.5915617973641778,,8.678652206772448,28,10,5,43,15,8.678652206772448,-1.5915617973641778,-3.695617188783724
E2F4,c1,0.9946999406804964,1.3855959987032822,,7.144689259658946,12,11,18,41,16,7.144689259658946,1.3855959987032822,0.9946999406804964
TFEB,c2,-3.19838610579194,-2.6157690229014348,,9.53155074081488,19,24,2,45,16,9.53155074081488,-2.6157690229014348,-3.19838610579194
E2F4,c3,-0.8618391197474586,-1.4844905206267163,,7.168580816864609,13,9,25,47,16,7.168580816864609,-1.4844905206267163,-0.8618391197474586
SOX4,c1,0.4314304469525425,-1.6119810094128422,,7.845465984794069,13,14,15,42,17,7.845465984794069,-1.6119810094128422,0.4314304469525425
E2F2,c2,-2.0583832657180383,-1.3848374394351457,,7.659474220947234,13,15,17,45,17,7.659474220947234,-1.3848374394351457,-2.0583832657180383
RFX5,c3,2.5864230080829755,-5.045419832737735,,7.616692199197951,3,27,18,48,17,7.616692199197951,-5.045419832737735,2.5864230080829755
E2F7,c1,9.197838540355304,-2.1543216960834766,,7.0893664724391074,6,18,20,44,18,7.0893664724391074,-2.1543216960834766,9.197838540355304
STAT3,c3,-1.5660529847765259,-2.667663156680659,,8.052271635344026,17,21,11,49,18,8.052271635344026,-2.667663156680659,-1.5660529847765259
FEV,c2,0.6832089759000355,-1.425298282445347,,7.319455188088698,10,16,24,50,18,7.319455188088698,-1.425298282445347,0.6832089759000355
E2F1,c1,4.37692518401705,-2.088729489371338,,7.0940158208980595,10,17,19,46,19,7.0940158208980595,-2.088729489371338,4.37692518401705
FEV,c3,-2.022094411132979,2.505491572318394,,7.324821173530825,21,5,24,50,19,7.324821173530825,2.505491572318394,-2.022094411132979
INSM1,c2,-1.970453845316988,-1.5231718626615494,,7.4110728468391525,12,17,22,51,19,7.4110728468391525,-1.5231718626615494,-1.970453845316988
FOXA1,c1,-26.546579302179303,-3.933007301665003,,8.15727624263122,20,20,12,52,20,8.15727624263122,-3.933007301665003,-26.546579302179303
FOSL2,c3,-3.6819617695112665,-2.119056767310036,,8.236841633321061,27,17,9,53,20,8.236841633321061,-2.119056767310036,-3.6819617695112665
RFX2,c2,-2.9508540248736685,-3.7122878245565136,,8.19060389852949,18,25,11,54,20,8.19060389852949,-3.7122878245565136,-2.9508540248736685
PRDM1,c3,-1.1796044737935794,-2.3024850586532337,,7.601764653070146,15,18,20,53,21,7.601764653070146,-2.3024850586532337,-1.1796044737935794
MZF1,c2,-2.2683661823570676,-1.527106308992832,,7.478785158418622,15,18,21,54,21,7.478785158418622,-1.527106308992832,-2.2683661823570676
ZEB1,c2,-4.682382544162015,-1.8597232442106741,,7.769080570397824,22,20,13,55,22,7.769080570397824,-1.8597232442106741,-4.682382544162015
STAT1,c3,-2.8836384202715193,-2.8830275088900974,,7.990233435402809,23,23,12,58,22,7.990233435402809,-2.8830275088900974,-2.8836384202715193
REST,c2,-5.272343507255723,1.7247703281491942,,7.501066357097541,24,12,20,56,23,7.501066357097541,1.7247703281491942,-5.272343507255723
REL,c3,-3.2195251682641532,-2.691249103937453,,7.94796249921059,24,22,13,59,23,7.94796249921059,-2.691249103937453,-3.2195251682641532
RORA,c2,-4.718856992954197,-1.929397289702153,,7.7041513110788,23,21,15,59,24,7.7041513110788,-1.929397289702153,-4.718856992954197
SP1,c3,-1.6512486864743154,-1.908015754125286,,7.023212318972895,18,14,28,60,24,7.023212318972895,-1.908015754125286,-1.6512486864743154
SPIB,c3,-1.0560149341533385,-3.6108161896918354,,7.385719380626204,14,25,23,62,25,7.385719380626204,-3.6108161896918354,-1.0560149341533385
PAX5,c2,-2.5638951732214075,-2.3210330817006457,,7.3468073253637485,16,23,23,62,25,7.3468073253637485,-2.3210330817006457,-2.5638951732214075
