gene_name,cluster_id,A_diff,E_diff,O_diff,rank_A_diff,rank_E_diff,rank_O_diff,rank_sum,TF_rank,outdegree,expression,accessibility
NHLH1,c3,7.84699679605704,1.6950220478015574,-3.1868619069595425,3,16,45,64,1,-3.1868619069595425,1.6950220478015574,7.84699679605704
IRF8,c1,14.930303624585058,0.2914606199259876,90.87237528631495,4,59,6,69,1,90.87237528631495,0.2914606199259876,14.930303624585058
GRHL1,c2,4.467423676292818,1.3021957721291624,16.200344069276927,20,20,36,76,1,16.200344069276927,1.3021957721291624,4.467423676292818
TCF4,c3,7.069487176931673,0.43089370173146346,-3.0823038660148843,4,52,9,65,2,-3.0823038660148843,0.43089370173146346,7.069487176931673
NFKB1,c2,3.253666444880381,0.7054669615593651,18.107375644145122,31,42,8,81,2,18.107375644145122,0.7054669615593651,3.253666444880381
IRF2,c1,12.710221988848257,1.6698460083734252,76.69125925884931,10,13,65,88,2,76.69125925884931,1.6698460083734252,12.710221988848257
ZEB1,c3,3.5541050141067836,1.1296633804595746,-3.0937202538052517,35,24,12,71,3,-3.0937202538052517,1.1296633804595746,3.5541050141067836
IRF7,c1,9.979774447786209,2.00538470774385,78.45735020832048,26,9,54,89,3,78.45735020832048,2.00538470774385,9.979774447786209
NFKB2,c2,3.973581044658822,5.956927680225959,15.100376965519999,23,2,69,94,3,15.100376965519999,5.956927680225959,3.973581044658822
NEUROG2,c3,2.933337441888302,1.696972312939592,-3.1254933471586233,40,15,24,79,4,-3.1254933471586233,1.696972312939592,2.933337441888302
TP53,c1,8.132681913167664,0.5759435046063216,85.69066882035212,48,40,18,106,4,85.69066882035212,0.5759435046063216,8.132681913167664
CEBPB,c2,2.164676357932874,2.502505306977553,15.642348931485273,47,9,51,107,4,15.642348931485273,2.502505306977553,2.164676357932874
FOXP2,c3,5.4377279673991,0.5912475829534677,-3.172689838024503,15,44,40,99,5,-3.172689838024503,0.5912475829534677,5.4377279673991
LEF1,c1,10.291172643415436,0.77902433142327,78.3179167188468,22,31,57,110,5,78.3179167188468,0.77902433142327,10.291172643415436
IRF9,c2,0.3192502433402374,1.1389549328788144,17.517296980296372,82,25,11,118,5,17.517296980296372,1.1389549328788144,0.3192502433402374
NFIX,c3,4.6797457535,1.2585777883858424,-3.2289035559046484,25,18,58,101,6,-3.2289035559046484,1.2585777883858424,4.6797457535
CEBPA,c2,2.350981745408996,4.00292330083008,14.959665255356807,44,3,74,121,6,14.959665255356807,4.00292330083008,2.350981745408996
NFKB1,c1,4.282307194374433,0.428247455682616,88.17972634278689,80,46,13,139,6,88.17972634278689,0.428247455682616,4.282307194374433
FIGLA,c3,5.869182256972248,0.2614337124958666,-3.1370770819039624,9,65,29,103,7,-3.1370770819039624,0.2614337124958666,5.869182256972248
E2F8,c2,1.8775794527330776,0.28588789979973145,18.031223640443724,49,64,9,122,7,18.031223640443724,0.28588789979973145,1.8775794527330776
BHLHE23,c1,4.369561846787509,0.6156894564105729,83.53257575508302,79,37,23,139,7,83.53257575508302,0.6156894564105729,4.369561846787509
MZF1,c3,2.8947413481144224,0.8363334461114547,-3.131847858391109,42,36,27,105,8,-3.131847858391109,0.8363334461114547,2.8947413481144224
TFCP2,c2,3.385275953721208,0.3063450294827488,15.726857099507184,29,61,48,138,8,15.726857099507184,0.3063450294827488,3.385275953721208
XBP1,c1,2.6994066703549486,2.2049322122633868,81.25026332357521,101,5,35,141,8,81.25026332357521,2.2049322122633868,2.6994066703549486
PKNOX1,c3,4.957693635817222,0.775945315742125,-3.2045534215322267,21,39,52,112,9,-3.2045534215322267,0.775945315742125,4.957693635817222
TP63,c1,5.884430007231306,0.22020324921563056,89.24448886909737,66,70,9,145,9,89.24448886909737,0.22020324921563056,5.884430007231306
CENPB,c2,8.102265604613759,0.04620325037414014,16.09884937871101,7,101,39,147,9,16.09884937871101,0.04620325037414014,8.102265604613759
NFIA,c3,5.381986814978714,0.7137614889373678,-3.283467952614952,16,41,73,130,10,-3.283467952614952,0.7137614889373678,5.381986814978714
MYBL2,c2,0.13520983103479903,0.36197241375204076,19.282443216681425,89,57,4,150,10,19.282443216681425,0.36197241375204076,0.13520983103479903
MEF2D,c1,4.770920156512417,1.4205194866608575,75.3975547310025,73,15,78,166,10,75.3975547310025,1.4205194866608575,4.770920156512417
TFAP4,c3,5.7377146865081174,0.48221314438008794,-3.290487279934653,11,50,77,138,11,-3.290487279934653,0.48221314438008794,5.7377146865081174
E2F4,c2,1.7312336805757225,0.3347983436976,15.856468938850186,50,60,45,155,11,15.856468938850186,0.3347983436976,1.7312336805757225
HOXD12,c1,2.1330353005324993,0.7897401071960994,82.14318011992913,112,29,29,170,11,82.14318011992913,0.7897401071960994,2.1330353005324993
E2F7,c3,0.11994110121638046,2.5393784503915713,-1.2284165981028528,140,8,4,152,12,-1.2284165981028528,2.5393784503915713,0.11994110121638046
E2F1,c2,0.3895391824722375,1.1643725484455956,15.624947135630245,81,24,52,157,12,15.624947135630245,1.1643725484455956,0.3895391824722375
IRF9,c1,18.08305207918759,0.2319855107575464,72.43736338219693,1,66,109,176,12,72.43736338219693,0.2319855107575464,18.08305207918759
ZBTB33,c2,1.6012165810810597,0.8800201719748211,15.09808832020732,53,34,70,157,13,15.09808832020732,0.8800201719748211,1.6012165810810597
INSM1,c3,0.967152664628274,2.7495787777644995,-3.180996192793459,108,7,42,157,13,-3.180996192793459,2.7495787777644995,0.967152664628274
SRF,c1,-0.21632811328675328,2.487110776071262,86.2311202567831,157,3,17,177,13,86.2311202567831,2.487110776071262,-0.21632811328675328
JUN,c3,2.328309556628537,0.08474554373407264,-3.0715874720356284,59,93,8,160,14,-3.0715874720356284,0.08474554373407264,2.328309556628537
KLF13,c2,3.2068641582769395,0.11526390855230992,16.00533449122728,32,89,41,162,14,16.00533449122728,0.11526390855230992,3.2068641582769395
RUNX3,c1,9.335248696824664,2.077205433975059,69.73330233231101,36,7,135,178,14,69.73330233231101,2.077205433975059,9.335248696824664
HOXB3,c3,5.749467198276977,1.1874825930181303,-3.437794169618983,10,21,132,163,15,-3.437794169618983,1.1874825930181303,5.749467198276977
MEF2D,c2,2.168487488611513,0.4308333334107467,15.148622167143897,46,56,66,168,15,15.148622167143897,0.4308333334107467,2.168487488611513
HOXC12,c1,4.4094853762570105,0.1738659707007259,82.4688537530749,77,75,28,180,15,82.4688537530749,0.1738659707007259,4.4094853762570105
SOX21,c2,-2.3903264895307244,1.726562058870565,19.834694854955156,154,14,1,169,16,19.834694854955156,1.726562058870565,-2.3903264895307244
SCRT1,c3,2.4940716567089836,0.6227188472873753,-3.287462650666461,52,43,74,169,16,-3.287462650666461,0.6227188472873753,2.4940716567089836
MLXIPL,c1,5.74152479012988,1.9055148609578587,73.3189619980029,67,11,102,180,16,73.3189619980029,1.9055148609578587,5.74152479012988
FOXA1,c3,6.534037593164619,0.158849461672574,-3.3061191355941864,6,78,86,170,17,-3.3061191355941864,0.158849461672574,6.534037593164619
MTF1,c2,0.49106552583012353,0.16729745364918253,17.424923200952186,80,81,13,174,17,17.424923200952186,0.16729745364918253,0.49106552583012353
ELK1,c1,12.290227404257989,0.7887659640596107,69.59133872753685,12,30,138,180,17,69.59133872753685,0.7887659640596107,12.290227404257989
NR2F1,c3,1.230924608327834,2.966281185369279,-3.2887666162859936,92,6,76,174,18,-3.2887666162859936,2.966281185369279,1.230924608327834
REL,c2,4.626464097434221,2.1944687626798243,13.7741933230895,18,10,147,175,18,13.7741933230895,2.1944687626798243,4.626464097434221
