gene_name,cluster_id,A_diff,E_diff,O_diff,rank_A_diff,rank_E_diff,rank_O_diff,rank_sum,TF_rank,outdegree,expression,accessibility
RUNX3,c1,8.755366213666317,2.077205433975059,8.772643412821957,3,3,29,35,1,8.772643412821957,2.077205433975059,8.755366213666317
LHX2,c3,2.738348490818525,3.1834584444353147,9.555583347145511,31,2,9,42,1,9.555583347145511,3.1834584444353147,2.738348490818525
CEBPB,c2,1.612261916397451,2.502505306977553,9.535938640378452,29,7,9,45,1,9.535938640378452,2.502505306977553,1.612261916397451
TEAD4,c2,7.865364396621811,0.9818145495806171,9.00490007995978,2,21,23,46,2,9.00490007995978,0.9818145495806171,7.865364396621811
FOXP2,c3,6.582608141787242,0.5912475829534677,8.92707613439825,8,15,24,47,2,8.92707613439825,0.5912475829534677,6.582608141787242
TFEB,c1,3.2846159072545937,1.8165056342798067,9.296962641804157,32,7,9,48,2,9.296962641804157,1.8165056342798067,3.2846159072545937
CEBPA,c2,1.7256059580653298,4.00292330083008,9.310927207700848,28,3,17,48,3,9.310927207700848,4.00292330083008,1.7256059580653298
MEIS1,c3,3.3397554746311027,0.2473669918382251,9.535013770842959,22,26,10,58,3,9.535013770842959,0.2473669918382251,3.3397554746311027
IRF7,c1,5.462573565271891,2.00538470774385,8.53526325522246,14,5,44,63,3,8.53526325522246,2.00538470774385,5.462573565271891
FOSL2,c2,3.121113138600912,1.7223631017374283,8.78393404760925,9,13,33,55,4,8.78393404760925,1.7223631017374283,3.121113138600912
PDX1,c3,3.123590057114735,0.12869862308221888,9.621272829319725,27,33,6,66,4,9.621272829319725,0.12869862308221888,3.123590057114735
MEF2D,c1,2.5648461763117165,1.4205194866608575,9.033194099535635,41,10,16,67,4,9.033194099535635,1.4205194866608575,2.5648461763117165
FOXA1,c3,7.857124140599723,0.158849461672574,8.789708044572217,4,31,32,67,5,8.789708044572217,0.158849461672574,7.857124140599723
JUNB,c1,4.706356990709392,2.0265488559750655,8.559958211748448,25,4,42,71,5,8.559958211748448,2.0265488559750655,4.706356990709392
TEAD1,c2,8.15177802631759,0.20192808144894456,8.815868248094585,1,50,31,82,5,8.815868248094585,0.20192808144894456,8.15177802631759
IRF9,c1,11.497616150035972,0.2319855107575464,8.719451481261252,1,40,33,74,6,8.719451481261252,0.2319855107575464,11.497616150035972
NR4A2,c3,3.3442641439393954,0.9101398456625975,8.538812087769324,21,10,43,74,6,8.538812087769324,0.9101398456625975,3.3442641439393954
MEF2D,c2,1.4869555223720858,0.4308333334107467,9.230519821681952,31,35,18,84,6,9.230519821681952,0.4308333334107467,1.4869555223720858
FOXO3,c3,3.2672449434230377,0.7163189772406584,8.655208884758693,25,13,38,76,7,8.655208884758693,0.7163189772406584,3.2672449434230377
MEF2B,c1,2.9395195617559864,1.0251003558035878,8.743048577342227,35,14,31,80,7,8.743048577342227,1.0251003558035878,2.9395195617559864
ATF4,c2,-0.9409908063644324,2.708331509815796,9.361595981660003,64,5,16,85,7,9.361595981660003,2.708331509815796,-0.9409908063644324
MEIS2,c3,3.8412790695457306,0.28974931171023616,8.65778918731783,16,24,37,77,8,8.65778918731783,0.28974931171023616,3.8412790695457306
IRF9,c2,0.5769851144924361,1.1389549328788144,8.982789624821827,42,18,25,85,8,8.982789624821827,1.1389549328788144,0.5769851144924361
IRF1,c1,5.809353655021836,2.8481124924900647,7.921364185554097,12,1,73,86,8,7.921364185554097,2.8481124924900647,5.809353655021836
RFX2,c3,3.333097994074183,3.4356582985034163,8.150787033674415,23,1,57,81,9,8.150787033674415,3.4356582985034163,3.333097994074183
MEF2C,c1,3.067303902047182,0.8266213671674034,8.672458352356353,33,18,36,87,9,8.672458352356353,0.8266213671674034,3.067303902047182
SRF,c2,0.32509601880186345,0.5844817389741056,9.371303972742648,48,32,14,94,9,9.371303972742648,0.5844817389741056,0.32509601880186345
DBP,c3,1.264324437511332,0.33132827647095575,9.123806688683853,46,22,15,83,10,9.123806688683853,0.33132827647095575,1.264324437511332
IRF2,c1,6.200869738928637,1.6698460083734252,7.953434217666551,10,8,70,88,10,7.953434217666551,1.6698460083734252,6.200869738928637
NFKB2,c2,3.1748485977463696,5.956927680225959,7.694785081473912,8,2,84,94,10,7.694785081473912,5.956927680225959,3.1748485977463696
HLF,c3,1.143596475977746,0.10951856481066954,9.821911425533798,51,35,3,89,11,9.821911425533798,0.10951856481066954,1.143596475977746
TEAD4,c1,6.354468222407072,0.14670051668224068,8.732745029590218,9,48,32,89,11,8.732745029590218,0.14670051668224068,6.354468222407072
REL,c2,2.386735212462826,2.1944687626798243,7.928536260992575,21,8,68,97,11,7.928536260992575,2.1944687626798243,2.386735212462826
ELK1,c1,6.604338231926262,0.7887659640596107,8.033424379564307,6,19,64,89,12,8.033424379564307,0.7887659640596107,6.604338231926262
HNF1A,c3,1.5533473489216596,0.05942151449316372,9.56790565240033,41,43,8,92,12,9.56790565240033,0.05942151449316372,1.5533473489216596
FOS,c2,2.3985169495591956,0.28448875852964156,8.766628421782448,20,43,35,98,12,8.766628421782448,0.28448875852964156,2.3985169495591956
FOS,c1,5.076271666436983,0.36699852965854257,8.603592781422776,20,32,38,90,13,8.603592781422776,0.36699852965854257,5.076271666436983
RFX3,c3,2.960073840429176,0.14774217003699033,8.804363205041962,29,32,31,92,13,8.804363205041962,0.14774217003699033,2.960073840429176
STAT3,c2,1.8819388271704316,1.0360011945553322,8.249043790386791,27,19,55,101,13,8.249043790386791,1.0360011945553322,1.8819388271704316
LEF1,c1,6.915488179713391,0.77902433142327,7.993936957677925,5,20,65,90,14,7.993936957677925,0.77902433142327,6.915488179713391
CUX1,c3,1.925549184855916,-0.06883490278793257,10.366380225772089,36,56,1,93,14,10.366380225772089,-0.06883490278793257,1.925549184855916
CEBPE,c2,2.038960893923463,-0.04638635431595546,10.109708972000643,25,74,3,102,14,10.109708972000643,-0.04638635431595546,2.038960893923463
TFE3,c1,3.526396581518407,0.4617119791483702,8.716170330676857,30,27,34,91,15,8.716170330676857,0.4617119791483702,3.526396581518407
TFAP4,c3,8.416777151239746,0.48221314438008794,7.845016804085444,3,18,74,95,15,7.845016804085444,0.48221314438008794,8.416777151239746
CEBPG,c2,1.0618627942101724,0.18011562024957234,9.362853075818862,35,52,15,102,15,9.362853075818862,0.18011562024957234,1.0618627942101724
MEF2A,c1,2.720980254089494,0.4415293860458108,8.760593413098963,37,28,30,95,16,8.760593413098963,0.4415293860458108,2.720980254089494
NFIA,c3,8.488273255736846,0.7137614889373678,7.777343682248335,2,14,79,95,16,7.777343682248335,0.7137614889373678,8.488273255736846
EHF,c2,2.7726223879337395,1.4454213736459594,7.736426724327301,12,14,79,105,16,7.736426724327301,1.4454213736459594,2.7726223879337395
RUNX2,c1,8.49680376619113,0.39784972497704485,8.126768491598718,4,30,61,95,17,8.126768491598718,0.39784972497704485,8.49680376619113
TFEB,c3,0.9186126961057042,0.10186347727637317,9.70109182961356,54,38,4,96,17,9.70109182961356,0.10186347727637317,0.9186126961057042
RUNX2,c2,5.46102622794257,0.3099195817880385,7.980940405616323,3,40,63,106,17,7.980940405616323,0.3099195817880385,5.46102622794257
HNF1B,c3,1.2171248888210229,0.06717184801637,9.594291641046961,48,42,7,97,18,9.594291641046961,0.06717184801637,1.2171248888210229
FOSL1,c1,4.39940387671464,0.5605882465024997,8.533995622320269,27,26,45,98,18,8.533995622320269,0.5605882465024997,4.39940387671464
OTX2,c2,-1.1454891262593383,0.6751291862398534,9.49398201859867,71,28,11,110,18,9.49398201859867,0.6751291862398534,-1.1454891262593383
HSF2,c3,-1.0954402007646928,1.1723991843446788,9.155011651852181,78,8,13,99,19,9.155011651852181,1.1723991843446788,-1.0954402007646928
SRF,c1,-0.7139953506460662,2.487110776071262,8.808158997129583,77,2,26,105,19,8.808158997129583,2.487110776071262,-0.7139953506460662
NFKB1,c2,2.9313193593047435,0.7054669615593651,7.797856929357619,10,27,74,111,19,7.797856929357619,0.7054669615593651,2.9313193593047435
DUX4,c1,0.8002164780578851,0.2211141187035758,9.642341767556271,60,42,4,106,20,9.642341767556271,0.2211141187035758,0.8002164780578851
GATA2,c3,3.461369880145731,-0.19935534429917653,9.069589758089698,20,69,19,108,20,9.069589758089698,-0.19935534429917653,3.461369880145731
DBP,c2,-0.8961492733852088,0.25311549621239643,9.77204081835315,63,45,5,113,20,9.77204081835315,0.25311549621239643,-0.8961492733852088
JUND,c1,2.5732689546031495,0.8315057044576601,8.404204865189717,40,17,52,109,21,8.404204865189717,0.8315057044576601,2.5732689546031495
CREB1,c3,-0.1719021936748406,0.355576497849695,8.961313181648512,68,20,22,110,21,8.961313181648512,0.355576497849695,-0.1719021936748406
FOSL1,c2,2.7521571700622784,0.0848862421693175,8.728491836927482,13,63,39,115,21,8.728491836927482,0.0848862421693175,2.7521571700622784
IRF8,c1,9.26365971681859,0.2914606199259876,7.953132700496863,2,38,71,111,22,7.953132700496863,0.2914606199259876,9.26365971681859
DUX4,c3,0.809156992599785,-0.05133082960202641,9.954833267579259,56,55,2,113,22,9.954833267579259,-0.05133082960202641,0.809156992599785
HINFP,c2,2.344114067898901,-0.045188427723491714,8.995802568397218,22,73,24,119,22,8.995802568397218,-0.045188427723491714,2.344114067898901
FOSL2,c1,4.8876047226278905,0.13817029045622936,8.58628715559597,23,49,40,112,23,8.58628715559597,0.13817029045622936,4.8876047226278905
FOXO4,c3,6.792906921308603,-0.4706482235945791,8.87677584327529,7,80,28,115,23,8.87677584327529,-0.4706482235945791,6.792906921308603
IRF1,c2,2.5648926518412605,0.3176567120794839,7.953054873956404,17,39,67,123,23,7.953054873956404,0.3176567120794839,2.5648926518412605
