"Gene_Id"	"6_270502_P1"	"4_278106_P2"	"3_279202_P3"	"9_278109_P1"	"14_285849_P1"	"5_281161_P3"	"11_285881_P3"	"8_278108_P1"	"1_270501_1_P1"	"15_285880_P1"	"5_304943_P3"	"4_304938_P3"	"10_279201_P1"	"1_301350_P3"	"13_281163_P1"	"12_279204_P1"	"7_278102_P3"	"2_304940_P3"	"48_ASP19_05374"	"11_RA_23_4"	"19_RA022"	"9_RA_23_15"	"47_RA_019_03"	"37_RA_18_3"	"45_RA_023_11"	"22_RA022"	"35_RA_17_1"	"21_RA022"	"18_RA022"	"46_RA_021_16"	"31_RA_21_20"	"44_RA_17_4"	"43_RA_18_14"	"10_RA_23_3"	"20_RA022"
"A1BG"	18	52	48	44	19	42	31	50	70	54	75	27	34	76	26	57	29	80	5	48	16	24	11	45	6	18	11	19	12	15	23	13	2	65	3
"A1CF"	140	19	26	1	35	16	6	20	7	27	23	5	3	19	3	6	126	7	263	12	400	64	479	19	191	16	13	29	86	662	651	35	165	13	32
"A2M"	26	39	14	50	9	44	23	20	54	9	7	194	20	20	63	32	98	56	51617	44709	33730	34115	28364	80731	51151	88566	101702	31583	26384	77913	58281	157612	5817	74791	81405
"A2ML1"	27	22	2	7	20	18	7	11	14	12	25	374	22	18	321	1	27	8	460	38	30	122	73	172	16	54	58	108	48	107	156	190	131	82	77
"A3GALT2"	69	18	5	17	13	11	2	21	6	22	14	94	4	24	46	1	43	10	161	2	15	15	51	19	9	16	62	36	6	14	10	116	1	22	15
"A4GALT"	0	49	101	13	1	41	17	10	10	2	4	36	29	40	8	1	1	63	1327	2104	257	1156	713	1394	829	355	1133	329	235	520	690	3024	461	1917	1088
"A4GNT"	2	12	3	1	1	12	6	0	5	6	3	4	2	9	0	1	4	3	7	1	2	3	7	28	0	9	32	6	5	34	35	101	33	1	18
"AAAS"	320	334	381	295	242	219	147	285	405	342	525	366	339	493	178	244	182	406	15706	24791	9972	24621	27988	27522	8081	12833	12423	20767	12455	15415	19390	26518	6120	22139	9309
"AACS"	1087	3008	674	1867	581	1882	1091	1418	832	890	1642	818	1692	3424	340	1098	388	3947	5534	16534	5872	20528	21508	4460	3996	5919	9280	21378	7981	9728	10162	16979	2407	15129	2770
"AADAC"	0	0	1	1	1	1	0	0	1	0	3	0	0	0	0	0	0	0	21	2	539	7	267	27	98	6	35	87	167	406	343	25	109	17	29
"AADACL2"	0	13	3	3	14	1	1	1	39	3	12	2	0	1	1	0	0	7	26	10	24	5	31	161	0	42	12	53	11	16	25	19	3	13	51
"AADACL3"	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	2	0	0	10	1	6	0	3	7	10	0	0	2	4	0	1	3
"AADACL4"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	8	1	0	18	0	5	0	4	2	4	0	0	7	9	0	1	0
"AADAT"	424	322	257	106	485	390	258	429	180	510	1089	284	287	985	159	397	525	146	3447	1942	3300	2781	13594	7355	1197	5765	2355	11092	5179	6788	5005	4575	2270	1966	1767
"AAGAB"	602	659	583	439	961	473	352	417	406	914	2272	656	654	804	295	564	475	754	16442	3775	3921	5117	12846	8295	6700	4482	4151	6193	4393	7517	6679	7407	1376	4927	3200
"AAK1"	1529	2570	2761	1018	1305	1500	741	912	2646	1600	2706	1830	1334	2154	1415	1264	1808	1745	18318	10334	4780	13560	17719	22051	10991	7724	8356	7754	4906	11924	10698	20108	5439	12421	7814
"AAMDC"	191	173	55	185	71	165	94	138	70	84	126	80	191	216	57	43	170	180	1276	373	285	350	1154	764	175	380	406	417	303	337	420	627	74	359	285
