"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAED1",2.42802522606182,1.05561842714204,0.380002996426215,2.77792132448886,0.00547078628730896,0.174800670253788
"ABHD6",0.921712651259499,1.91642024641549,0.66493174031967,2.88213079660502,0.00394995732626426,NA
"ACAA1",2.07070001705652,1.42439021107003,0.450649100045194,3.1607523701416,0.00157362218046523,0.100304435127421
"ACAP1",0.812026939544801,3.11757703930431,1.51862306230567,2.05289720450512,0.0400825482111981,NA
"ACBD4",2.70221387364313,1.14652724282431,0.395777005000249,2.89690211492602,0.0037686732261207,0.152426211379642
"ACER2",2.75576953528193,1.05869819144581,0.434721931967689,2.4353457085862,0.0148775679660093,0.264577229721624
"ACOT2",2.58503427370761,1.17889697083571,0.337401457195062,3.49404824933567,0.000475755027273769,0.0510603066451002
"ADAMTSL2",2.48789178403626,1.5331322950088,0.555830820036177,2.75827147351962,0.00581079186554365,0.179791952042139
"ADAMTSL5",0.995545099709208,3.391823682173,1.60715256332546,2.11045532301848,0.0348191555367627,0.354414994114799
"ADCK5",2.86246030340332,1.16095674060544,0.37799092763934,3.07138784482458,0.00213066192275399,0.118162765485552
"ADPRH",0.963223791650322,2.40092843280051,0.92688687000948,2.59031442831416,0.0095888304634823,0.222153033450087
"ADRA2C",0.95888938907183,2.4281781862124,1.01153007757303,2.40050023231969,0.0163726803582774,0.274488314097315
"AGAP2",1.97023899956149,1.78886194398384,0.751134172603416,2.3815478102716,0.0172400526798469,0.278973378222728
"AGFG2",4.13641721897903,1.72526436346984,0.357853722623668,4.82114409994331,1.42737198152777e-06,0.00147376175333299
"AGMAT",1.42672778120848,1.3767374347726,0.510758444708604,2.69547659766655,0.00702880150040805,0.198338562787919
"AGTRAP",1.81625076700675,1.06803280598902,0.455269322880299,2.34593624545582,0.0189793536080265,0.287830607797088
"AIP",3.3983318709347,1.14583047585987,0.491781538991819,2.32995829450793,0.019808355484592,0.292283807074056
