	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	6.368050757	-0.656229643	0.395639514	-1.658655469	0.097185237	0.363058272
A1CF	0.044714865	-0.029700498	2.482309698	-0.011964864	0.990453648	NA
A2M	1.217573506	2.528808604	1.205924782	2.096987011	NA	NA
A2ML1	0.081293181	0.427018325	2.48164104	0.172070947	0.863381753	NA
A3GALT2	2.623031426	0.505036707	0.46383339	1.088832148	0.276227912	0.605294484
A4GALT	1.439094026	-0.11510066	0.740887664	-0.155355078	0.876541397	0.961185425
A4GNT	0.027379363	-0.36974434	2.482309698	-0.148951736	0.881591717	NA
AAAS	3.664199879	0.618751869	0.349491051	1.770436946	0.07665438	0.323483138
AACS	6.290110684	-0.861368472	0.345067531	-2.496231589	0.012552062	0.121452595
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.135997082	-0.5845104	2.361439123	-0.24752296	0.804503525	NA
AADACL3	0.137784806	-0.58450956	2.482309698	-0.235470038	0.813843931	NA
AADACL4	0.159831454	-0.58450956	2.482309698	-0.235470038	0.813843931	NA
AADAT	3.397869236	-0.146027686	0.30638747	-0.476611155	0.633639039	0.854009879
AAED1	2.428025226	-0.249088557	0.375576671	-0.663216266	0.507192056	0.786214775
AAGAB	3.973363086	0.025050481	0.251371576	0.099655185	0.92061808	0.974661768
AAK1	2.305461317	0.351498476	0.299938072	1.171903502	0.241235801	0.568363963
AAMDC	4.513537203	-0.343121535	0.270322103	-1.269306252	0.204331857	0.525931262
AAMP	6.845362678	0.848596068	0.22075979	3.843979315	0.000121055	0.008014949
AANAT	0.091328527	-0.47712695	2.482309698	-0.192210887	0.847577018	NA
AAR2	1.853921181	0.224654695	0.341666417	0.657526415	0.510842492	0.78777038
AARD	0.134575634	-0.244468295	1.898217239	-0.128788365	0.897525112	NA
AARS	6.219156009	0.361001124	0.260057566	1.388158514	0.165088782	0.478011973
AARS2	6.036019149	0.122453245	0.204325531	0.599304669	0.548969735	0.809982894
AARSD1	5.744943954	0.169557201	0.262453091	0.646047644	0.518248501	0.791421897
AASDH	3.033797373	0.153363981	0.280974647	0.545828537	0.585183805	0.83184971
AASDHPPT	3.628619968	-0.00501445	0.289125856	-0.017343485	0.986162595	0.996708879
AASS	1.263900871	1.861979258	0.658307353	2.828434542	0.004677627	0.068435838
AATF	3.692099687	0.272397558	0.236932498	1.149684233	0.250273951	0.578982899
AATK	1.811020347	-1.71790228	0.694257772	-2.474444435	0.013344358	0.127036984
AATK-AS1	0	NA	NA	NA	NA	NA
ABAT	1.753912599	-1.190201059	0.527876329	-2.254696781	0.024152368	0.173220073
ABCA1	1.206003865	1.361359932	0.603146202	2.257097743	0.024001968	0.172910265
ABCA10	1.068023339	-0.457196994	0.607803862	-0.7522114	0.451923939	NA
ABCA12	1.346145028	-1.380122227	0.642689976	-2.147415205	0.031760241	0.202440756
ABCA13	0.076288168	-0.029700498	2.482309698	-0.011964864	0.990453648	NA
ABCA2	4.007101778	-0.585076571	0.39857116	-1.467935037	0.14212187	0.443076933
ABCA3	2.376829523	-0.803045097	0.508523718	-1.579169405	0.114297206	0.395851084
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	6.291387137	-0.031949332	0.244583186	-0.13062767	0.896069853	0.968054649
ABCA6	0.374040419	0.841222523	1.28239861	0.655975854	0.51183966	NA
ABCA7	3.314228244	-0.094532851	0.32146399	-0.294069799	0.768704568	0.919066219
ABCA8	0.089224599	-0.029700498	2.482309698	-0.011964864	0.990453648	NA
ABCA9	0.281574249	-0.182907033	1.501623165	-0.121806214	0.903052492	NA
ABCB1	0.129665992	-0.137083566	2.380843835	-0.057577722	0.954084995	NA
ABCB10	4.077218234	-0.203047084	0.250237445	-0.811417667	0.417125857	0.727315528
ABCB11	0	NA	NA	NA	NA	NA
ABCB4	0.18832148	1.422350413	2.449651963	0.580633671	0.561487374	NA
ABCB5	0.077014579	-0.47712695	2.482309698	-0.192210887	0.847577018	NA
ABCB6	4.055013128	0.427819389	0.239818434	1.783930375	0.07443498	0.319152737
ABCB7	2.426274766	0.084296751	0.301358238	0.279722738	0.779690232	0.92341698
ABCB8	4.949498324	-0.298924102	0.251098277	-1.190466559	0.233863066	0.560458338
ABCB9	1.844025414	0.684909272	0.33908068	2.019900612	0.043393698	0.237223714
ABCC1	2.325413255	0.194703561	0.389123169	0.500364863	0.61681819	0.845588295
ABCC10	5.06744203	-0.226504749	0.255867757	-0.885241469	0.376026411	0.693793476
ABCC11	0.171383735	-0.47712695	2.482309698	-0.192210887	0.847577018	NA
ABCC12	0.048671707	-0.36974434	2.482309698	-0.148951736	0.881591717	NA
ABCC2	0.072582397	-0.029700498	2.482309698	-0.011964864	0.990453648	NA
ABCC3	0.271919413	0.952362219	1.452412788	0.655710434	0.512010454	NA
ABCC4	0.570451393	0.785923587	0.672016941	1.169499663	0.242202377	NA
ABCC5	3.538356734	0.463706454	0.249209497	1.860709403	0.062785225	0.290241148
ABCC6	0.376932443	-0.676542878	0.965818377	-0.700486649	0.48362344	NA
ABCC8	1.764245391	-1.453219148	0.832528096	-1.745549676	0.080889233	0.332028345
ABCC9	0.18418599	-0.029700498	2.482309698	-0.011964864	0.990453648	NA
ABCD1	1.562136431	-0.423547341	0.493655237	-0.857982069	0.390902365	0.70530944
ABCD2	0.032141004	0.077682112	2.482309698	0.031294287	0.975034846	NA
ABCD3	4.515415199	0.288417329	0.280831863	1.027010702	0.304415425	0.63393961
ABCD4	6.603323364	-0.626210829	0.242201289	-2.585497509	0.009723858	0.104449025
ABCE1	4.46241526	0.977288149	0.259690689	3.763277588	0.000167701	0.009633758
ABCF1	9.018103695	0.745365468	0.290369233	2.566957459	NA	NA
ABCF2	3.262225316	0.897165921	0.257889398	3.47887865	0.000503517	0.018325187
ABCF3	6.939095495	0.766505188	0.284508269	2.694140285	0.007057046	0.088410208
ABCG1	2.096265052	-1.256666134	0.567039334	-2.216188645	0.026678585	0.183723147
ABCG2	0.040441393	-0.36974434	2.482309698	-0.148951736	0.881591717	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.161350268	-0.690418095	2.315282974	-0.298200308	0.765550287	NA
ABCG8	0.19770925	-0.47712695	2.482309698	-0.192210887	0.847577018	NA
ABHD1	1.919384016	0.334010674	0.359504848	0.929085313	0.352844875	0.676425502
ABHD10	5.755923309	0.106513803	0.306101728	0.347968644	0.727863732	0.901972345
ABHD11	9.694904552	-0.447019371	0.325557741	-1.37308783	0.169725044	0.483590516
ABHD12	4.797021002	-0.14881039	0.234491353	-0.634609288	0.525683269	0.796442435
ABHD12B	0.768560503	-1.586267399	1.057308296	-1.500288425	0.133539706	NA
ABHD13	4.005502145	0.124325566	0.304990342	0.407637714	0.683539672	0.878929366
ABHD14A	1.129574981	-0.134682756	0.469682113	-0.286753003	0.774301451	NA
ABHD14B	1.85659679	-0.148959721	0.392703216	-0.379318821	0.704451125	0.88969018
ABHD15	3.257028516	-0.127998888	0.555900498	-0.230255034	0.817893599	0.939180066
ABHD16A	5.340588031	-0.323530279	0.258578184	-1.251189386	0.21086539	0.533491257
ABHD16B	3.882125648	0.103634281	0.254657631	0.406955334	0.684040794	0.879073809
ABHD17A	4.878787465	-0.221219447	0.261709955	-0.845284801	0.397951845	0.711239542
ABHD17B	3.749008939	-0.099982469	0.272316958	-0.367154765	0.713503579	0.894570283
ABHD17C	1.355318036	0.736591849	0.428997025	1.717009223	0.085977487	0.342827549
ABHD2	7.107731058	-0.592532878	0.278532697	-2.127336878	0.033392103	0.207158312
ABHD3	6.170579623	0.227926752	0.227447319	1.002107884	0.31629149	0.645383217
ABHD4	1.296628493	0.180879609	0.456902502	0.395882289	0.692191867	0.883252141
ABHD5	2.361675643	0.186658903	0.322584697	0.578635331	0.56283526	0.817369624
ABHD6	0.921712651	-1.691782862	0.791276842	-2.138041672	0.032513361	NA
ABHD8	2.295320657	-0.045185948	0.359253391	-0.125777373	0.899908153	0.96822829
ABI1	4.470015412	-0.064363067	0.22675561	-0.28384333	0.776530447	0.922598941
ABI2	8.914797679	-0.105280073	0.185515166	-0.567501164	0.570373736	0.821634295
ABI3	0.064282008	0.427018325	2.48164104	0.172070947	0.863381753	NA
ABI3BP	0.164971251	0.491193966	2.369825153	0.207270129	0.835798901	NA
ABL1	4.656893348	-0.211955793	0.241710883	-0.876898015	0.380542034	0.696481665
ABL2	5.789514381	0.350771553	0.229923332	1.525602253	0.127108951	0.418425318
ABLIM1	1.963732331	-0.057560666	0.36893111	-0.156020092	0.876017184	0.961073898
ABLIM2	2.640149368	-2.136980853	0.688956895	-3.101762779	0.00192372	0.041015109
ABLIM3	0.507799267	-0.587629071	0.898056955	-0.654333857	0.512896738	NA
ABO	5.472661662	-1.163155218	1.017622191	-1.143012828	0.253033265	0.580769829
ABR	2.300207472	-0.71375626	0.385399649	-1.85198991	0.064027272	0.292366279
ABRA	0.227762261	-0.203736727	1.853444116	-0.109923318	0.91247019	NA
ABRACL	3.713955747	0.201305225	0.375118968	0.536643684	0.591513764	0.835387634
ABT1	5.115688804	0.137416958	0.215680321	0.637132573	0.524038493	0.795037077
ABTB1	3.511328648	-0.114468815	0.301226116	-0.380009599	0.70393829	0.889610462
ABTB2	1.73165007	-0.585558448	0.621677497	-0.941900665	0.3462435	0.672000484
AC003006.1	3.616653258	-0.228729283	0.596152116	-0.38367604	0.701218574	0.8882825
AC003688.1	2.367984738	-0.330273745	0.909242622	-0.363240501	0.716425236	0.896331314
AC005154.6	5.956102615	-0.286901175	0.223390487	-1.284303458	0.199035797	0.51902548
AC005702.2	1.318231615	0.699529369	0.628422483	1.113151404	0.26564341	0.594325147
AC007040.2	0.078919489	-0.47712695	2.482309698	-0.192210887	0.847577018	NA
AC010323.1	0.676674343	-0.723345498	0.911539653	-0.793542547	0.42746179	NA
AC010522.1	10.22432186	0.868586762	0.353278948	2.45864286	0.013946328	0.129921256
AC011499.1	28.3947749	-0.799376695	0.620415278	-1.28845424	0.197587888	0.517178658
AC018512.1	0.58522171	0.34791004	0.75749588	0.45928968	0.646026158	NA
AC020915.1	15.06551539	0.424539245	0.466894903	0.909282244	0.363201161	0.684962086
AC020915.2	0.279719481	-0.739702169	1.131701243	-0.653619648	0.513356882	NA
AC020922.1	1.662421632	-0.563313136	0.67500649	-0.834529956	0.403982414	0.717096321
AC022384.1	0	NA	NA	NA	NA	NA
AC040162.1	3.07847959	-0.552740123	0.627598155	-0.88072299	0.37846777	0.694529252
AC064853.2	0	NA	NA	NA	NA	NA
AC064853.3	0.137784806	-0.58450956	2.482309698	-0.235470038	0.813843931	NA
AC068946.1	1.515798969	-0.592257209	0.659178434	-0.89847783	0.36893086	0.68949043
AC078927.1	0	NA	NA	NA	NA	NA
AC093668.1	1.455615751	-0.163613765	0.540230958	-0.30285892	0.761997379	0.917886289
AC097372.1	0	NA	NA	NA	NA	NA
AC097662.2	0.704858167	0.638292056	0.617400861	1.033837327	0.301212218	NA
AC098650.1	0.425088303	1.27642327	2.054779624	0.621197162	0.534469907	NA
AC104304.1	0.473831753	-1.145157791	1.788162338	-0.640410418	0.521905811	NA
AC104581.1	2.397754181	-0.229371756	0.513262981	-0.446889341	0.65495496	0.865633973
AC105052.1	1.44804257	-0.732383638	0.672998876	-1.088239021	0.276489603	0.605613604
AC106782.1	1.849032295	1.01768809	0.623324169	1.632678693	0.102536591	0.37554992
AC107871.1	0.47494815	1.342222591	1.017125354	1.31962357	0.18696073	NA
AC114296.1	0.083322225	-0.47712695	2.482309698	-0.192210887	0.847577018	NA
AC124312.1	3.905811646	0.741835834	1.101770512	0.673312478	0.500748516	0.78126203
AC126755.2	1.004219374	-0.274874253	0.797998399	-0.344454642	0.730504402	NA
AC131160.1	20.40876652	-0.078370887	0.678287309	-0.115542316	0.908015281	0.970277294
AC135068.1	0.099386011	0.319635761	2.481641037	0.128800159	0.897515779	NA
AC138647.1	4.964421807	-3.830611844	1.987029212	-1.92780852	0.053878948	0.266929487
AC138969.1	1.192192246	-1.649959557	1.134314735	-1.454587079	0.14578361	0.448762447
AC245033.1	12.21418395	0.445249836	0.549048023	0.810948802	0.417395073	0.727353585
ACAA1	2.070700017	-0.350216614	0.486926468	-0.719239222	0.471993537	0.765249324
ACAA2	4.604361262	0.000857382	0.311935998	0.002748584	0.99780695	0.999854371
ACACA	3.910455818	0.1737499	0.23771186	0.730926509	0.464824043	0.760807602
ACACB	1.274030835	0.403123012	0.493877586	0.816240751	0.414362454	0.724871265
ACAD10	2.689098058	0.059515394	0.291247517	0.204346443	0.838082779	0.946059912
ACAD11	2.443812448	-0.043778769	0.338020968	-0.129514951	0.896950195	0.968164257
ACAD8	4.953647306	-0.161692664	0.240548189	-0.672184086	0.501466511	0.781684524
ACAD9	10.22558416	0.300505988	0.220913909	1.360285506	0.173739593	0.4900251
ACADL	0.356481072	-0.687511576	0.979833293	-0.701661784	0.482890111	NA
ACADM	5.138721769	0.541527692	0.284567706	1.902983649	0.057042679	0.274599601
ACADS	1.709265162	-0.312685602	0.412963357	-0.757175175	0.448944921	0.750009323
