gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
RUNX3	c1	8.755366213666317	2.077205433975059	8.772643412821957	3	3	29	35	1
LHX2	c3	2.738348490818525	3.1834584444353147	9.555583347145511	31	2	9	42	1
CEBPB	c2	1.612261916397451	2.502505306977553	9.535938640378452	29	7	9	45	1
TEAD4	c2	7.865364396621811	0.9818145495806171	9.00490007995978	2	21	23	46	2
FOXP2	c3	6.582608141787242	0.5912475829534677	8.92707613439825	8	15	24	47	2
TFEB	c1	3.2846159072545937	1.8165056342798067	9.296962641804157	32	7	9	48	2
CEBPA	c2	1.7256059580653298	4.00292330083008	9.310927207700848	28	3	17	48	3
MEIS1	c3	3.3397554746311027	0.2473669918382251	9.535013770842959	22	26	10	58	3
IRF7	c1	5.462573565271891	2.00538470774385	8.53526325522246	14	5	44	63	3
FOSL2	c2	3.121113138600912	1.7223631017374283	8.78393404760925	9	13	33	55	4
PDX1	c3	3.123590057114735	0.12869862308221888	9.621272829319725	27	33	6	66	4
MEF2D	c1	2.5648461763117165	1.4205194866608575	9.033194099535635	41	10	16	67	4
FOXA1	c3	7.857124140599723	0.158849461672574	8.789708044572217	4	31	32	67	5
JUNB	c1	4.706356990709392	2.0265488559750655	8.559958211748448	25	4	42	71	5
TEAD1	c2	8.15177802631759	0.20192808144894456	8.815868248094585	1	50	31	82	5
IRF9	c1	11.497616150035972	0.2319855107575464	8.719451481261252	1	40	33	74	6
NR4A2	c3	3.3442641439393954	0.9101398456625975	8.538812087769324	21	10	43	74	6
MEF2D	c2	1.4869555223720858	0.4308333334107467	9.230519821681952	31	35	18	84	6
FOXO3	c3	3.2672449434230377	0.7163189772406584	8.655208884758693	25	13	38	76	7
MEF2B	c1	2.9395195617559864	1.0251003558035878	8.743048577342227	35	14	31	80	7
ATF4	c2	-0.9409908063644324	2.708331509815796	9.361595981660003	64	5	16	85	7
MEIS2	c3	3.8412790695457306	0.28974931171023616	8.65778918731783	16	24	37	77	8
IRF9	c2	0.5769851144924361	1.1389549328788144	8.982789624821827	42	18	25	85	8
IRF1	c1	5.809353655021836	2.8481124924900647	7.921364185554097	12	1	73	86	8
RFX2	c3	3.333097994074183	3.4356582985034163	8.150787033674415	23	1	57	81	9
MEF2C	c1	3.067303902047182	0.8266213671674034	8.672458352356353	33	18	36	87	9
SRF	c2	0.32509601880186345	0.5844817389741056	9.371303972742648	48	32	14	94	9
DBP	c3	1.264324437511332	0.33132827647095575	9.123806688683853	46	22	15	83	10
IRF2	c1	6.200869738928637	1.6698460083734252	7.953434217666551	10	8	70	88	10
NFKB2	c2	3.1748485977463696	5.956927680225959	7.694785081473912	8	2	84	94	10
HLF	c3	1.143596475977746	0.10951856481066954	9.821911425533798	51	35	3	89	11
TEAD4	c1	6.354468222407072	0.14670051668224068	8.732745029590218	9	48	32	89	11
REL	c2	2.386735212462826	2.1944687626798243	7.928536260992575	21	8	68	97	11
ELK1	c1	6.604338231926262	0.7887659640596107	8.033424379564307	6	19	64	89	12
HNF1A	c3	1.5533473489216596	0.05942151449316372	9.56790565240033	41	43	8	92	12
FOS	c2	2.3985169495591956	0.28448875852964156	8.766628421782448	20	43	35	98	12
FOS	c1	5.076271666436983	0.36699852965854257	8.603592781422776	20	32	38	90	13
RFX3	c3	2.960073840429176	0.14774217003699033	8.804363205041962	29	32	31	92	13
STAT3	c2	1.8819388271704316	1.0360011945553322	8.249043790386791	27	19	55	101	13
LEF1	c1	6.915488179713391	0.77902433142327	7.993936957677925	5	20	65	90	14
CUX1	c3	1.925549184855916	-0.06883490278793257	10.366380225772089	36	56	1	93	14
CEBPE	c2	2.038960893923463	-0.04638635431595546	10.109708972000643	25	74	3	102	14
TFE3	c1	3.526396581518407	0.4617119791483702	8.716170330676857	30	27	34	91	15
TFAP4	c3	8.416777151239746	0.48221314438008794	7.845016804085444	3	18	74	95	15
CEBPG	c2	1.0618627942101724	0.18011562024957234	9.362853075818862	35	52	15	102	15
MEF2A	c1	2.720980254089494	0.4415293860458108	8.760593413098963	37	28	30	95	16
NFIA	c3	8.488273255736846	0.7137614889373678	7.777343682248335	2	14	79	95	16
EHF	c2	2.7726223879337395	1.4454213736459594	7.736426724327301	12	14	79	105	16
RUNX2	c1	8.49680376619113	0.39784972497704485	8.126768491598718	4	30	61	95	17
TFEB	c3	0.9186126961057042	0.10186347727637317	9.70109182961356	54	38	4	96	17
RUNX2	c2	5.46102622794257	0.3099195817880385	7.980940405616323	3	40	63	106	17
HNF1B	c3	1.2171248888210229	0.06717184801637	9.594291641046961	48	42	7	97	18
FOSL1	c1	4.39940387671464	0.5605882465024997	8.533995622320269	27	26	45	98	18
OTX2	c2	-1.1454891262593383	0.6751291862398534	9.49398201859867	71	28	11	110	18
HSF2	c3	-1.0954402007646928	1.1723991843446788	9.155011651852181	78	8	13	99	19
SRF	c1	-0.7139953506460662	2.487110776071262	8.808158997129583	77	2	26	105	19
NFKB1	c2	2.9313193593047435	0.7054669615593651	7.797856929357619	10	27	74	111	19
DUX4	c1	0.8002164780578851	0.2211141187035758	9.642341767556271	60	42	4	106	20
GATA2	c3	3.461369880145731	-0.19935534429917653	9.069589758089698	20	69	19	108	20
DBP	c2	-0.8961492733852088	0.25311549621239643	9.77204081835315	63	45	5	113	20
JUND	c1	2.5732689546031495	0.8315057044576601	8.404204865189717	40	17	52	109	21
CREB1	c3	-0.1719021936748406	0.355576497849695	8.961313181648512	68	20	22	110	21
FOSL1	c2	2.7521571700622784	0.0848862421693175	8.728491836927482	13	63	39	115	21
IRF8	c1	9.26365971681859	0.2914606199259876	7.953132700496863	2	38	71	111	22
DUX4	c3	0.809156992599785	-0.05133082960202641	9.954833267579259	56	55	2	113	22
HINFP	c2	2.344114067898901	-0.045188427723491714	8.995802568397218	22	73	24	119	22
FOSL2	c1	4.8876047226278905	0.13817029045622936	8.58628715559597	23	49	40	112	23
FOXO4	c3	6.792906921308603	-0.4706482235945791	8.87677584327529	7	80	28	115	23
IRF1	c2	2.5648926518412605	0.3176567120794839	7.953054873956404	17	39	67	123	23
BATF3	c1	0.435602779689478	0.3329733692238856	9.083010261260643	67	34	15	116	24
ZEB1	c3	3.5159083380051204	1.1296633804595746	7.640635349233931	19	9	89	117	24
HLF	c2	-0.4533751985942016	0.03552973336848462	10.159522174457637	56	68	2	126	24
CUX1	c1	-0.7152644143678792	0.3000917187135129	9.827477358502932	78	37	2	117	25
MAFK	c3	2.995264949665353	-0.07549056990019848	8.698844481506379	28	57	34	119	25
ELF3	c2	2.4201287080991523	0.904883412448355	7.680253311474708	19	24	85	128	25
SPI1	c1	6.477271843639899	0.6970885397470746	7.665320873550269	8	22	88	118	26
GATA3	c3	2.386658476258874	-0.19229329854573876	9.044782830595427	32	68	20	120	26
SPIB	c2	0.953707731933237	2.9346705528128703	7.559452234879337	37	4	88	129	26
BATF3	c3	2.873642731994117	-0.005428865059541382	8.59454295410628	30	50	40	120	27
CDX2	c1	-0.6127348971718328	0.3705222984638249	9.146666447110777	76	31	14	121	27
FOXP1	c2	0.6516178450954951	0.30364073986435436	8.424415668447251	41	41	52	134	27
CEBPG	c3	-0.11444684798263846	0.21496139156185418	8.91863141218179	67	29	25	121	28
MAFK	c1	-0.9768062987735928	0.9898290191310127	8.774208617364645	81	15	28	124	28
CEBPD	c2	1.49375788411556	-0.09151227670833027	8.975370106870342	30	83	26	139	28
RORA	c3	2.3796187746200266	2.0861589785796455	7.75715661030763	33	7	81	121	29
STAT1	c1	1.9516466211865289	0.6704921634672769	8.242881762370077	47	23	56	126	29
IRF7	c2	0.43090314481874703	0.1883958645358818	8.608832619009492	46	51	43	140	29
MZF1	c3	4.43377702900258	0.8363334461114547	7.429314554212063	12	11	100	123	30
HNF1A	c1	-1.1830016073250142	0.28637151429482116	9.379078634803108	85	39	7	131	30
HSF2	c2	0.776174931315544	-0.3314152247676662	9.597729333134755	40	99	8	147	30
FOXC1	c3	4.815223910505888	-1.062115118753192	9.114581831760868	11	97	16	124	31
STAT3	c1	0.8352471282198235	1.261692747464657	8.112489331792686	58	12	62	132	31
ELK4	c2	-0.3929680416755717	1.2892005073456716	7.759048281913594	54	15	78	147	31
JUN	c3	3.262447578184089	0.08474554373407266	8.100822654719812	26	39	60	125	32
NFKB1	c1	5.055177124852983	0.42824745568261596	7.741904480805107	21	29	82	132	32
RUNX3	c2	4.842970449790114	-0.2771045275383188	8.550912782722015	4	97	47	148	32
OTX2	c3	1.61668742837063	-0.320324108470329	9.212591740162184	39	76	12	127	33
PRDM1	c1	2.214141961327888	1.1180781833511197	7.83357039129825	46	13	76	135	33
SOX9	c2	-1.972006105340652	1.823817982881488	8.517267550121025	89	10	49	148	33
CEBPE	c3	-0.6524738011224381	-0.011205171580583793	9.632561396485452	73	51	5	129	34
REL	c1	4.538755350884218	0.3053539415806814	7.863042943757963	26	36	74	136	34
SPI1	c2	4.21645761046328	0.20541385430003836	7.47877500068168	7	49	92	148	34
MEF2A	c3	-1.7597886460994077	0.3424490343503576	8.90070404050116	84	21	26	131	35
RXRB	c1	0.7761786214448484	0.35611743379572675	8.539189748597112	61	33	43	137	35
HNF1B	c2	-1.0341549898528204	-0.07182082767042	9.638350929381478	67	79	6	152	35
E2F2	c3	1.5857848346122134	2.1230216552844214	7.6781031892694775	40	6	86	132	36
CTCF	c1	3.652214870159846	1.6173285670453577	7.156116707554099	29	9	111	149	36
MEF2C	c2	0.530112628626253	-0.1337831546991801	9.083053006733659	43	88	22	153	36
RXRG	c3	0.12002312861338216	0.10792002993933789	8.675330516679853	63	36	36	135	37
CREB1	c1	3.3195578621117123	-0.8142311419806884	8.93634712464824	31	102	18	151	37
EGR1	c2	2.4311644581658065	0.9785322213437921	7.009066033433276	18	22	114	154	37
CLOCK	c3	1.8128949572126984	0.21020280863237062	7.845740599245568	37	30	73	140	38
PDX1	c1	-3.362969451053085	0.19529941077493132	9.455122836659344	103	43	6	152	38
SP1	c2	2.3149326933541223	1.7609056013384918	6.9537719507895135	23	11	120	154	38
CEBPD	c3	-0.40831391049254756	0.12829802344840596	8.638639586776321	71	34	39	144	39
HNF1B	c1	-0.8546087364349969	-0.004917532184495741	9.378114749655584	79	65	8	152	39
JUNB	c2	2.7480920633987456	-0.20635220111357122	8.526715069200444	14	93	48	155	39
CDX2	c3	0.9292355283379703	-0.25825904271585226	9.086448750662111	53	74	18	145	40
CEBPE	c1	-2.8079241923167775	0.08186530660768596	9.663779953543878	100	54	3	157	40
MTF1	c2	0.5089266861138326	0.16729745364918253	8.002366791301593	45	53	60	158	40
INSM1	c3	1.3066526567044312	2.7495787777644995	7.412334284372345	43	3	101	147	41
DUX4	c2	-1.3095026761819044	-0.07182082767042	9.956221475487578	75	80	4	159	41
HINFP	c1	1.5794828082330008	-0.31717317605237666	8.813981050567827	51	83	25	159	41
FOXI1	c3	6.792906921308603	-0.9343536637080921	8.38868860136966	6	94	48	148	42
NFYB	c2	-1.1872611810685834	0.821828379778114	7.989929783787577	72	25	62	159	42
GATA3	c1	-1.9368597157714253	0.17885156403962424	8.870525176475338	93	45	22	160	42
HNF4G	c3	1.6383988573368253	0.01208069465302261	8.012271561887697	38	49	63	150	43
RXRG	c1	1.3987967734364675	-0.05192272830834669	8.70801411062265	55	70	35	160	43
SP3	c2	4.267052527114116	0.33521568096619075	6.974265162898213	6	37	118	161	43
HINFP	c3	-2.619763127959671	0.2353960897426508	8.863572164799098	96	27	29	152	44
PAX5	c1	1.6729043277339666	1.927422133505663	7.354575799700355	50	6	104	160	44
FOXC1	c2	-2.303326488967536	0.35110789447522905	8.779143189051714	93	36	34	163	44
ESR2	c3	1.2700855011424739	0.5223363492054333	7.536991658468865	44	16	93	153	45
NFYA	c1	1.9087775726839702	0.12223891383048226	8.080031050960274	48	51	63	162	45
TGIF1	c2	-5.482810178023709	2.5885858750753474	8.603756266352674	117	6	44	167	45
MAFG	c3	0.07745315301053715	0.05777706309319433	8.368420071245275	64	44	50	158	46
USF1	c1	2.471946626662234	-0.08006950933512846	8.467519226945242	44	73	47	164	46
MEF2B	c2	1.240862190993811	-0.7953179698372747	8.838591508205225	32	108	29	169	46
TGIF1	c3	7.211508421897568	-2.0068276449692535	8.534274874519053	5	112	44	161	47
TEAD1	c1	6.06331376233092	-1.4882441799698094	8.60178509305825	11	115	39	165	47
MEIS1	c2	-3.1459474436406034	0.09296136466334791	9.460339806588246	101	58	12	171	47
USF2	c3	4.035570116369504	-0.5560064913520595	7.953757917662781	14	84	66	164	48
FLI1	c1	5.221721382088993	0.3067679336852789	7.1285253810113565	18	35	113	166	48
FOXO4	c2	-4.00612211954994	0.9470330922800075	8.752958085917308	112	23	36	171	48
SOX4	c3	2.148709120921449	-0.024713374894347915	7.807737802680653	34	53	77	164	49
RARA	c1	3.001693610270997	0.16256547699248627	7.657970523245007	34	46	89	169	49
USF1	c2	-3.5193072389686386	2.0427582582679378	8.23386389811886	107	9	56	172	49
ATF4	c3	1.210810981254122	-1.1547556025925312	9.10347345817963	49	100	17	166	50
HSF2	c1	1.1092613816435846	-1.1562532579243876	9.503192816680905	57	110	5	172	50
CUX1	c2	-1.9255217160280087	-0.10252240705384688	10.250017753931688	87	85	1	173	50
MEF2B	c3	-2.204773037422033	0.03850547413164242	8.806952817158068	90	46	30	166	51
GATA2	c2	-2.289298034752988	0.15758102928567258	8.94768765789626	92	54	27	173	51
ELK4	c1	6.555663854741811	-0.4730028152446909	7.822591803633858	7	88	78	173	51
SOX9	c3	3.5857871790414126	-1.2240749790065364	8.4154937663311	18	103	47	168	52
JUN	c2	-3.2183490808969983	0.5962233523493466	8.663576487871518	102	31	41	174	52
ETV5	c1	4.775459305590698	0.22113264080190465	7.24302291478995	24	41	109	174	52
TFE3	c3	0.7193994829827305	-0.39324052688876093	8.726668983413754	57	79	33	169	53
NFYA	c2	-1.4111016638012568	0.5420991036763345	7.977495884329105	77	33	64	174	53
MAFG	c1	0.6347916637979292	0.0013105014927298128	8.442610628326147	63	63	49	175	53
FOXP1	c3	0.8870695447495462	-0.22895336719978981	8.558310361119549	55	72	42	169	54
E2F1	c2	-0.1324705095996057	1.1643725484455956	7.127265128500135	50	17	108	175	54
HLF	c1	-1.9432512156069603	-0.23142447495921742	10.040774027305273	94	81	1	176	54
MAX	c3	1.3639497337805604	-0.14414518570108903	7.9718706473318885	42	62	65	169	55
MEF2A	c2	0.8200866137118754	-0.9303976589189679	8.941647692984118	39	109	28	176	55
HNF4G	c1	1.4816063426451138	-0.013278646815815172	8.15248940524901	53	66	60	179	55
ZIC3	c3	4.341268147797011	-0.11853234042262446	7.431478835025523	13	61	99	173	56
GATA3	c2	-1.9092100365103737	0.09217753495142317	8.831715929607737	86	60	30	176	56
ETV4	c1	5.314558367014464	-0.01766550255318977	7.514812116097325	16	67	98	181	56
MAFG	c2	-0.3790713247256606	-0.06449013546967745	8.601733432626661	53	78	45	176	57
OLIG2	c3	0.9437915141220933	0.07416826430796716	7.686703574631728	52	40	85	177	57
EGR1	c1	2.553492441975769	0.6224686026595279	7.088536408329192	42	24	116	182	57
CDX2	c2	-0.8076035863558856	-0.2134811970308053	9.117047474106814	61	95	21	177	58
E2F7	c3	0.6868549530953819	2.5393784503915713	7.109369202738749	58	4	117	179	58
GATA2	c1	-3.8642097296324485	0.05842850869108536	8.917408646874511	107	57	20	184	58
CREB1	c2	-1.3079652953658996	0.041200604318290285	8.748353562179377	74	67	37	178	59
CEBPB	c3	-0.43615072123497256	-1.154376917659305	9.147825591837904	72	99	14	185	59
ERG	c1	5.346736483783545	-0.004629523186674703	7.310072724130415	15	64	106	185	59
RXRG	c2	-0.7761034889023475	-0.07718920140850745	8.741699450168083	59	81	38	178	60
SNAI2	c3	13.042575316752758	-1.2095384792387802	7.728620306407498	1	102	83	186	60
NFKB2	c1	5.000664987410593	-0.14490697264347677	7.667606021724544	22	77	87	186	60
JUND	c2	2.6693442367077855	-1.7264275952681498	8.463566130927184	15	114	51	180	61
USF1	c3	2.0496502829711885	-1.610191121669926	8.530535244472471	35	107	45	187	61
FOXC1	c1	-7.314686065572276	0.5712406746869132	8.49849070960564	117	25	46	188	61
IRF2	c2	-1.0866292557396866	0.23073614596411182	7.968055870765524	68	47	65	180	62
NR2C2	c3	1.2361153686980082	-0.1502901845364631	7.781846269548628	47	63	78	188	62
MAX	c1	-0.25949741602717946	0.15068793900637747	7.970112958813182	75	47	67	189	62
E2F4	c2	1.1411514863474257	0.3347983436976	7.103039080051578	33	38	109	180	63
MEF2C	c3	-1.6463812108430318	-0.5956893194930051	8.98883910124377	83	85	21	189	63
MTF1	c1	1.518674521022338	0.017084510472243936	7.825736826234399	52	61	77	190	63
HNF1A	c2	-1.2778727941113492	-0.3729002640967963	9.637387044233956	73	101	7	181	64
JUND	c3	-3.284487995973441	0.2233220441250848	8.1307214717586	103	28	58	189	64
EGR2	c1	5.194570025078571	0.08503773499552109	7.043337200401414	19	53	118	190	64
PRDM1	c2	0.9161058619184158	0.08276477292117713	7.714518268747549	38	64	81	183	65
CEBPA	c1	-0.8670673826525845	-0.6096711973277342	8.952786713516739	80	94	17	191	65
NFYB	c3	-0.10460063757986049	-0.18724865606036228	8.109662281711904	66	67	59	192	65
E2F3	c2	-0.5178493130864027	0.9904554392774177	7.2074028844402545	57	20	106	183	66
CEBPD	c1	-2.236317289501967	-0.06415669006097442	8.8344135120947	96	72	24	192	66
ZIC1	c3	5.322347100100061	-0.25699662848506166	7.263374690856173	9	73	110	192	66
FOXI1	c2	-4.00612211954994	1.1982836761910216	8.216633011251256	111	16	57	184	67
E2F4	c1	0.29531435041987003	1.3855959987032822	7.144689259658946	69	11	112	192	67
TEAD1	c3	-9.332254330089295	0.3153291799465378	8.514593523295748	124	23	46	193	67
RXRB	c2	-1.0082100103794296	0.08799275600321906	8.174657283890022	66	62	59	187	68
RXRB	c3	0.5607324338738486	-0.32678841399197384	8.176840103766454	60	77	56	193	68
USF2	c1	1.4529038955100866	-0.1054255109535894	7.970414582038507	54	75	66	195	68
RFX3	c2	-3.3493957034130712	0.26200613627379116	8.642109773219499	104	44	42	190	69
E2F6	c3	3.3195606477034927	-0.030390832327488355	7.158413798486256	24	54	116	194	69
OTX2	c1	-1.6371201666110762	-0.441221168223022	8.923363096720578	91	86	19	196	69
SOX4	c2	-1.930340967883075	0.5076419903182097	7.910045374295945	88	34	70	192	70
TBX21	c3	1.2653343765351535	0.031787226473896056	7.379874089158253	45	47	103	195	70
ETV1	c1	5.240730032232519	-0.4914226337946414	7.6493158616651895	17	90	90	197	70
ELF5	c2	2.651683012666983	-0.05473249888940062	7.358811224628952	16	77	101	194	71
SRF	c3	-4.728463903463376e-4	-3.5383859368411925	9.289829633018037	65	120	11	196	71
SPIB	c1	1.3221748938835982	0.05057482326979268	7.710598505453267	56	58	85	199	71
FOXO3	c2	-0.5369884713324506	-0.1312716474461819	8.509539021823075	58	87	50	195	72
THAP1	c3	3.6888995029861076	-0.11418978200754516	7.0631476786412035	17	60	119	196	72
