gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
RUNX3	c1	8.755366213666317	2.077205433975059	0.13227215325697728	4	7	36	47	1
NFKB2	c2	3.1748485977463696	5.956927680225959	0.11041161891694529	19	2	27	48	1
HOXB3	c3	8.292037132466591	1.1874825930181303	0.18129652022078346	10	21	27	58	1
GRHL1	c2	3.2534531557966817	1.3021957721291624	0.17464286390313433	17	20	13	50	2
IRF8	c1	9.26365971681859	0.2914606199259876	1.766090794648143	3	59	3	65	2
LBX2	c3	7.11451513859719	0.7958758372798035	0.23000815976273614	20	38	17	75	2
NFKB1	c2	2.9313193593047435	0.7054669615593651	0.21229253921414504	22	42	9	73	3
NFIX	c3	7.517133249049756	1.2585777883858424	0.11071966413257606	14	18	43	75	3
LEF1	c1	6.915488179713391	0.77902433142327	0.0928192304383959	5	31	51	87	3
IRF9	c2	0.5769851144924361	1.1389549328788144	1.8568307542050722	67	25	1	93	4
LHX2	c3	2.738348490818525	3.1834584444353147	0.21760285336637075	69	4	20	93	4
TCF7L2	c1	10.648044544514164	0.25948007699185194	0.07222232793589178	2	64	61	127	4
POU2F1	c2	10.087709431675975	0.23195486230694998	0.13171918013283168	1	72	21	94	5
RFX2	c3	3.333097994074183	3.4356582985034163	0.13819261486434797	55	3	38	96	5
MLXIPL	c1	2.2508355845240615	1.9055148609578587	0.07691486552013593	63	11	56	130	5
SP1	c2	2.3149326933541223	1.7609056013384918	0.08487835031120028	37	13	44	94	6
GBX2	c3	9.136791569769919	0.06717184801637	0.33280069712984783	5	97	7	109	6
FLI1	c1	5.221721382088993	0.3067679336852789	0.07268878973863835	20	56	60	136	6
POU3F2	c2	9.046468798784685	0.2261254928285999	0.12264012177247174	2	75	24	101	7
MEOX2	c3	6.2954054544464135	0.39074540599351365	0.1512376333708385	25	54	33	112	7
SRF	c1	-0.7139953506460662	2.487110776071262	4.17078537183973	139	3	1	143	7
POU6F2	c3	8.219060596624738	0.19834612540866	0.17140513844010563	11	73	29	113	8
CEBPB	c2	1.612261916397451	2.502505306977553	0.05554731785990974	45	9	61	115	8
MEF2C	c1	3.067303902047182	0.8266213671674034	0.060257086416823924	43	28	72	143	8
NEUROG2	c3	4.926101385173116	1.696972312939592	0.05702818909682428	32	15	67	114	9
ZBTB33	c2	1.0272140567907495	0.8800201719748211	0.098918852957393	54	34	34	122	9
IRF7	c1	5.462573565271891	2.00538470774385	0.0033482577767607324	16	9	120	145	9
RAX	c3	7.415110532573324	0.1914825564268295	0.18457584129613913	16	74	26	116	10
REL	c2	2.386735212462826	2.1944687626798243	0.04261756119661264	34	10	78	122	10
SPI1	c1	6.477271843639899	0.6970885397470746	0.022847006219485877	8	34	104	146	10
E2F2	c3	1.5857848346122134	2.1230216552844214	0.32264844889517796	97	11	9	117	11
SP3	c2	4.267052527114116	0.33521568096619075	0.06272427391336421	14	59	54	127	11
RXRB	c1	0.7761786214448484	0.35611743379572675	0.3094511707888348	92	52	15	159	11
PKNOX1	c3	6.672855063563254	0.775945315742125	0.06911654161984693	22	39	60	121	12
TEAD4	c2	7.865364396621811	0.9818145495806171	0.030225136503991834	5	29	93	127	12
REL	c1	4.538755350884218	0.3053539415806814	0.062100806741314685	31	57	71	159	12
EMX2	c3	2.380425908756416	0.9593319036615331	0.22514177209731656	75	32	18	125	13
KLF16	c2	4.325154734322475	0.8450499454321153	0.042202161099819335	13	36	79	128	13
XBP1	c1	1.7124165194430359	2.2049322122633868	0.03558176039882355	71	5	89	165	13
CEBPA	c2	1.7256059580653298	4.00292330083008	0.039845584033049164	43	3	82	128	14
NFIA	c3	8.488273255736846	0.7137614889373678	0.03604901826925477	6	41	84	131	14
RREB1	c1	6.431309458187326	0.5314789658569576	0.0061379615822296785	9	43	119	171	14
