motif	name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj	270502_S0_L001.sorted.dedup.bam	304955_S0_L001.sorted.dedup.bam	278106_S0_L001.sorted.dedup.bam	304944_S0_L001.sorted.dedup.bam	313308_S0_L001.sorted.dedup.bam	2792020_S32_L003.sorted.dedup.bam	2781090_S41_L003.sorted.dedup.bam	2858490_S0_L001.sorted.dedup.bam	2811610_S33_L003.sorted.dedup.bam	2705020_S0_L001.sorted.dedup.bam	2858810_S31_L003.sorted.dedup.bam	2781080_S30_L003.sorted.dedup.bam	2705010_S40_L003.sorted.dedup.bam	2858800_S38_L003.sorted.dedup.bam	3049430_S42_L003.sorted.dedup.bam	2705000_S0_L001.sorted.dedup.bam	3049380_S0_L001.sorted.dedup.bam	2792010_S0_L001.sorted.dedup.bam	3013500_S34_L003.sorted.dedup.bam	2811630_S35_L003.sorted.dedup.bam	2792040_S0_L001.sorted.dedup.bam	2781020_S37_L003.sorted.dedup.bam	3049400_S39_L003.sorted.dedup.bam	3049450_S36_L003.sorted.dedup.bam	m329861_S198.sorted.dedup.bam	m329883_S194.sorted.dedup.bam	m344004_S196.sorted.dedup.bam	m344001_S207.sorted.dedup.bam	m329885_S199.sorted.dedup.bam	m329865_S206.sorted.dedup.bam	m318978_S195.sorted.dedup.bam	m318979_S197.sorted.dedup.bam	m313309_S193.sorted.dedup.bam	m318986_S33_sorted.dedup.bam	m334087_S35_sorted.dedup.bam	m357484_S37_sorted.dedup.bam	m357486_S34_sorted.dedup.bam	m357488_S36_sorted.dedup.bam	m364088_S38_sorted.dedup.bam
MA0003.3_TFAP2A	TFAP2A	2.63950232944123	1.8035040694552	3.35716865690194	9.12580806465542e-36	1.12541914151981e-35	-2.25934032017586	-3.70818295853026	-3.14238378013068	-1.64035093165976	-4.78997736624729	-0.105842216978485	0.0135555900328478	0.679596251024022	-1.00790052001054	-1.69325218252417	3.92708127928122	0.310564790301257	-1.75749129616372	0.224478647389919	1.48302899254472	0.302828630644964	8.2414685519713	3.63699360144094	-0.0228359888221805	5.73444471391269	-1.63639864086984	-0.918886428720498	0.0715338376329268	0.802668657606261	-1.99063228881336	1.641254212999	-2.56457879804845	2.61732838597501	-1.81117415110333	1.54627940438518	-1.44399856318707	-1.08416077298389	-1.59514709746405	-2.79347306323968	1.549074749221	0.747009776149941	-3.21748744633358	-1.14419525014095	-3.98350011555153
MA0009.2_T	T	2.7436170688402	2.28485297877635	3.0931414793317	8.61891036014719e-40	1.11267538428656e-39	-2.94899394253315	-0.46061597094093	0.214536599986031	-0.506448776258579	-0.295084564048407	-3.23389780566409	2.37815318476069	0.647071849739121	3.0573642897111	-2.33214942325954	4.86752642959467	3.44302586779271	-2.68384746652979	0.674558215525302	1.32293826504689	2.86112950675947	-3.9741274153345	3.48823557579942	4.75955330607127	-3.58139353064282	-0.378497572705421	-1.89308930416978	3.02391269929596	1.35181054489388	-3.29799679374287	-0.866265118814747	2.9983503796214	3.42867378808493	-2.94778548631753	3.27841062451554	3.2312496325092	-0.0540742585179309	1.84834927016991	-0.58265874773489	-4.07205273298042	-2.730056967463	-0.913842092485269	-4.69590898032597	-1.21519950659838
MA0014.2_PAX5	PAX5	6.05940453626297	4.78440131778522	7.24294592181392	2.63819616558451e-268	8.27921723508634e-268	-6.48801377207925	4.80577215455126	1.41042350290116	-1.01830006308072	7.39018488020516	-8.72016128971596	-1.16391420905042	-7.96201401032614	6.08819989342277	1.24379363452002	3.22356484841313	2.89742803329046	-2.34658124870314	-6.66767567164119	-6.62434880607151	5.71481913785329	0.887840850908657	2.18112792203533	5.95335184761738	2.76392152262762	1.07990433022371	-5.34483666142336	0.91737713012044	-7.1320741524288	-5.0427454160023	-1.20171611749215	-0.960844193735786	12.5151805302301	-4.71449735116757	11.124347899185	-3.20511067374362	-3.05524171384985	15.3539307692913	2.87820493802532	-8.08666147579966	-2.20955136219168	3.98423585755684	-6.92457332177566	9.69453604007145
MA0017.2_NR2F1	NR2F1	5.14971551008751	3.57286838346693	6.36417860287758	1.05300818034719e-186	2.69179574578818e-186	0.366590691030405	4.92107375215199	3.98868369022645	0.299467996410932	5.87628796579489	-7.59950019195492	10.1691447516967	1.11575099083368	9.40248649703543	-0.0307046419818976	3.4540331102717	1.67389122605845	-4.4195118669825	1.94113267247241	2.37089835280115	6.11542688846421	-6.39956327516634	1.69960278541514	3.54214986052428	-2.51249832740967	2.10674329706785	-0.48765358202229	10.0716439916008	2.10524568814039	-3.11038586757658	1.44305885596125	-0.387061072283986	1.24777532703118	-3.56523550968692	-1.02643596923473	-2.69662750812431	-1.39968583931555	6.74657856599906	2.09491739744872	-14.4400309907382	2.53406489123225	4.527943752431	-10.7561483437404	4.80519275981463
MA0018.2_CREB1	CREB1	3.71564342023443	3.03761846704839	4.2398092297506	6.94415953407161e-87	1.09854327055395e-86	-4.10416874912818	-3.55722265613203	-5.0179193316201	2.41833435311983	-1.48717036992748	-2.86476019194909	-4.46544724673414	4.87087181919903	-4.04992141078051	-1.85756607907122	-5.24672627013842	-3.48614286096326	-1.83865462746392	2.22487943742559	3.95996842924946	-4.91246250000239	-2.05189077777852	-6.058500044267	-2.66868681030717	-1.00422227465365	-0.403246198399979	-4.9453198674803	-1.55671848871559	3.26416146293727	1.73128881726632	0.61597173728557	-1.65557728958448	-2.39681834591696	1.20449453561726	-2.83162908340463	-4.06960723551499	-3.15993944174082	5.89923124577888	3.93348314896457	2.62150703019536	2.29657584438501	4.43165430072417	6.8887383000273	7.13024902828827
MA0024.3_E2F1	E2F1	2.11906883041733	1.63015609087803	2.49818262000973	1.00068227801727e-18	1.1099521819387e-18	-0.531741644183149	-2.39786529162375	-2.82527512008505	-0.137048475948952	-2.48995776451191	0.508683585295417	-1.40204497969615	1.65506530922163	-3.15879870806845	-0.839052297961041	-4.92250060754965	-1.02587949880012	2.38538791584376	1.01854586009557	1.01446413404682	-5.33009749422739	1.16223454347139	-4.64169175667592	-1.27140711242555	1.5883040720303	-1.2489890065479	-0.274693488698158	-1.54422862360226	1.00326158776936	0.308185567996612	-0.808318400387694	-1.6406206515098	-1.4295689425218	0.480876470471937	-0.998782102633538	-2.36367564372477	2.15776525505935	2.02710041223325	1.14079739396587	2.35190570362267	1.75053116635733	0.901937235846091	3.45144293079778	1.74550474996686
MA0025.1_NFIL3	NFIL3	2.15557579813863	1.75307201457596	2.49916735053706	9.46035155863901e-20	1.05540338197533e-19	-2.38536022572665	0.227119035268601	-2.54730852131005	-0.893132353744334	-0.162347490685684	-0.996377098984128	2.85761297776125	1.5097032328236	-2.10905756708721	-1.97452293886701	2.07556422183842	-1.41018161947461	0.606246438701946	0.572689511273581	1.36184181270828	-1.17020856647649	4.29253930634928	1.72477198281394	1.22184576467959	3.77443591169748	-1.70364796275883	-2.53516223272422	3.21992072581998	1.07603929833391	-1.16262077001015	-0.836300092400682	3.55413818747664	0.469389840655885	-1.59060333402167	-0.313078236127055	1.93126199457271	0.525980399277818	4.70783108057713	0.135655183502578	-2.98007008208722	-2.46059160296226	-0.65530982013364	-1.99923632030125	-3.54745543791236
MA0027.2_EN1	EN1	3.74805329291197	2.44099944023506	4.91112523882388	9.56788832267657e-89	1.52611772419552e-88	-0.663218793346204	-1.1158324832516	-0.870708216682686	-1.09767454668593	-0.227522976271993	0.536432847239247	-0.0856341613695115	4.49864734776592	-3.28841636091975	-2.99110609629354	1.60549167238348	-0.99195695608142	5.80826120885852	6.43756795319806	6.26040228309884	-4.07554671274843	-1.29472875048326	1.19892237244397	-4.74274499577395	-1.26449379694474	-1.40969956583464	-5.84619250297166	-1.32692421205249	3.73367887638253	-0.412888678231499	-0.481525970549557	-1.63040320282381	-1.25063192736529	-0.436418600309431	-3.99789918287802	-2.44552390118264	0.0791834324580844	-0.672140541131918	0.319228956155522	13.6249809856755	-2.81377458097649	-0.725453368582069	6.99120292235957	-2.46359877852854
MA0028.2_ELK1	ELK1	4.56642721871082	3.15959719625464	5.92783871326071	8.16076483887702e-142	1.64924357476782e-141	0.973740773491499	-0.03807905599695	-4.33301244466553	2.28726507256338	-2.05432901226739	3.02740728376182	-3.74067118612587	-0.392557556078778	-2.52499076835823	-0.455654180052612	-4.76606860784027	-4.96946577964669	6.25469077802386	-0.119149596967872	-1.63198294234902	-1.34551722198569	1.03867565476008	-5.82983958431351	-0.39238903011492	2.91671810376182	1.31567937084264	3.69620365696119	-3.01367439034118	-0.535917382134582	2.61912716884313	-0.736800396990784	-4.44790635179903	-9.68931717230112	1.26231237470815	-7.68416998645709	-4.90559203709748	-2.60895237835852	2.94103457451691	3.06827208880125	0.455016675114064	7.14404260927701	4.00203791663405	5.25852537794204	15.759778868534
MA0030.1_FOXF2	FOXF2	9.12575028656225	7.16230188373366	10.7730087044023	0	0	0.293201196802445	9.54080330766041	2.83030680218245	0.935041835639455	3.80977981068484	2.81471994893174	-7.45987318395993	7.25524631662968	8.37293962327001	-5.84976434424107	10.6357790032796	-0.992493374417869	-2.46448339424659	9.46527296847376	9.47731702504065	11.1467259750674	-11.469698061192	10.6277330860594	3.3857443689527	-12.4489412488441	-3.87279074740704	0.883180375481292	-5.1180069936346	8.84609708326377	0.992392245975629	-6.36018286889885	22.5299401214831	-12.2529650153736	1.12633829157694	-13.9687843537687	17.7875053138443	-2.06684202527124	6.02029360767153	8.75605145898741	-15.5129300783836	-2.42391913698934	5.60850944652241	-14.769629273566	-9.17930000286075
