© 2000-2024 QIAGEN. All rights reserved.

Canonical Pathways	c1	c2	c3
Major pathway of rRNA processing in the nucleolus and cytosol	N/A	7.211	-4.69
Eukaryotic Translation Initiation	N/A	7.141	-4.69
Response of EIF2AK4 (GCN2) to amino acid deficiency	N/A	7.0	-4.69
Selenoamino acid metabolism	N/A	7.0	-4.69
Nonsense-Mediated Decay (NMD)	N/A	7.0	-4.69
Eukaryotic Translation Elongation	N/A	7.071	-4.6
SRP-dependent cotranslational protein targeting to membrane	N/A	6.928	-4.69
Eukaryotic Translation Termination	N/A	6.856	-4.69
Neutrophil degranulation	2.449	3.13	-3.71
Protein Ubiquitination Pathway	1.0	3.742	-3.606
EIF2 Signaling	N/A	4.802	-3.3
Class I MHC mediated antigen processing and presentation	1.633	2.111	-4.264
Interferon gamma signaling	2.0	2.0	-3.464
Pulmonary Fibrosis Idiopathic Signaling Pathway	N/A	3.317	-3.0
Coronavirus Pathogenesis Pathway	N/A	-3.71	2.309
Interferon alpha/beta signaling	2.0	N/A	-4.0
Antigen Presentation Pathway	2.236	N/A	-3.606
Deubiquitination	0.0	3.0	-2.828
ID1 Signaling Pathway	N/A	2.646	-3.0
Immunogenic Cell Death Signaling Pathway	N/A	2.646	-2.236
Signaling by ROBO receptors	N/A	2.646	-2.236
Cytosolic sensors of pathogen-associated DNA	N/A	2.646	-2.236
PD-1, PD-L1 cancer immunotherapy pathway	-2.0	N/A	2.828
KEAP1-NFE2L2 pathway	N/A	2.828	-2.0
Interleukin-4 and Interleukin-13 signaling	N/A	2.236	-2.449
Signaling by the B Cell Receptor (BCR)	N/A	2.449	-2.236
Acute Phase Response Signaling	N/A	2.236	-2.449
Interleukin-1 family signaling	N/A	2.449	-2.236
NIK-->noncanonical NF-kB signaling	N/A	2.646	-2.0
Transcriptional regulation by RUNX3	N/A	2.646	-2.0
MSP-RON Signaling in Cancer Cells Pathway	N/A	2.236	-2.236
DDX58/IFIH1-mediated induction of interferon-alpha/beta	N/A	2.449	-2.0
Regulation of RUNX2 expression and activity	N/A	2.449	-2.0
Response to elevated platelet cytosolic Ca2+	N/A	2.0	-2.449
Ferroptosis Signaling Pathway	N/A	2.449	-2.0
ILK Signaling	N/A	2.0	-2.449
RAF/MAP kinase cascade	1.0	1.508	-1.89
Amyloid fiber formation	-1.0	1.342	-2.0
NOD1/2 Signaling Pathway	N/A	2.449	-1.89
Neddylation	N/A	2.333	-2.0
Gap Junction Signaling	-1.0	2.333	-1.0
Unfolded protein response	N/A	2.236	-2.0
NLR signaling pathways	N/A	2.236	-2.0
Cachexia Signaling Pathway	N/A	3.0	-1.155
Sirtuin Signaling Pathway	-1.0	1.807	1.342
Autism Signaling Pathway	N/A	1.265	-2.84
Cell Cycle Checkpoints	-1.633	2.449	N/A
Neuroinflammation Signaling Pathway	N/A	1.0	-3.051
ISG15 antiviral mechanism	N/A	2.0	-2.0
SNARE Signaling Pathway	N/A	-1.667	2.333
C-type lectin receptors (CLRs)	N/A	2.0	-2.0
RIPK1-mediated regulated necrosis	N/A	2.0	-2.0
TNFR2 non-canonical NF-kB pathway	N/A	1.89	-2.0
Transcriptional regulation by RUNX1	-0.447	1.414	-2.0
DNA Replication Pre-Initiation	-1.342	2.449	N/A
Chronic Myeloid Leukemia Signaling	N/A	1.667	-2.121
Pulmonary Healing Signaling Pathway	N/A	1.667	-2.111
Hepatic Fibrosis Signaling Pathway	N/A	1.604	-2.111
Colorectal Cancer Metastasis Signaling	N/A	2.0	-1.667
Myelination Signaling Pathway	N/A	1.897	-1.732
S100 Family Signaling Pathway	2.0	-0.775	-0.853
CXCR4 Signaling	N/A	1.342	-2.121
Synaptogenesis Signaling Pathway	N/A	-2.183	1.279
RAC Signaling	N/A	1.0	-2.449
Gα12/13 Signaling	N/A	1.0	-2.449
Neutrophil Extracellular Trap Signaling Pathway	N/A	-1.807	-1.633
Cohesin Chromatin Regulation Pathway	-2.0	-1.342	N/A
Multiple Sclerosis Signaling Pathway	N/A	N/A	-3.317
IL-27 Signaling Pathway	N/A	N/A	-3.317
Degradation of beta-catenin by the destruction complex	N/A	1.667	-1.633
BAG2 Signaling Pathway	N/A	1.633	-1.633
eNOS Signaling	N/A	-1.342	1.89
TCF dependent signaling in response to WNT	-0.816	1.265	-1.134
Protein Kinase A Signaling	0.447	1.134	1.633
HER-2 Signaling in Breast Cancer	N/A	1.508	-1.633
Prostate Cancer Signaling	N/A	1.134	-2.0
Potassium Channels	N/A	-1.134	2.0
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	N/A	1.0	-2.121
Signaling by NOTCH4	N/A	2.121	-1.0
HOTAIR Regulatory Pathway	N/A	1.633	-1.414
Neurexins and neuroligins	N/A	-1.0	2.0
Mitotic G2-G2/M phases	N/A	3.0	N/A
Adrenergic Receptor Signaling Pathway (Enhanced)	N/A	-1.342	1.633
Tumor Microenvironment Pathway	N/A	2.646	-0.302
GABAergic Receptor Signaling Pathway (Enhanced)	N/A	-2.236	0.707
Thrombin Signaling	N/A	1.0	-1.89
Th1 Pathway	N/A	N/A	-2.828
ABC-family proteins mediated transport	N/A	2.828	N/A
Chaperone Mediated Autophagy	N/A	2.828	N/A
Interferon Signaling	N/A	N/A	-2.828
Pancreatic Secretion Signaling Pathway	N/A	-1.342	1.414
RHOGDI Signaling	N/A	-1.342	1.342
Apoptotic execution phase	N/A	1.342	-1.342
Aggrephagy	N/A	2.646	N/A
Cellular response to heat stress	N/A	2.646	N/A
Hedgehog ligand biogenesis	N/A	2.646	N/A
Necroptosis Signaling Pathway	N/A	N/A	-2.646
Acetylcholine Receptor Signaling Pathway	N/A	-1.0	1.633
Human Embryonic Stem Cell Pluripotency	N/A	1.414	-1.134
Serotonin Receptor Signaling	2.0	-0.277	0.258
Docosahexaenoic Acid (DHA) Signaling	N/A	-0.816	1.667
NAD Signaling Pathway	N/A	1.342	-1.134
Hedgehog 'on' state	N/A	2.449	N/A
Cellular response to hypoxia	N/A	2.449	N/A
Regulation of mitotic cell cycle	N/A	2.449	N/A
Regulation of mRNA stability by proteins that bind AU-rich elements	N/A	2.449	N/A
Regulation of Apoptosis	N/A	2.449	N/A
TCR signaling	N/A	2.449	N/A
DNA Damage/Telomere Stress Induced Senescence	-2.449	N/A	N/A
S Phase	N/A	2.449	N/A
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	N/A	2.449	N/A
Signaling by MET	N/A	2.449	N/A
Synthesis of DNA	N/A	2.449	N/A
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	N/A	N/A	-2.449
Th2 Pathway	N/A	N/A	-2.449
Regulation of TP53 Activity through Phosphorylation	N/A	2.449	N/A
Iron uptake and transport	N/A	2.449	N/A
14-3-3-mediated Signaling	N/A	1.0	-1.342
Signaling by NOTCH3	N/A	1.342	-1.0
fMLP Signaling in Neutrophils	N/A	1.0	-1.342
cAMP-mediated signaling	N/A	-0.333	2.0
Endocannabinoid Developing Neuron Pathway	N/A	0.0	-2.236
Senescence-Associated Secretory Phenotype (SASP)	-2.236	N/A	N/A
Sensory processing of sound by inner hair cells of the cochlea	N/A	-2.236	N/A
Glioblastoma Multiforme Signaling	N/A	N/A	-2.236
IL-15 Production	N/A	N/A	-2.236
Late endosomal microautophagy	N/A	2.236	N/A
E3 ubiquitin ligases ubiquitinate target proteins	N/A	2.236	N/A
DNA Double Strand Break Response	N/A	2.236	N/A
MHC class II antigen presentation	N/A	N/A	-2.236
Binding and Uptake of Ligands by Scavenger Receptors	N/A	2.236	N/A
White Adipose Tissue Browning Pathway	N/A	1.342	0.816
Endocannabinoid Cancer Inhibition Pathway	N/A	-1.342	0.816
Erythropoietin Signaling Pathway	N/A	0.447	-1.633
Semaphorin Neuronal Repulsive Signaling Pathway	N/A	1.633	-0.447
Apelin Endothelial Signaling Pathway	N/A	0.447	-1.633
Mitochondrial Dysfunction	N/A	0.894	-1.134
Role of PKR in Interferon Induction and Antiviral Response	N/A	-1.633	-0.378
GM-CSF Signaling	N/A	N/A	-2.0
Clathrin-mediated endocytosis	N/A	0.0	-2.0
Metabolism of polyamines	N/A	2.0	N/A
Retinoic acid Mediated Apoptosis Signaling	N/A	N/A	-2.0
ESR-mediated signaling	-2.0	N/A	N/A
Glioma Invasiveness Signaling	N/A	N/A	-2.0
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	N/A	2.0	N/A
Deadenylation-dependent mRNA decay	N/A	2.0	N/A
Degradation of the extracellular matrix	N/A	0.0	-2.0
Assembly of collagen fibrils and other multimeric structures	N/A	N/A	-2.0
TAK1-dependent IKK and NF-kappa-B activation	N/A	2.0	N/A
DNA Damage Bypass	N/A	2.0	N/A
JAK/STAT Signaling	N/A	N/A	-2.0
NGF Signaling	N/A	1.0	-1.0
RANK Signaling in Osteoclasts	N/A	N/A	-2.0
Hedgehog 'off' state	N/A	2.0	0.0
DAP12 interactions	N/A	N/A	-2.0
PPARα/RXRα Activation	N/A	-0.816	1.134
Oxytocin in Brain Signaling Pathway	N/A	-1.134	0.816
Estrogen Receptor Signaling	1.0	0.577	0.333
Protein folding	N/A	1.89	N/A
NAFLD Signaling Pathway	N/A	N/A	-1.89
ROBO SLIT Signaling Pathway	N/A	N/A	1.89
Macrophage Classical Activation Signaling Pathway	N/A	N/A	-1.89
Insulin Secretion Signaling Pathway	N/A	0.577	1.265
Electron transport, ATP synthesis, and heat production by uncoupling proteins	N/A	-1.807	N/A
GNRH Signaling	N/A	0.447	1.342
Opioid Signaling Pathway	N/A	1.414	-0.333
IL-10 Signaling	N/A	N/A	1.667
Oxytocin Signaling Pathway	N/A	1.265	-0.378
ABRA Signaling Pathway	N/A	1.633	N/A
Signaling by ERBB2	N/A	1.633	N/A
NRF2-mediated Oxidative Stress Response	N/A	1.633	N/A
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	N/A	N/A	-1.633
Glutaminergic Receptor Signaling Pathway (Enhanced)	N/A	-0.302	1.265
Orexin Signaling Pathway	N/A	-0.816	0.707
MSP-RON Signaling in Macrophages Pathway	N/A	1.0	0.447
mTOR Signaling	N/A	0.447	-1.0
TNF signaling	N/A	0.447	-1.0
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	N/A	-1.0	0.447
Synaptic Long Term Potentiation	N/A	-0.447	1.0
Nuclear Cytoskeleton Signaling Pathway	N/A	N/A	-1.414
Oxidative Phosphorylation	N/A	-1.387	N/A
Parkinson's Signaling Pathway	N/A	1.0	0.378
Adrenomedullin signaling pathway	N/A	1.342	0.0
trans-Golgi Network Vesicle Budding	N/A	1.342	N/A
UFMylation Signaling Pathway	N/A	1.342	N/A
Mouse Embryonic Stem Cell Pluripotency	N/A	N/A	-1.342
PPAR Signaling	N/A	-1.342	N/A
CDK5 Signaling	N/A	N/A	1.342
Microautophagy Signaling Pathway	N/A	1.342	N/A
Integration of energy metabolism	N/A	0.0	1.342
Signaling by NOTCH2	N/A	1.342	N/A
Death Receptor Signaling	N/A	N/A	-1.342
Adipogenesis pathway	N/A	N/A	-1.342
Prolactin Signaling	N/A	N/A	-1.342
Sphingosine-1-phosphate Signaling	N/A	N/A	-1.342
Beta-catenin independent WNT signaling	N/A	1.342	N/A
Cytoprotection by HMOX1	N/A	-1.342	N/A
Natural Killer Cell Signaling	N/A	1.0	-0.277
Endothelin-1 Signaling	N/A	-0.447	-0.816
HIF1α Signaling	N/A	1.155	0.0
WNT/SHH Axonal Guidance Signaling Pathway	N/A	N/A	-1.134
Signaling by ERBB4	N/A	1.134	N/A
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	N/A	N/A	-1.0
Transcriptional regulation of granulopoiesis	-1.0	N/A	N/A
LPS-stimulated MAPK Signaling	N/A	N/A	-1.0
P2Y Purinergic Receptor Signaling Pathway	N/A	1.0	0.0
Mitochondrial protein import	N/A	1.0	N/A
Oxidative Stress Induced Senescence	-1.0	N/A	N/A
GABA synthesis, release, reuptake and degradation	N/A	-1.0	N/A
Pre-NOTCH Expression and Processing	-1.0	N/A	N/A
Cell junction organization	N/A	N/A	-1.0
Thrombopoietin Signaling	N/A	N/A	-1.0
Signaling by FGFR1	N/A	1.0	N/A
IL-3 Signaling	N/A	N/A	-1.0
IL-9 Signaling	N/A	N/A	-1.0
Huntington's Disease Signaling	N/A	1.0	N/A
ERBB Signaling	N/A	0.0	-1.0
NF-κB Activation by Viruses	N/A	N/A	-1.0
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	N/A	1.0	N/A
