© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulators	c1	c2	c3
MLXIPL	N/A	6.325	-4.308
MYC	0.468	7.668	-2.097
KLF6	2.449	2.763	-3.893
MYCN	N/A	4.51	-2.808
YAP1	1.914	2.464	-2.687
HIF1A	-1.287	2.597	-2.965
NKX2-3	-1.342	1.414	3.838
JUN	1.029	2.92	-2.622
SMARCA4	1.245	1.414	-3.828
IRF1	N/A	1.964	-4.232
IRF7	1.954	N/A	-4.139
SIRT1	-2.414	0.627	2.837
STAT1	2.174	N/A	-3.674
NFkB (complex)	N/A	1.88	-3.72
CEBPB	N/A	3.109	-2.247
TRIM24	-2.0	N/A	3.227
RELA	1.524	0.985	-2.632
SMAD3	N/A	2.81	-2.25
SMAD2	N/A	2.767	-2.183
CITED2	-1.982	N/A	2.933
GLI1	-2.552	0.585	1.513
MYCL	N/A	2.578	-2.0
MRTFA	N/A	2.553	-1.954
IRF3	1.954	N/A	-2.55
ZIC2	N/A	-1.673	2.828
FOXC1	1.633	N/A	-2.84
NFKB1	N/A	1.276	-3.132
STAT5B	N/A	2.333	-2.06
SMAD4	N/A	2.401	-1.937
PIAS1	N/A	-1.567	2.646
NCOA3	N/A	2.234	-1.969
STAT3	0.946	0.787	-2.36
GFI1	N/A	-1.951	1.982
DDIT3	N/A	1.6	-2.326
ETV6	N/A	N/A	3.873
IRF4	N/A	-2.714	1.145
NONO	N/A	N/A	-3.793
STAT6	0.314	2.254	1.118
JUNB	N/A	1.982	-1.698
EPAS1	-0.33	2.086	-1.224
SREBF1	N/A	-2.185	-1.445
ETV3	N/A	N/A	3.606
TP53	-0.283	0.637	-2.682
HSF1	N/A	2.641	-0.938
EP300	-0.218	1.721	-1.592
RBPJ	1.287	N/A	-2.209
NOTCH1	N/A	1.211	-2.233
KLF5	1.969	N/A	-1.455
TCF7L2	1.672	N/A	-1.703
BHLHE40	1.633	N/A	-1.703
STAT4	1.131	N/A	-2.18
PRDM2	-1.0	-0.378	-1.89
ZEB1	N/A	2.227	-0.986
ZBTB10	N/A	N/A	-3.162
NFE2L2	N/A	2.966	0.126
TFAP2A	N/A	-1.982	1.067
KMT2D	-1.387	N/A	1.66
TEAD4	N/A	1.634	-1.41
WT1	N/A	2.043	-0.994
NPM1	N/A	1.134	-1.89
SPI1	N/A	0.447	-2.555
CTNNB1	0.758	1.218	-0.948
TWIST1	N/A	0.947	-1.968
REL	N/A	N/A	-2.882
IKZF1	-1.532	-0.048	1.265
EZH2	1.964	0.112	-0.743
NLRC5	N/A	N/A	-2.779
DLX1	N/A	1.231	-1.501
ATF3	N/A	1.356	-1.369
MITF	1.0	0.7	-0.924
MXD1	N/A	-2.607	N/A
SALL4	-0.152	-1.633	0.816
IRF5	N/A	N/A	-2.599
KLF4	-0.86	1.296	-0.439
HMG20A	N/A	2.121	-0.447
MRTFB	N/A	2.563	N/A
TAL1	N/A	N/A	2.449
CDX2	N/A	-2.433	N/A
SNAI2	N/A	1.189	-1.234
IRF9	N/A	N/A	-2.36
SOX4	N/A	N/A	-2.345
SMARCA5	N/A	N/A	2.343
ETV7	N/A	N/A	2.333
EGR1	N/A	0.98	-1.342
HMGA1	-0.772	-0.617	0.928
FOXO1	N/A	1.396	-0.889
YY1	N/A	1.62	-0.665
POU5F1	N/A	2.007	-0.246
SOX2	-2.151	N/A	-0.097
TEAD2	N/A	2.236	N/A
TEAD3	N/A	2.236	N/A
IRF2	N/A	N/A	-2.236
PRDM1	-1.436	N/A	0.786
ZFP36	N/A	N/A	2.219
EBF1	N/A	N/A	-2.219
NCOR1	N/A	N/A	2.213
CCND1	N/A	-1.732	0.478
SMAD2/3/SMAD4	N/A	2.2	N/A
HTT	N/A	2.2	N/A
TP63	N/A	-0.975	-1.224
NOTCH2	N/A	2.176	N/A
ECSIT	N/A	N/A	-2.165
MEF2D	N/A	2.16	N/A
FOXA2	N/A	-1.424	0.73
ID1	N/A	2.015	-0.133
TEAD1	N/A	2.121	N/A
WWTR1	N/A	1.964	0.152
PPARGC1A	N/A	-1.426	0.671
SNAI1	N/A	1.69	-0.351
AIRE	N/A	N/A	2.0
ZNF217	N/A	1.0	-1.0
GLIS2	N/A	-2.0	N/A
ISGF3	N/A	N/A	-2.0
PPARGC1B	N/A	-2.0	N/A
SPZ1	N/A	1.989	N/A
PROX1	N/A	-1.987	N/A
NFYA	N/A	N/A	-1.982
CNOT7	N/A	N/A	1.98
TFAP4	N/A	1.98	N/A
ATF6	N/A	N/A	-1.98
HIVEP1	N/A	N/A	1.964
PRDM16	N/A	N/A	1.963
TFEB	N/A	N/A	-1.96
PAX6	N/A	N/A	1.96
MEF2A	N/A	N/A	-1.96
SPDEF	N/A	-1.941	N/A
LMO2	-1.0	0.632	-0.225
SP1	N/A	0.243	-1.575
SOX9	N/A	1.395	-0.401
FOXM1	N/A	N/A	-1.776
NFIC	N/A	N/A	-1.772
POU2AF1	N/A	N/A	-1.766
ID3	1.732	N/A	N/A
NUPR1	1.732	N/A	N/A
TCF3	N/A	N/A	-1.718
NCOA2	N/A	N/A	-1.715
REST	N/A	1.706	N/A
CIITA	N/A	N/A	-1.704
FOXA1	N/A	-0.6	1.103
POU4F1	N/A	-1.671	N/A
SP110	N/A	N/A	1.667
FLI1	N/A	1.659	N/A
SREBF2	N/A	N/A	1.659
KLF3	1.633	N/A	N/A
HNF1B	N/A	-0.816	0.816
BRCA1	N/A	N/A	-1.623
LDB1	-1.0	0.0	0.577
ERG	N/A	0.777	0.781
CREB1	N/A	-0.894	-0.625
TWIST2	N/A	0.946	-0.531
CEBPA	0.555	-0.602	-0.312
STAT4 dimer	N/A	-1.0	0.447
ARID1A	0.194	-0.106	1.145
TCF12	N/A	0.057	-1.378
FOXC2	N/A	0.714	-0.714
SIX2	N/A	-1.414	N/A
SMAD7	N/A	-1.405	N/A
FOXO4	N/A	1.4	N/A
PML	N/A	N/A	-1.396
ARNT	N/A	1.387	N/A
NRF1	N/A	1.316	-0.068
EGR2	1.067	N/A	-0.311
ZEB2	N/A	N/A	-1.375
CREBBP	0.13	0.0	-1.23
NEUROG1	N/A	0.0	1.342
PHF12	N/A	-1.342	N/A
CLOCK	N/A	N/A	1.342
ATF4	N/A	N/A	-1.331
NOTCH3	N/A	0.532	0.789
MYB	-0.594	0.724	N/A
VHL	N/A	0.777	-0.537
STAT2	N/A	N/A	-1.311
CDKN2A	0.218	-1.022	N/A
RB1	N/A	N/A	-1.238
ELK1	N/A	N/A	-1.234
GATA3	N/A	-1.226	N/A
MEOX2	N/A	N/A	-1.154
SMAD1	N/A	1.154	N/A
ESRRA	N/A	1.151	N/A
SIM1	N/A	N/A	-1.134
TFE3	N/A	-1.134	N/A
ARNT2	N/A	N/A	-1.134
Fus	N/A	1.131	N/A
SRSF2	N/A	-1.119	N/A
EHF	N/A	N/A	-1.117
IRF8	N/A	N/A	1.091
CBFA2T3	N/A	N/A	-1.067
TFAP2C	N/A	N/A	1.067
HES1	N/A	1.067	N/A
STAT5A	N/A	N/A	-1.067
FOS	N/A	0.04	-1.006
PDX1	N/A	0.943	-0.059
NANOG	N/A	N/A	-1.0
ZNF281	N/A	1.0	N/A
USF1	N/A	N/A	-1.0
IKZF3	N/A	N/A	1.0
PCGF2	N/A	N/A	0.984
MECP2	N/A	-0.975	N/A
