gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
HOXB3	c3	8.292037132466591	1.1874825930181303	0.10083755848813958	19	38	31	88	1
OVOL1	c2	1.2356334395917428	2.6029470310548275	2.0105652221791885	86	11	9	106	1
IRF8	c1	9.26365971681859	0.2914606199259876	0.014879595171613857	3	96	20	119	1
CEBPB	c2	1.612261916397451	2.502505306977553	1.043255238687296	76	13	23	112	2
FOXA2	c3	6.250280139096913	2.4889948011171934	-0.048755065252294116	43	13	64	120	2
IKZF1	c1	3.813397323004929	1.5974770876310873	-0.28216570174115585	46	22	54	122	2
NFIL3	c2	4.431399496932771	1.2999996998572545	0.7283547030635198	17	35	61	113	3
PPARD	c1	1.5937734935884904	2.4935393463703015	2.4328843315286175	115	4	6	125	3
LBX2	c3	7.11451513859719	0.7958758372798035	0.09581981601965595	35	66	32	133	3
NFKB1	c2	2.9313193593047435	0.7054669615593651	2.1770304269970016	40	74	6	120	4
ZBTB7A	c1	5.2532380341783025	2.1300783004315225	-0.37547041712271145	22	9	101	132	4
HAND2	c3	9.988680488635058	1.1474399986347865	-0.07214462554555467	10	42	81	133	4
HSF1	c2	1.1202795558625434	1.3886381350158643	1.8179904088797496	89	31	14	134	5
SIX2	c3	4.388451608646184	1.3850683158454773	0.05912995549382494	68	31	35	134	5
RUNX3	c1	2.1770546268950444	2.077205433975059	-0.21948501353301886	94	10	36	140	5
NFKB2	c2	3.1748485977463696	5.956927680225959	0.6218249937413773	36	2	96	134	6
NEUROG2	c3	4.926101385173116	1.696972312939592	-0.012336572319762595	57	25	52	134	6
EGR3	c1	5.064320523970785	2.3815111349975355	-0.3812137978633974	27	7	106	140	6
NFIX	c3	7.517133249049756	1.2585777883858424	-0.06234445287624979	28	34	74	136	7
SPIC	c2	4.555507806833728	2.8058529517907402	0.583700209924098	15	8	118	141	7
RREB1	c1	6.431309458187326	0.5314789658569576	-0.34740279038247124	9	65	80	154	7
NFIC	c3	9.816417226635606	2.8433624239268367	-0.12341391058905771	11	8	117	136	8
RELA	c2	3.36887430296019	1.0644972887491888	0.6726644396562946	31	48	77	156	8
MEF2B	c1	2.9395195617559864	1.0251003558035878	-0.3352548419995838	69	36	71	176	8
PAX6	c3	3.4203286543108655	2.031323016532918	0.1685548797839438	94	19	25	138	9
ZNF684	c2	0.5956806373122959	1.7672724224742888	0.8938906050734108	110	18	31	159	9
EGR1	c1	7.158446606009102	0.6224686026595279	-0.4093994337928315	5	55	130	190	9
NEUROD1	c3	11.051955687904204	1.8631231466545584	-0.12005883509615067	8	22	116	146	10
SP1	c2	4.002162792540117	1.7609056013384918	0.5773104594080598	24	19	123	166	10
MEF2C	c1	3.067303902047182	0.8266213671674034	-0.3523477724226023	62	44	85	191	10
RAX	c3	7.415110532573324	0.1914825564268295	0.2176000216975229	30	125	23	178	11
TCF7	c1	8.24341663597633	0.14296677765264104	-0.32672436216653367	4	131	68	203	11
TEAD4	c2	6.253914886523615	0.9818145495806171	0.5322001771608988	9	53	163	225	11
ATOH7	c3	4.73036695722742	1.4852131590124544	-0.09042169831029767	60	29	92	181	12
REL	c1	4.538755350884218	0.3053539415806814	-0.33972304961007005	36	94	76	206	12
OTX2	c2	1.1495820635181162	0.6751291862398534	0.725444264373925	88	78	62	228	12
SIX1	c3	2.642274336279328	2.4599751387769055	0.022972041866808013	126	14	43	183	13
SPI1	c1	4.752793704926011	0.6970885397470746	-0.40048199184603117	34	51	121	206	13
OVOL2	c2	0.8234943244276991	0.22618903050234243	3.9538843540175854	100	143	1	244	13
FOXE1	c3	7.8240326008880015	0.12057202599488027	0.2719458077615915	24	147	19	190	14
MEF2A	c1	3.5623450467083297	0.4415293860458108	-0.3584982241014423	52	70	90	212	14
TEAD1	c2	4.382897680209185	0.20192808144894456	0.6602410072305016	19	151	82	252	14
PAX3	c3	3.3097585966900067	1.2441157118585626	-0.021498703833962907	101	36	53	190	15
ETS1	c1	6.28412016641409	1.503777347164133	-0.4730225799476049	12	23	179	214	15
POU5F1	c2	29.318234062563796	0.4023253305865475	0.548181900439209	1	112	146	259	15
FOXP2	c3	6.582608141787242	0.5912475829534677	-0.07505874120533385	38	77	84	199	16
KLF2	c1	4.5006668864752495	0.30774909841228587	-0.3690851149994847	37	91	93	221	16
GRHL2	c2	3.191748359968429	0.4571674091075507	0.5752554484339854	34	101	125	260	16
RFX2	c3	3.333097994074183	3.4356582985034163	-0.09794018615498068	99	4	97	200	17
KLF5	c1	2.2632722238541887	3.933178553434534	-0.41543513206050786	91	1	135	227	17
E2F1	c2	-0.1324705095996057	1.1643725484455956	0.7002232149228274	152	44	69	265	17
ZNF317	c3	3.881991743643425	1.2154857450798078	-0.08701824478464992	78	37	89	204	18
ELF1	c1	3.7839365804636724	0.2799389691132049	-0.355013155767411	47	100	87	234	18
TFCP2	c2	2.3529418311760555	0.3063450294827488	0.637606848117521	56	122	90	268	18
GBX2	c3	9.136791569769919	0.06717184801637	0.13921914162164306	14	166	27	207	19
MEF2D	c1	2.5648461763117165	1.4205194866608575	-0.4086673123310458	82	24	129	235	19
ETV3	c2	-0.07372397852937906	1.557288893561695	0.6166007273132124	147	25	99	271	19
LHX2	c3	7.792791762694143	3.1834584444353147	-0.18157402127993727	25	5	184	214	20
HOXD12	c1	-0.05120507713481953	0.7897401071960994	2.026893759671685	197	46	9	252	20
HLF	c2	4.378243423754705	0.03552973336848462	0.7012390701796516	20	186	68	274	20
NHLH1	c3	11.149579179706464	1.6950220478015574	-0.18488284947578304	7	26	188	221	21
EGR4	c1	2.664055148857975	0.21156044853938105	-0.30250570616377015	77	116	62	255	21
IRF5	c2	0.55235352148911665	0.3201216475251198	0.817465413795837	114	120	43	277	21
PKNOX2	c3	8.307887594042047	0.007057225288960515	5.425096629849526	18	203	1	222	22
STAT1	c1	1.9516466211865289	0.6704921634672769	-0.37921528453136766	102	53	103	258	22
E2F3	c2	-1.1606387701585923	0.9904554392774177	3.4560562730821953	224	52	3	279	22
FOXB1	c3	6.243829249414123	0.12429289364805049	0.048190962500536116	44	145	39	228	23
KLF17	c1	2.7757979186045505	0.31030867547116014	-0.3749134239166514	72	90	97	259	23
REL	c2	2.386735212462826	2.1944687626798243	0.4812534664811974	55	14	210	279	23
TFAP4	c3	8.416777151239746	0.48221314438008794	-0.13992575013185338	17	87	138	242	24
POU2F2	c1	1.7299637842664002	1.0735932681412057	-0.38992841456666305	112	34	114	260	24
ETV6	c2	0.7574690830819957	0.9644525259318594	0.5835350755184008	106	56	119	281	24
FOXA1	c3	4.96799756292563	0.158849461672574	-0.031420815709282124	56	133	58	247	25
FOS	c1	5.076271666436983	0.36699852965854257	-0.4483788735067158	26	81	158	265	25
KLF6	c2	4.449410178715186	3.585431068208308	0.43431478233228216	16	4	264	284	25
HEY2	c3	1.7566714756451034	2.24235902835471	-0.058861728600657415	162	15	71	248	26
IRF2	c1	6.200869738928637	1.6698460083734252	-0.5713413745800899	13	18	248	279	26
CEBPA	c2	0.8469715011541281	4.00292330083008	0.5123501914137218	98	3	186	287	26
HOXB7	c3	2.98681614670031	0.804038651728524	-0.0726002385259985	108	65	82	255	27
RARA	c1	3.001693610270997	0.16256547699248627	-0.36905217055447714	65	124	92	281	27
BCL6	c2	-0.5291281354533446	0.4741249638930339	1.994021806859493	180	98	10	288	27
HOXA10	c3	2.501733550608246	1.594056762906703	-0.10779339267940458	129	27	101	257	28
IRF7	c1	5.462573565271891	2.00538470774385	-0.5735899420858654	20	12	250	282	28
PBX1	c2	-1.0294338465448987	1.4424428390570736	0.7457024399500103	215	30	55	300	28
NFIA	c3	8.488273255736846	0.7137614889373678	-0.17179521390012553	16	74	168	258	29
