cluster_id,TF_name,A_score,E_score,O_score,rank_A_score,rank_E_score,rank_O_score,rank_sum,TF_rank
c2,KLF14,5.634241988745857,54.435791247992285,59.5,9,20,38,67,1
c3,ASCL1,3.0420566177487576,32.15461126226134,87.79166666666667,10,38,22,70,1
c1,KLF10,3.9913358431239025,39.64506421722289,127,40,27,17,84,1
c2,SP9,3.9628381196999296,25.881424731657123,154.2,25,52,5,82,2
c3,SNAI2,4.39384365672674,93.33078828275265,41.458333333333336,4,8,71,83,2
c1,KLF5,2.2690317021104676,22.302777165793323,208.5,85,54,2,141,2
c2,KLF11,5.375774285219005,21.42319198064619,143.8,10,65,9,84,3
c3,FIGLA,3.7560785865713604,53.42972122892226,34.916666666666664,8,18,95,121,3
c1,SPIB,4.950784792593684,17.64476120591758,54.5,25,69,54,148,3
c2,KLF5,2.593612621076602,35.246190094031256,203.7,50,35,2,87,4
c3,MYOD1,3.965119397130787,16.57996437242903,44.083333333333336,6,78,65,149,4
c1,SP9,3.0581459876992825,13.35850581255104,157.25,62,93,6,161,4
c2,KLF10,4.3751655726462895,18.503444074783733,121.4,20,73,16,109,5
c1,KLF15,2.075836054522055,18.066462864869404,153,90,68,7,165,5
c3,CTCFL,0.7171673107483606,38.206125653387986,112.91666666666667,134,31,19,184,5
c2,SOX10,4.628227551153906,54.137433632894634,28.9,17,21,115,153,6
c1,KLF11,3.0026282258987846,12.662863457392026,147.75,63,96,9,168,6
c3,SOX10,1.140717442382925,69.3535351654589,33.958333333333336,85,12,97,194,6
c2,JUND,1.738680873412879,59.22554389953037,42.5,71,15,71,157,7
c1,SPI1,3.998780874137922,17.41997265389915,48.5,39,70,68,177,7
c3,FOXC2,2.0583921000581897,33.827898693663585,24.666666666666668,33,35,133,201,7
c2,KLF3,3.656080276584057,11.850136743950044,86.9,30,111,25,166,8
c1,KLF6,4.084349170261229,9.294039640431674,115.75,38,126,21,185,8
c3,MSC,1.7749996595025026,51.80099414761007,21.458333333333332,43,21,152,216,8
c2,KLF6,4.401251910037157,9.73246614385788,110.5,19,127,21,167,9
c1,JUND,1.6312904446383156,153.91211927772378,46.75,106,6,73,185,9
c3,MYF5,1.0756345586841947,115.18325814354846,27.708333333333332,94,5,118,217,9
c2,SP8,5.093488251974972,5.945996456186665,130,12,169,11,192,10
c1,EGR2,5.274175133754436,11.571268488908313,49,20,108,67,195,10
c3,FOXA1,2.4107613163755968,58.23312827263265,17.625,23,15,194,232,10
c2,JUNB,1.6408952266616348,28.113359731983703,40.8,75,45,79,199,11
c1,KLF14,3.08738509743447,11.0644794847296,65.25,59,113,35,207,11
c3,FOXB1,1.6630891605344966,44.534317250002566,19.791666666666668,49,24,166,239,11
c1,SP2,1.980926145696022,16.716077138846686,59.25,93,75,44,212,12
c2,FOSL1,0.6640219353732253,83.47659256802558,35.3,112,7,95,214,12
c3,PLAGL2,0.7703678134603082,20.870829193377507,43.666666666666664,123,60,67,250,12
c1,ELK3,4.857464936879408,23.755250894577202,27.5,28,50,139,217,13
c2,YY2,3.215512958536514,11.70998386888166,40.7,33,112,80,225,13
c3,TBX3,1.4035237713273643,20.62432142870085,24.458333333333332,65,62,135,262,13
c1,JUNB,1.6690918974194189,24.241202486783493,44,105,48,82,235,14
c2,SP3,4.776796514543481,3.3575581968817274,127.5,14,218,15,247,14
c3,MYOG,1.586165746273524,9.608719757363229,30.833333333333332,54,124,109,287,14
c1,FOSL1,1.1560483319455224,73.64100263690483,37.75,131,11,95,237,15
c2,STAT3,0.5526814104286719,61.993830226306244,26.6,120,12,122,254,15
c3,SIX2,3.579752644555673,33.120301993169626,12.791666666666666,9,37,251,297,15
c1,SP3,2.68734227166682,6.685781100822049,128.25,72,154,16,242,16
c2,EGR2,3.980664631056508,5.916681424756018,43.8,24,170,67,261,16
c3,SNAI1,5.262671624194961,1.7532672723760403,54.333333333333336,2,263,38,303,16
c1,KLF3,3.3674830905545496,4.393821816676717,90.75,54,184,26,264,17
c2,SPI1,0.4175168105088977,22.598424651344413,42.1,133,63,75,271,17
c3,SNAI3,4.610865874590506,1.5479300251532326,53.625,3,272,39,314,17
c1,ELF5,2.77000234029602,11.6380242710187,37.75,68,107,96,271,18
c2,SREBF1,0.3771186179305324,19.773462985145393,42.2,136,68,74,278,18
c3,ZEB1,4.228414503745644,1.2726945761643975,74.79166666666667,5,286,31,322,18
c1,CTCF,2.4455100230760003,20.64549123894638,28.5,81,60,131,272,19
c2,STAT1,1.9108061777893506,9.771374560097355,35.3,64,125,96,285,19
c3,INSM1,0.38979584455644883,17.437164101983495,50.583333333333336,199,76,47,322,19
c1,EHF,4.668765153670445,4.268066833053727,54.25,32,187,56,275,20
c2,SPIB,0.24074904425047783,15.412179084602968,49.4,151,83,54,288,20
c3,NKX2-3,3.8230172720414277,7.758552409942077,19.25,7,150,172,329,20
c1,REL,3.2971873708204065,16.258623303677936,26.5,55,79,143,277,21
c2,ELK3,0.6171673724929125,25.176902844075574,26.4,116,54,124,294,21
c3,NKX2-2,1.2089655914785327,13.097771365392413,20.375,82,91,160,333,21
c1,RREB1,6.118957170460916,2.4479929200169157,59.25,9,234,45,288,22
c2,OSR1,2.062941100126749,46.13635992694076,16.1,60,28,207,295,22
c3,POU6F2,2.1018911256548347,40.52695004233964,10.916666666666666,32,27,275,334,22
c1,YY2,3.2521188459934316,5.687974046201626,50.5,57,168,64,289,23
c2,SP1,4.161945450458363,3.244768175286041,47.6,22,221,57,300,23
c3,TFAP2E,-0.12459641345580261,83.27507752052064,50.958333333333336,290,9,42,341,23
c1,ZBTB7A,4.9560741903985175,2.262682295293601,64.5,24,240,36,300,24
c2,TEAD4,5.289226751671389,12.02800252247875,18,11,109,181,301,24
c3,SIX1,2.7073687417469703,11.14464556701333,15.708333333333334,19,108,216,343,24
c1,KLF16,2.47830190663045,2.839912030366838,173.75,79,219,4,302,25
c2,ZBTB7A,0.4232592434841924,9.375079582484151,55.2,129,132,41,302,25
c3,HES6,1.3645223051983328,42.20194341917172,12.291666666666668,67,26,254,347,25
c1,TCFL5,1.9064438496914433,6.384308166228869,56.25,96,155,51,302,26
c2,TFAP2E,-0.5142307864336709,38.52128003837568,51.1,222,32,50,304,26
c3,MEOX2,2.553903674467429,57.96604125477532,8.25,22,16,314,352,26
c1,STAT1,3.9499186032045386,5.231164930441983,40.5,42,172,89,303,27
c2,REL,1.2977203620891262,21.552138596227806,21.6,90,64,154,308,27
c3,PBX3,0.6246237785331668,12.58594669186165,28.208333333333332,151,97,115,363,27
c1,ZKSCAN5,0.9577640335109959,8.205667602956453,92.25,143,136,25,304,28
c2,ZNF740,2.6457885622665565,2.464634303081199,86,48,238,26,312,28
c3,FOXP1,2.871147934948549,6.338523578201993,18.875,15,170,180,365,28
c1,ELK1,5.870675112915716,5.8932718276001985,28.75,12,164,130,306,29
c2,TCFL5,1.4468234403055138,4.620671818705106,56.8,83,193,40,316,29
c3,NKX2-5,1.7344233273889849,14.924378982655933,14,46,84,235,365,29
c1,FOSL2,1.0908902098179973,14.208669208240973,44,134,90,83,307,30
c2,BATF,1.6127147591652387,59.983972598232675,14.9,76,14,229,319,30
c3,SREBF2,0.25578915681242465,20.038279290412166,36.916666666666664,219,65,87,371,30
c1,STAT3,0.5425093022135401,46.29426412170544,31.5,168,23,117,308,31
c2,SPIC,3.9883246618409216,8.591732897990955,20.5,23,140,160,323,31
c3,SOX4,2.606613808503488,1.9057641011948092,35.875,20,261,90,371,31
c1,SP8,3.2839246727766587,2.109086590801559,129.5,56,248,14,318,32
c2,KLF15,2.096224866870193,1.7602025828351635,153.3,57,262,6,325,32
c3,FOXC1,1.4604003375718455,7.032404866837012,22.458333333333332,60,164,148,372,32
c1,TEAD4,5.389462609824275,11.926281391304151,19,18,103,197,318,33
c2,KLF4,2.978961272462087,1.1129645162220942,191.6,37,286,3,326,33
c3,MAZ,1.0940951492351207,1.5131612094023579,127.375,90,275,11,376,33
c1,TBX20,1.2233088993889691,155.00850973807957,20.25,129,5,185,319,34
c2,THRB,0.44434221826879394,34.605072320159294,20,127,36,163,326,34
c3,ZIC1,1.636280241888914,23.962261079594928,10.458333333333334,50,55,280,385,34
c1,KLF4,2.0069538487695175,2.683940115958305,197.5,92,226,3,321,35
c2,EGR1,3.855323973100099,0.9952989477950578,130,27,288,12,327,35
c3,TCF4,5.804314338885471,0.2519717109395006,60.375,1,353,34,388,35
c1,GABPA,4.4851483133712815,2.2715942244460816,58,36,239,47,322,36
c2,JUN,0.232476341524987,8.068528780092938,51.4,153,146,48,347,36
c3,SREBF1,0.07456910327713799,19.96392723183036,39.375,251,66,76,393,36
c1,BATF,1.495365986471765,52.41269863746541,19.25,112,18,194,324,37
c2,INSM1,-0.7453235999151555,19.19243644399446,60.3,243,70,35,348,37
c3,FOXA2,2.876961322189969,4.058189090529384,18.958333333333332,14,205,177,396,37
c1,SPDEF,3.486467548885555,71.31079313591387,13.5,52,13,264,329,38
c2,POU3F2,6.383462093710547,14.551124160169007,11.8,6,88,261,355,38
c3,THRB,0.5372222418703111,25.36233277432966,18.833333333333332,164,51,181,396,38
c1,RARA,1.4960022021212078,12.251021993456053,31.25,111,99,120,330,39
c2,FOS,1.065086540378552,6.765628153175247,29,94,160,113,367,39
c3,KLF5,-0.5351296365614411,32.09187251977165,195.875,357,39,2,398,39
c1,EGR1,7.373406479357738,0.36041635727563914,139.75,6,317,10,333,40
c2,SP2,1.838890641779088,1.4680964691006233,59.6,67,269,37,373,40
c3,TBX18,1.0772074163646173,5.225024461153949,28.166666666666668,93,190,116,399,40
c1,BACH1,2.4583960741994453,16.528870889709268,20.75,80,77,177,334,41
c2,BACH1,1.748392701419381,15.947208937168279,15.4,70,81,222,373,41
c3,ZNF263,0.4225887871000446,3.9835797753055475,137.79166666666666,189,209,8,406,41
c1,CTCFL,-0.6404771303945758,16.021872890518072,121,241,83,19,343,42
c2,FOSL2,0.11525456767702379,9.375822082772507,37.3,160,131,90,381,42
c3,TGIF2LY,1.1093640911316098,53.24666632905149,9.125,89,19,298,406,42
c1,ZBTB14,0.7741324590811738,6.070980732744191,84,156,161,29,346,43
c2,ZBTB14,2.924623217493753,0.49665123260022115,79.5,39,320,28,387,43
c3,HOXB7,1.9422020201385177,27.993489415187646,7.75,37,46,323,406,43
c1,SP1,3.5619760731126497,2.397347997961006,48.25,50,236,69,355,44
c2,IKZF1,1.73207170369764,2.2684922787460056,42.3,72,247,72,391,44
c3,FOXF2,2.190879946337121,8.707945207422979,13,28,134,246,408,44
c1,THRB,1.7711797601115293,13.490523522737531,21.5,102,92,166,360,45
c2,NFKB2,2.7395850429243698,39.33653396292161,7.7,46,31,316,393,45
c3,ZIC5,0.8872097007594978,27.675175441420674,12.833333333333334,111,48,249,408,45
c1,JUN,0.9018573031055696,5.840321573383528,55,148,165,53,366,46
c2,KLF9,3.6529764008718772,0.20530586822953428,120,31,351,17,399,46
c3,FOXK2,2.9095308291070134,3.540557081054082,18.833333333333332,11,219,182,412,46
c1,SP4,2.4199811435487653,4.043860520462184,35.5,82,192,104,378,47
c2,RXRA,0.34572966874910854,5.462964486395492,40.2,142,176,81,399,47
c3,NHLH1,2.055443246316704,0.40843916668204133,50.916666666666664,34,339,43,416,47
c1,INSM1,-0.19208395657396277,8.900920710821957,59.75,208,129,42,379,48
c2,ZNF148,1.388670557366301,0.6183695817469931,209.7,88,311,1,400,48
c3,GABPA,0.41410929352727965,6.114555252762975,47.875,193,176,52,421,48
c1,NFKB2,4.866419510652235,25.08766238859894,9.75,27,46,314,387,49
c2,SREBF2,-0.7478260102814528,17.090275976095022,39.1,244,77,84,405,49
c3,TCF3,2.5790130506303792,0.15467981249832966,75.29166666666667,21,371,30,422,49
c1,ZKSCAN1,1.3440159068310167,24.52839222230994,17.5,120,47,221,388,50
c2,RELA,2.7871820231447697,2.682559102021862,26,42,234,129,405,50
c3,NHLH2,1.7478927471352286,15.623691107108055,9.291666666666666,45,82,295,422,50
c1,SREBF1,0.11325763313589376,9.527570827952896,46.25,191,124,75,390,51
c2,RREB1,1.503825316224962,1.1260161425835542,54.6,79,285,42,406,51
c3,MSANTD3,0.518260079584738,7.365093613337695,33.583333333333336,166,159,98,423,51
c1,FLI1,4.705743406675122,2.5497399633702664,28.5,30,231,132,393,52
c2,NFE2,1.969406244862208,30.05103489241921,8.3,62,43,307,412,52
c3,HEY2,0.3090033085523643,18.23638597398159,23.708333333333332,211,73,141,425,52
c1,IKZF1,3.7546118745825936,0.7934066580392416,53.75,47,292,57,396,53
c2,RARA,-0.19692343602350013,13.179618944074942,25.6,188,95,130,413,53
c3,TBX20,0.7851339145925303,12.611892816167893,15.833333333333334,121,96,215,432,53
c1,PRDM1,-0.737431675908761,12.136245971318903,56.75,250,101,50,401,54
c2,ZNF75D,0.06247944194704388,4.400875178993264,46.9,165,198,60,423,54
c3,USF1,0.39135524901310176,94.6505631071405,14.625,197,7,229,433,54
c1,USF1,0.8198466243070615,56.460591370584616,16,154,17,233,404,55
c2,ZBTB32,2.0295945124783707,26.443086160762356,7.8,61,49,313,423,55
c3,TAL1,0.7167723131690419,5.74271257825989,25.833333333333332,135,179,124,438,55
c1,ZNF449,-0.5558509939416431,10.172357391137368,53.5,235,116,58,409,56
c2,ZNF460,0.6263151351562829,1.217072743588194,63.3,115,279,33,427,56
c3,SOX13,1.5381117201875942,4.729026460901098,17.708333333333332,56,196,190,442,56
c1,MEF2A,3.4447698943336498,3.4859308711125454,24.25,53,205,152,410,57
c2,MZF1,0.5891382063236824,1.2028536224359045,78.8,118,281,29,428,57
c3,RARA,0.21611179905754901,12.97198782839905,25.458333333333332,223,94,128,445,57
c1,TFEB,2.6325196213783295,7.351900588139931,19.5,73,147,192,412,58
c2,CTCF,-1.260423939744835,54.61851497598488,28.9,295,19,114,428,58
c3,NR1H4,0.7066455121870381,10.351328555054305,17.25,136,115,197,448,58
c1,EGR4,3.11425534824843,0.28190392754298105,64.25,58,330,37,425,59
c2,SMAD3,0.420703558346263,3.4605233858295787,38.8,131,214,85,430,59
c3,ZKSCAN5,0.3368154343319254,3.8267453264387625,77.70833333333333,207,213,29,449,59
c1,ELK4,5.956837627784497,0.1140284584959739,53.5,11,355,59,425,60
c2,FOXA1,0.46230388772943054,19.137174618429174,14.7,126,71,234,431,60
c3,SOX2,1.2828776683103926,8.111419840198911,14.333333333333332,74,146,230,450,60
c1,KLF9,3.6806990879763974,0.0667768933248496,132,48,367,13,428,61
c2,ZNF384,1.9372594896257187,1.2751656222507264,35.4,63,276,94,433,61
c3,SCRT1,1.5037236520145556,4.919565001668804,16.291666666666668,57,193,210,460,61
c1,ARNT2,1.7754960533955655,12.241599861697136,16.25,101,100,232,433,62
c2,PRDM1,-0.2089853055710874,4.759450622905225,48.9,191,189,56,436,62
c3,GCM1,0.2363713024402262,46.10945121977751,15.458333333333334,220,23,221,464,62
c1,SREBF2,-0.11100638917488401,6.343437672134488,45.25,203,156,77,436,63
c2,HES1,-0.33673460815029943,5.568192953884469,45.2,204,175,64,443,63
c3,SCRT2,1.7573681233051404,2.7411424447684705,18.166666666666668,44,236,187,467,63
c1,TCF7,7.628927026402629,2.7691507470582035,18.25,5,222,209,436,64
c2,POU2F3,10.12497784425457,2.6426684154105873,16.2,2,236,205,443,64
c3,HOXD9,1.4303906542233702,11.701647676209996,8.666666666666666,61,103,305,469,64
c1,MEF2B,2.7998236561746,37.18160820998984,8,67,30,341,438,65
c2,DPRX,0.6023395944491985,135.19527109754208,7.3,117,3,325,445,65
c3,TBX2,1.1314290311870179,7.709391268040218,14.083333333333334,86,151,233,470,65
c1,OSR1,1.4758421175939778,17.0252725529878,13.75,113,73,257,443,66
c2,GRHL2,2.9040146513803173,3.1695600132873314,18,40,223,183,446,66
c3,POU6F1,0.5423822021732858,10.504274270705952,17.125,162,113,198,473,66
c1,TCF7L2,9.749864539293458,2.2840575750368752,18.75,3,238,204,445,67
c2,ZNF263,-0.3609267463414414,2.644197408744227,144.6,207,235,8,450,67
c3,KLF11,-0.7782258657369068,17.437902084168055,134.04166666666666,390,75,9,474,67
c1,MSANTD3,0.32069821953143024,4.974461117745897,37.5,177,173,97,447,68
c2,GCM2,0.8273953269120882,13.567812718796121,12.5,103,92,256,451,68
c3,RXRA,0.5741319853076653,3.2458978964941525,36.875,159,227,88,474,68
c1,ETV1,3.9782235151404803,0.08114439563429024,58.25,41,363,46,450,69
c2,MEF2B,1.3927804032306756,100.22193732808687,5.8,86,5,360,451,69
c3,TBX6,1.3069508249350095,3.439886784228314,17.833333333333332,72,221,188,481,69
c1,TFAP2E,-1.0520892140475366,10.08775352487294,52,273,117,61,451,70
c2,GABPA,-0.7962720346268122,8.546491415569944,46.3,254,141,61,456,70
c3,MNT,0.42923540316095105,10.377103087938082,18.583333333333332,185,114,184,483,70
c1,KLF17,2.5296225444043654,0.5057484005511939,47.75,77,303,71,451,71
c2,OSR2,-1.0104898336595234,15.204338793997463,33.8,271,84,102,457,71
c3,HESX1,2.2627010142901183,10.150550536705614,6.541666666666667,26,116,344,486,71
c1,FEV,5.126870891536387,1.033732205061847,25.5,22,285,148,455,72
c2,CENPB,4.289061000360813,23.586902078237628,5.1,21,61,375,457,72
c3,KLF10,-1.0314884979830992,22.909276207792153,113.45833333333333,412,58,18,488,72
c1,RXRA,0.16363467188847874,3.9661346922836556,46.5,188,194,74,456,73
c2,E2F6,-0.5899166168506927,3.3800711484161874,119.7,225,217,18,460,73
c3,ZNF449,-0.27106938974114286,10.135549863769963,45.708333333333336,315,117,57,489,73
c1,SPIC,2.5964430482995065,2.593052205003897,24,75,229,154,458,74
c2,EHF,3.157012078162817,0.18940591903952717,42.3,35,354,73,462,74
c3,KLF14,-1.250948650778226,42.208144838355004,56.875,429,25,36,490,74
c1,MAFK,3.90685670348419,1.5946016136044014,25.5,44,268,147,459,75
c2,TBX3,-0.31179267424241197,10.411497610913239,22.5,201,116,147,464,75
c3,NR5A1,0.6902051005219654,4.935033000366484,20.708333333333332,142,192,157,491,75
c1,FOSB,0.2286458044359749,4.525343942733043,35.75,181,180,103,464,76
c2,KLF2,2.7569910503484234,0.014163380031371232,150.8,44,415,7,466,76
c3,FOXA3,2.8901899206888104,0.9693918850804661,18.958333333333332,12,301,178,491,76
c1,TBX3,0.09366579890996851,8.420839755440868,27.75,193,134,137,464,77
c2,RORB,2.678708558980304,7.512272362881717,11,47,152,268,467,77
c3,EN2,1.614235547690876,9.99950010108941,7.958333333333333,52,118,321,491,77
c1,HES1,1.006662555591451,2.2279328939884064,44,140,242,84,466,78
c2,KLF16,4.772192426645906,0,169.1,15,450,4,469,78
c3,ARGFX,1.6339319811453892,11.596260196796349,7.083333333333333,51,105,336,492,78
c1,FOS,1.9565451052533003,1.4456231018794445,36,94,271,101,466,79
c2,PLAGL2,-2.40354849161559,26.973810976436994,50.2,370,47,52,469,79
c3,E2F6,0.433726957787431,1.1262031769772058,117.95833333333333,183,294,16,493,79
c2,MEF2A,1.4855937852172585,3.339724233567466,19.7,82,219,168,469,80
c1,KLF2,4.18677040792716,0,158.5,37,428,5,470,80
c3,FOXD2,2.4106999507837754,0.952759306816885,19.791666666666668,24,302,167,493,80
c1,ZNF740,0.9396075269465128,0.5158185518094675,96.5,144,302,24,470,81
c2,SOX4,2.12578351113082,0.4555978045947044,36,55,323,92,470,81
c3,YY2,-0.2523994436743858,11.693331448542512,38.458333333333336,310,104,80,494,81
c1,OSR2,0.2089889877256137,4.519393793783921,34.5,184,181,108,473,82
c2,CTCFL,-2.3884489970947445,14.659700439145073,111.6,369,86,20,475,82
c3,NFIX,0.2959345325155785,9.671324463747284,20.541666666666668,213,123,159,495,82
c1,STAT2,6.030518810863494,0.502900685038411,23,10,304,160,474,83
c2,RXRG,-0.07153880950749576,5.63029980431806,26.3,176,174,125,475,83
c3,PRDM4,-0.06593703198670457,22.986332008077017,20.208333333333332,278,56,162,496,83
c1,ELF1,3.891001288527494,0.016906309653024535,60.5,45,390,40,475,84
c2,STAT2,1.7529438013759933,2.333882549300477,20.1,69,245,161,475,84
c3,TGIF2,1.3427826734800912,32.023726211866254,4.708333333333334,68,40,391,499,84
c2,CEBPE,2.090454350090413,20.935775587346658,6,58,66,352,476,85
c1,PLAGL2,-3.640249723193378,27.2475863109515,55.25,383,42,52,477,85
c3,ESX1,1.896160378291333,7.819587144044591,8.416666666666666,41,149,310,500,85
c1,TCF7L1,5.51147671139606,4.811986871177553,11.5,16,175,287,478,86
c2,ZNF449,-1.4619989952755155,9.978965018891012,53.6,314,122,44,480,86
c3,MAX,0.3914255850906961,7.223377725488695,23.166666666666664,196,161,144,501,86
c2,CEBPA,0.8787321437068439,14.598246471351036,9.3,101,87,292,480,87
c1,RXRG,1.4207469319518022,2.6694231374606128,28,118,227,136,481,87
c3,SP9,-0.711785817209671,9.9212035741825,147.25,377,121,6,504,87
c2,EGR4,3.7424722889740356,0.018554511957888167,54.3,29,409,43,481,88
c1,NRF1,1.7487825857977652,0.13695219981781792,85.5,103,352,28,483,88
c3,FERD3L,0.5995326284953943,39.31202730067096,7.958333333333334,157,28,320,505,88
c2,TBX18,0.06166671902079359,3.4566444296287955,33.9,166,215,100,481,89
c1,LEF1,6.47991599084861,16.094084731435117,4.75,8,81,398,487,89
c3,BHLHE40,0.12401616844644192,15.485114290838226,18.416666666666668,238,83,185,506,89
c2,GCM1,-0.43898981669950815,24.13902751819752,16,214,59,209,482,90
c1,MYC,-0.8116537688138317,11.936205112769725,28.25,253,102,134,489,90
c3,HAND2,-0.799968766001871,39.218845048780366,38.333333333333336,396,29,82,507,90
c2,TEAD1,3.907964877328954,1.7204082394086664,16.6,26,263,198,487,91
c1,USF2,1.426365970292731,8.185727138933833,15.75,115,137,237,489,91
c3,BARX2,0.8821258303501263,9.383536614507026,11.041666666666666,113,127,272,512,91
c2,ZKSCAN1,0.7112178626033547,7.872726820422052,14.8,108,147,232,487,92
c1,NFE2,1.42526321927426,22.175729379938396,9.25,116,56,320,492,92
c3,MSGN1,0.4758038047248746,36.29542351320768,8.666666666666666,176,32,304,512,92
c2,SNAI2,-4.65782672078376,92.23753204777395,43.7,414,6,68,488,93
c1,RELB,-0.14679821580147098,9.681413137572289,21.25,205,121,169,495,93
c3,ZBTB7A,-0.42945978231665394,9.09047783995494,52.458333333333336,344,129,40,513,93
c2,FIGLA,-2.601312999924336,72.19788537699371,33.8,379,10,101,490,94
c1,IRF8,8.53247985775195,34.434710495973164,1,4,37,454,495,94
c3,ZIC4,1.4707078798783189,0.04679782937645097,44.583333333333336,58,401,59,518,94
c2,ELK1,0.7699825918960008,1.3674023223906755,28.1,105,273,117,495,95
c1,RELA,2.6309218671145693,1.2513090495393278,26.25,74,278,144,496,95
c3,ZBTB14,-0.31186170896596294,6.2852240086048,81.58333333333333,320,171,28,519,95
c1,TEAD1,3.0810790850168885,2.9065718075503613,17.5,61,214,222,497,96
c2,HOXD13,0.07604092589257339,107.79111955113687,7,163,4,330,497,96
c3,RXRG,0.4432986493753008,3.8721971516983347,24.708333333333332,180,210,132,522,96
c2,TFAP2B,0.4043161317723082,0.2288901353111462,115,134,349,19,502,97
c1,ELF3,3.0815790983144224,0.007043382623862133,65.75,60,408,34,502,97
c3,TBR1,1.4131129865766916,2.6304617298412967,15.666666666666666,63,239,220,522,97
c1,SOX10,-2.8835102740661425,28.182622840679446,38.75,367,41,94,502,98
c2,EGR3,3.1647404513669115,0.19924201001905495,28.2,34,352,116,502,98
c3,JUND,-2.8903340515906026,212.4510948448328,42.333333333333336,455,2,70,527,98
c1,CREB3L1,1.5298564742707785,41.452746411691656,6.25,108,26,368,502,99
c2,PRDM4,-1.2986252557241595,24.160783300135286,21.9,297,58,149,504,99
c3,GFI1,1.2649215550793196,6.2737018749531845,10.625,76,173,278,527,99
c1,TFAP2A,-1.737664308083361,4.874011376485123,129.25,314,174,15,503,100
c2,NRF1,0.8873040728073907,0.07869480590868755,90,100,383,22,505,100
c3,ZNF740,-0.04133938486540311,2.8411222657887953,83.58333333333333,273,233,26,532,100
c1,SNAI2,-5.671948423322764,48.00616709409819,49.5,417,20,66,503,101
c2,MAFK,1.3997637976486066,1.2372070679928446,22,84,277,148,509,101
c3,PHOX2B,0.4418994799283449,29.717259476078205,8.291666666666666,181,41,312,534,101
c1,GCM2,-0.27451286972843547,27.128794118058064,14.75,213,43,247,503,102
c2,ELF3,0.9344149870703522,0.13259265276228893,53.4,99,367,45,511,102
c3,RFX1,0.6841453623506523,1.5983230554002315,26.625,144,270,122,536,102
c1,NR2C2,0.9988046132786079,1.382615084955937,39.25,141,274,91,506,103
c2,NFIL3,3.6045727734444224,4.712033603233774,9.3,32,190,293,515,103
c3,LBX2,1.9175246470447749,6.512962685262074,7.208333333333333,39,168,332,539,103
c1,ZSCAN4,2.865944244696684,82.62677504498905,2.25,64,8,439,511,104
c2,YY1,2.156034710464943,0.4057876372260667,25.3,53,331,132,516,104
c3,ZNF75D,0.26850557998933977,1.5273113980881465,49.458333333333336,217,274,50,541,104
c1,ETV6,5.8585269604835215,0,46.25,13,423,76,512,105
c2,CEBPG,0.9720543496799662,5.1313962924880006,13.4,98,181,240,519,105
c3,FOSL1,-1.9578259009755548,117.60454653412279,35.041666666666664,444,4,93,541,105
c1,SNAI1,-6.939029875107957,35.94795620142516,61.5,444,34,39,517,106
c2,ASCL1,-13.12923763336855,34.56243955658277,89.5,460,37,23,520,106
c3,PHOX2A,1.675922007681153,8.548672932307106,6.291666666666666,48,138,358,544,106
