gene_name,cluster_id,A_diff,E_diff,O_diff,rank_A_diff,rank_E_diff,rank_O_diff,rank_sum,TF_rank,outdegree,expression,accessibility
RUNX3,c1,8.755366213666317,2.077205433975059,-0.21948501353301886,4,7,23,34,1,-0.21948501353301886,2.077205433975059,8.755366213666317
HOXB3,c3,8.292037132466591,1.1874825930181303,0.10083755848813958,10,21,25,56,1,0.10083755848813958,1.1874825930181303,8.292037132466591
NFKB1,c2,2.9313193593047435,0.7054669615593651,2.1770304269970016,22,42,4,68,1,2.1770304269970016,0.7054669615593651,2.9313193593047435
CEBPB,c2,1.612261916397451,2.502505306977553,1.043255238687296,45,9,15,69,2,1.043255238687296,2.502505306977553,1.612261916397451
IRF8,c1,9.26365971681859,0.2914606199259876,0.014879595171613857,3,59,14,76,2,0.014879595171613857,0.2914606199259876,9.26365971681859
NFIX,c3,7.517133249049756,1.2585777883858424,-0.06234445287624979,14,18,44,76,2,-0.06234445287624979,1.2585777883858424,7.517133249049756
NFKB2,c2,3.1748485977463696,5.956927680225959,0.6218249937413773,19,2,54,75,3,0.6218249937413773,5.956927680225959,3.1748485977463696
LBX2,c3,7.11451513859719,0.7958758372798035,0.09581981601965595,20,38,26,84,3,0.09581981601965595,0.7958758372798035,7.11451513859719
EGR3,c1,5.064320523970785,2.3815111349975355,-0.3812137978633974,24,4,61,89,3,-0.3812137978633974,2.3815111349975355,5.064320523970785
SPIC,c2,4.555507806833728,2.8058529517907402,0.583700209924098,11,6,67,84,4,0.583700209924098,2.8058529517907402,4.555507806833728
NEUROG2,c3,4.926101385173116,1.696972312939592,-0.012336572319762595,32,15,37,84,4,-0.012336572319762595,1.696972312939592,4.926101385173116
RREB1,c1,6.431309458187326,0.5314789658569576,-0.34740279038247124,9,43,48,100,4,-0.34740279038247124,0.5314789658569576,6.431309458187326
RELA,c2,3.36887430296019,1.0644972887491888,0.6726644396562946,16,26,43,85,5,0.6726644396562946,1.0644972887491888,3.36887430296019
RAX,c3,7.415110532573324,0.1914825564268295,0.2176000216975229,16,73,19,108,5,0.2176000216975229,0.1914825564268295,7.415110532573324
SPI1,c1,6.477271843639899,0.6970885397470746,-0.40048199184603117,8,34,67,109,5,-0.40048199184603117,0.6970885397470746,6.477271843639899
MEF2B,c1,2.9395195617559864,1.0251003558035878,-0.3352548419995838,47,21,42,110,6,-0.3352548419995838,1.0251003558035878,2.9395195617559864
RFX2,c3,3.333097994074183,3.4356582985034163,-0.09794018615498068,55,3,55,113,6,-0.09794018615498068,3.4356582985034163,3.333097994074183
SP1,c2,2.3149326933541223,1.7609056013384918,0.5773104594080598,37,13,70,120,6,0.5773104594080598,1.7609056013384918,2.3149326933541223
PAX3,c3,3.3097585966900067,1.2441157118585626,-0.021498703833962907,57,20,38,115,7,-0.021498703833962907,1.2441157118585626,3.3097585966900067
MEF2C,c1,3.067303902047182,0.8266213671674034,-0.3523477724226023,43,28,51,122,7,-0.3523477724226023,0.8266213671674034,3.067303902047182
TEAD4,c2,7.865364396621811,0.9818145495806171,0.5322001771608988,5,29,89,123,7,0.5322001771608988,0.9818145495806171,7.865364396621811
FOXP2,c3,6.582608141787242,0.5912475829534677,-0.07505874120533385,23,44,48,115,8,-0.07505874120533385,0.5912475829534677,6.582608141787242
TEAD1,c2,8.15177802631759,0.20192808144894456,0.6602410072305016,3,78,45,126,8,0.6602410072305016,0.20192808144894456,8.15177802631759
REL,c1,4.538755350884218,0.3053539415806814,-0.33972304961007005,31,57,45,133,8,-0.33972304961007005,0.3053539415806814,4.538755350884218
GBX2,c3,9.136791569769919,0.06717184801637,0.13921914162164306,5,96,22,123,9,0.13921914162164306,0.06717184801637,9.136791569769919
E2F3,c2,-0.5178493130864027,0.9904554392774177,3.4560562730821953,103,28,2,133,9,3.4560562730821953,0.9904554392774177,-0.5178493130864027
MEF2D,c1,2.5648461763117165,1.4205194866608575,-0.4086673123310458,56,15,71,142,9,-0.4086673123310458,1.4205194866608575,2.5648461763117165
PKNOX2,c3,8.307887594042047,0.007057225288960515,5.425096629849526,9,115,1,125,10,5.425096629849526,0.007057225288960515,8.307887594042047
TFCP2,c2,2.3529418311760555,0.3063450294827488,0.637606848117521,35,61,51,147,10,0.637606848117521,0.3063450294827488,2.3529418311760555
MEF2A,c1,2.720980254089494,0.4415293860458108,-0.3584982241014423,50,45,52,147,10,-0.3584982241014423,0.4415293860458108,2.720980254089494
NHLH1,c3,11.149579179706464,1.6950220478015574,-0.18488284947578304,2,16,107,125,11,-0.18488284947578304,1.6950220478015574,11.149579179706464
CEBPA,c2,1.7256059580653298,4.00292330083008,0.5123501914137218,43,3,101,147,11,0.5123501914137218,4.00292330083008,1.7256059580653298
ZBTB7A,c1,1.092555316202239,2.1300783004315225,-0.37547041712271145,85,6,58,149,11,-0.37547041712271145,2.1300783004315225,1.092555316202239
FOXA1,c3,7.857124140599723,0.158849461672574,-0.031420815709282124,13,77,40,130,12,-0.031420815709282124,0.158849461672574,7.857124140599723
HOXD12,c1,-0.05120507713481953,0.7897401071960994,2.026893759671685,115,29,6,150,12,2.026893759671685,0.7897401071960994,-0.05120507713481953
E2F1,c2,-0.1324705095996057,1.1643725484455956,0.7002232149228274,90,24,38,152,12,0.7002232149228274,1.1643725484455956,-0.1324705095996057
TFAP4,c3,8.416777151239746,0.48221314438008794,-0.13992575013185338,7,49,78,134,13,-0.13992575013185338,0.48221314438008794,8.416777151239746
E2F4,c2,1.1411514863474257,0.3347983436976,0.6683342795855189,50,60,44,154,13,0.6683342795855189,0.3347983436976,1.1411514863474257
EGR4,c1,2.664055148857975,0.21156044853938105,-0.30250570616377015,51,71,36,158,13,-0.30250570616377015,0.21156044853938105,2.664055148857975
PKNOX1,c3,6.672855063563254,0.775945315742125,-0.13843861785885103,22,39,77,138,14,-0.13843861785885103,0.775945315742125,6.672855063563254
NFIL3,c2,-0.518964680769632,1.2999996998572545,0.7283547030635198,104,21,34,159,14,0.7283547030635198,1.2999996998572545,-0.518964680769632
FOS,c1,5.076271666436983,0.36699852965854257,-0.4483788735067158,23,50,89,162,14,-0.4483788735067158,0.36699852965854257,5.076271666436983
FOXB1,c3,6.243829249414123,0.12429289364805049,0.048190962500536116,26,83,31,140,15,0.048190962500536116,0.12429289364805049,6.243829249414123
REL,c2,2.386735212462826,2.1944687626798243,0.4812534664811974,34,10,116,160,15,0.4812534664811974,2.1944687626798243,2.386735212462826
STAT1,c1,1.9516466211865289,0.6704921634672769,-0.37921528453136766,68,35,60,163,15,-0.37921528453136766,0.6704921634672769,1.9516466211865289
NFIA,c3,8.488273255736846,0.7137614889373678,-0.17179521390012553,6,41,96,143,16,-0.17179521390012553,0.7137614889373678,8.488273255736846
SPIB,c2,0.953707731933237,2.9346705528128703,0.5124346478632926,56,5,100,161,16,0.5124346478632926,2.9346705528128703,0.953707731933237
EGR1,c1,2.553492441975769,0.6224686026595279,-0.4093994337928315,57,36,72,165,16,-0.4093994337928315,0.6224686026595279,2.553492441975769
HEY2,c3,1.7566714756451034,2.24235902835471,-0.058861728600657415,93,10,43,146,17,-0.058861728600657415,2.24235902835471,1.7566714756451034
ETV3,c2,-0.07372397852937906,1.557288893561695,0.6166007273132124,88,18,56,162,17,0.6166007273132124,1.557288893561695,-0.07372397852937906
PRDM1,c1,2.214141961327888,1.1180781833511197,-0.43983842041980115,64,20,86,170,17,-0.43983842041980115,1.1180781833511197,2.214141961327888
MEOX2,c3,6.2954054544464135,0.39074540599351365,-0.13297644858174706,25,53,71,149,18,-0.13297644858174706,0.39074540599351365,6.2954054544464135
ATF4,c2,-0.9409908063644324,2.708331509815796,0.6847612178501983,116,7,40,163,18,0.6847612178501983,2.708331509815796,-0.9409908063644324
IRF2,c1,6.200869738928637,1.6698460083734252,-0.5713413745800899,12,13,149,174,18,-0.5713413745800899,1.6698460083734252,6.200869738928637
PAX9,c3,1.0247153482003248,0.9929780487815789,1.2733247288632512,115,27,9,151,19,1.2733247288632512,0.9929780487815789,1.0247153482003248
CEBPG,c2,1.0618627942101724,0.18011562024957234,0.7325472553632242,52,80,32,164,19,0.7325472553632242,0.18011562024957234,1.0618627942101724
RARA,c1,3.001693610270997,0.16256547699248627,-0.36905217055447714,45,76,54,175,19,-0.36905217055447714,0.16256547699248627,3.001693610270997
FIGLA,c3,7.164433290015118,0.2614337124958666,-0.13117042867632733,19,64,70,153,20,-0.13117042867632733,0.2614337124958666,7.164433290015118
ETV6,c2,0.7574690830819957,0.9644525259318594,0.5835350755184008,65,31,68,164,20,0.5835350755184008,0.9644525259318594,0.7574690830819957
IRF7,c1,5.462573565271891,2.00538470774385,-0.5735899420858654,16,9,151,176,20,-0.5735899420858654,2.00538470774385,5.462573565271891
SCRT1,c3,2.9756530371969654,0.6227188472873753,-0.10876586511717967,61,43,56,160,21,-0.10876586511717967,0.6227188472873753,2.9756530371969654
ZBTB33,c2,1.0272140567907495,0.8800201719748211,0.535654243780515,54,34,85,173,21,0.535654243780515,0.8800201719748211,1.0272140567907495
FLI1,c1,5.221721382088993,0.3067679336852789,-0.46696244630496153,20,56,103,179,21,-0.46696244630496153,0.3067679336852789,5.221721382088993
EMX2,c3,2.380425908756416,0.9593319036615331,-0.09715981956443365,75,32,54,161,22,-0.09715981956443365,0.9593319036615331,2.380425908756416
IRF7,c2,0.43090314481874703,0.1883958645358818,0.8256954132140422,75,79,24,178,22,0.8256954132140422,0.1883958645358818,0.43090314481874703
JUNB,c1,4.706356990709392,2.0265488559750655,-0.5528860917288974,29,8,142,179,22,-0.5528860917288974,2.0265488559750655,4.706356990709392
POU6F2,c3,8.219060596624738,0.19834612540866,-0.1500954492775488,11,72,82,165,23,-0.1500954492775488,0.19834612540866,8.219060596624738
CEBPE,c2,2.038960893923463,-0.04638635431595546,1.043255238687296,39,124,16,179,23,1.043255238687296,-0.04638635431595546,2.038960893923463
ETV4,c1,5.314558367014464,-0.01766550255318977,-0.30622321293956567,18,125,37,180,23,-0.30622321293956567,-0.01766550255318977,5.314558367014464
POU4F2,c3,3.7231328333895153,0.032645479535136544,0.3979298938909466,48,108,14,170,24,0.3979298938909466,0.032645479535136544,3.7231328333895153
KLF13,c2,2.665576197263936,0.11526390855230992,0.5999148999288924,28,89,62,179,24,0.5999148999288924,0.11526390855230992,2.665576197263936
STAT3,c1,0.8352471282198235,1.261692747464657,-0.42307141841872387,87,18,79,184,24,-0.42307141841872387,1.261692747464657,0.8352471282198235
TCF4,c3,8.395265997346662,0.43089370173146346,-0.19093211268675692,8,51,111,170,25,-0.19093211268675692,0.43089370173146346,8.395265997346662
JDP2,c2,1.716177407875971,0.001513208397344214,0.7865294945111536,44,112,29,185,25,0.7865294945111536,0.001513208397344214,1.716177407875971
PROX1,c1,-0.46820657745104843,0.4158272530401736,0.4864442345342592,128,47,11,186,25,0.4864442345342592,0.4158272530401736,-0.46820657745104843
