TF_name	sample_id	outdegree
ALX3	2705010_S40_L003	6
ALX3	270502_S0_L001	7
ALX3	2781020_S37_L003	8
ALX3	278106_S0_L001	9
ALX3	2781080_S30_L003	6
ALX3	2781090_S41_L003	4
ALX3	2792010_S0_L001	7
ALX3	2792020_S32_L003	6
ALX3	2792040_S0_L001	8
ALX3	2811610_S33_L003	7
ALX3	2811630_S35_L003	13
ALX3	2858490_S0_L001	10
ALX3	2858800_S38_L003	5
ALX3	2858810_S31_L003	8
ALX3	3013500_S34_L003	3
ALX3	3049380_S0_L001	9
ALX3	3049400_S39_L003	9
ALX3	3049430_S42_L003	9
ALX3	304944_S0_L001	5
ALX3	3049450_S36_L003	9
ALX3	304955_S0_L001	7
ALX3	313308_S0_L001	11
ALX3	m313309_S193	9
ALX3	m318978_S195	10
ALX3	m318979_S197	8
ALX3	m318986_S33	12
ALX3	m329861_S198	8
ALX3	m329865_S206	12
ALX3	m329883_S194	6
ALX3	m329885_S199	6
ALX3	m334087_S35	12
ALX3	m344001_S207	10
ALX3	m344004_S196	9
ALX3	m357484_S37	12
ALX3	m357486_S34	14
ALX3	m357488_S36	14
ALX3	m364088_S38	22
ARGFX	2705010_S40_L003	9
ARGFX	270502_S0_L001	5
ARGFX	2781020_S37_L003	8
ARGFX	278106_S0_L001	5
ARGFX	2781080_S30_L003	5
ARGFX	2781090_S41_L003	4
ARGFX	2792010_S0_L001	7
ARGFX	2792020_S32_L003	4
ARGFX	2792040_S0_L001	8
ARGFX	2811610_S33_L003	6
ARGFX	2811630_S35_L003	7
ARGFX	2858490_S0_L001	9
ARGFX	2858800_S38_L003	5
ARGFX	2858810_S31_L003	9
ARGFX	3013500_S34_L003	4
ARGFX	3049380_S0_L001	5
ARGFX	3049400_S39_L003	7
ARGFX	3049430_S42_L003	9
ARGFX	304944_S0_L001	5
ARGFX	3049450_S36_L003	4
ARGFX	304955_S0_L001	7
ARGFX	313308_S0_L001	8
ARGFX	m313309_S193	8
ARGFX	m318978_S195	8
ARGFX	m318979_S197	6
ARGFX	m318986_S33	9
ARGFX	m329861_S198	4
ARGFX	m329865_S206	6
ARGFX	m329883_S194	6
ARGFX	m329885_S199	4
ARGFX	m334087_S35	10
ARGFX	m344001_S207	5
ARGFX	m344004_S196	5
ARGFX	m357484_S37	13
ARGFX	m357486_S34	8
ARGFX	m357488_S36	10
ARGFX	m364088_S38	10
ARNT2	2705010_S40_L003	16
ARNT2	270502_S0_L001	24
ARNT2	2781020_S37_L003	18
ARNT2	278106_S0_L001	21
ARNT2	2781080_S30_L003	22
ARNT2	2781090_S41_L003	21
ARNT2	2792010_S0_L001	12
ARNT2	2792020_S32_L003	21
ARNT2	2792040_S0_L001	15
ARNT2	2811610_S33_L003	18
ARNT2	2811630_S35_L003	19
ARNT2	2858490_S0_L001	18
ARNT2	2858800_S38_L003	16
ARNT2	2858810_S31_L003	16
ARNT2	3013500_S34_L003	18
ARNT2	3049380_S0_L001	23
ARNT2	3049400_S39_L003	17
ARNT2	3049430_S42_L003	18
ARNT2	304944_S0_L001	19
ARNT2	3049450_S36_L003	18
