peak_chr_name	promoter_chr_name	ensemble	gene_name	promoter_strand	n_bases_overlap	baseMean_atac	log2FoldChange_atac	lfcSE_atac	stat_atac	pvalue_atac	padj_atac	baseMean_rna	log2FoldChange_rna	lfcSE_rna	stat_rna	pvalue_rna	padj_rna	cluster_id
chr10:52645378-52645509	chr10:52645234-52647434	ENSG00000148584.15_11	A1CF	-	131	0.915421281	1.349043027	0.595568809	2.265133777	0.023504471	0.223554383	0.044714865	-0.046037774	3.262372161	-0.014111748	0.988740828	NA	c1
chr12:9267849-9269165	chr12:9268624-9270824	ENSG00000175899.15_8	A2M	-	541	0.853374227	0.715058002	0.770125384	0.928495563	0.353150568	0.88703883	0.221202386	0.90897851	1.948532394	0.466493917	0.640862001	NA	c1
chr12:8974098-8976486	chr12:8973216-8975416	ENSG00000166535.20_6	A2ML1	+	1318	1.843889027	-0.009979562	0.725798238	-0.013749775	0.989029613	0.999632319	0.081293181	-0.046037774	3.262372161	-0.014111748	0.988740828	NA	c1
chr1:33786071-33787257	chr1:33786498-33788698	ENSG00000184389.9_7	A3GALT2	-	759	3.486861825	0.030168641	0.366845688	0.08223796	0.934457488	0.997694112	2.623031426	0.229322671	0.646788294	0.354556001	0.722922243	0.912243454	c1
chr12:53717815-53719802	chr12:53718447-53720647	ENSG00000094914.14_9	AAAS	-	1355	13.64583989	0.238544192	0.225660681	1.057092403	0.290469418	0.840166319	3.664199879	0.157193695	0.510985652	0.307628393	0.758365113	0.927875935	c1
chr12:125549280-125550965	chr12:125547979-125550179	ENSG00000081760.17_7	AACS	+	899	11.24813082	-0.177956251	0.229506151	-0.775387719	0.43811059	0.928461248	6.290110684	0.077233898	0.462774865	0.166893028	0.867454219	0.961609789	c1
chr3:151531720-151531880	chr3:151529860-151532060	ENSG00000114771.14_7	AADAC	+	160	1.384458215	0.078892866	0.737563647	0.106964147	0.914817423	0.996953992	0	NA	NA	NA	NA	NA	c1
chr3:151451044-151451746	chr3:151449703-151451903	ENSG00000197953.6_6	AADACL2	+	702	1.640707453	-0.414733419	0.706416655	-0.587094622	0.557140159	0.961955295	0.135997082	-0.138778615	3.081156326	-0.045041082	0.964074563	NA	c1
chr4:171010027-171012924	chr4:171012649-171014849	ENSG00000109576.14_10	AADAT	-	275	10.8626136	-0.557163323	0.301172951	-1.849977962	0.064316726	0.419023601	3.397869236	-0.767734124	0.524391785	-1.464046817	0.143181157	0.543124872	c1
chr11:77530434-77532932	chr11:77530154-77532354	ENSG00000087884.16_13	AAMDC	+	1920	22.50564589	0.277337167	0.254941956	1.08784435	0.276663827	0.827920281	4.513537203	-0.994791795	0.499865219	-1.990120053	0.046577712	0.389797534	c1
chr2:219134294-219136003	chr2:219134700-219136900	ENSG00000127837.10_10	AAMP	-	1303	32.64885497	0.755004957	0.292722021	2.579255754	0.009901345	0.125460587	6.845362678	-0.624052542	0.431590032	-1.445938266	0.148194518	0.547338663	c1
chr17:74448323-74449791	chr17:74447432-74449632	ENSG00000129673.10_7	AANAT	+	1309	9.904866118	0.219703156	0.221436198	0.992173629	0.321112834	0.864163085	0.091328527	-0.046037774	3.262372161	-0.014111748	0.988740828	NA	c1
chr20:34823763-34825127	chr20:34822052-34824252	ENSG00000131043.13_8	AAR2	+	489	5.211373468	0.224155672	0.285016885	0.786464537	0.431595387	0.925849706	1.853921181	-0.032658819	0.519966657	-0.062809448	0.949918242	0.98579532	c1
chr8:117949925-117951253	chr8:117948445-117950645	ENSG00000205002.4_6	AARD	+	720	7.636945859	-0.504255158	0.398782813	-1.264485683	0.206055756	0.74597155	0.134575634	-0.231522656	2.469113421	-0.093767526	0.925293829	NA	c1
chr6:44280262-44281509	chr6:44280883-44283083	ENSG00000124608.5_8	AARS2	-	626	6.537533718	0.450335594	0.253261721	1.778143147	0.075380348	0.457937564	6.036019149	-0.141754083	0.313389655	-0.452325343	0.651034621	0.88663488	c1
chr17:41115916-41117561	chr17:41116314-41118514	ENSG00000266967.7_8	AARSD1	-	1247	6.401073504	-0.019909122	0.281306749	-0.070773708	0.943577857	0.997974062	5.744943954	0.593679115	0.318643769	1.863143654	0.062442058	0.419970498	c1
chr4:57252483-57254389	chr4:57253473-57255673	ENSG00000157426.14_7	AASDH	-	916	14.7969215	-0.557662943	0.33079108	-1.685846374	0.091825393	0.509703152	3.033797373	-0.414384762	0.472044812	-0.877850475	0.380024869	0.744308186	c1
chr7:121783108-121785011	chr7:121784161-121786361	ENSG00000008311.16_12	AASS	-	850	8.714856261	-0.547400792	0.370340756	-1.478100323	0.139380928	0.631698122	1.263900871	-1.315236166	1.274077365	-1.03230479	0.301929358	0.68980812	c1
chr17:35305341-35307022	chr17:35304224-35306424	ENSG00000275700.6_8	AATF	+	1083	14.87659912	-0.487408404	0.276599	-1.762148105	0.078044277	0.466796162	3.692099687	-0.47715891	0.423706135	-1.1261553	0.26009979	0.653438905	c1
chr17:79140221-79140782	chr17:79139820-79142020	ENSG00000181409.14_15	AATK	-	561	6.934632931	-0.33204224	0.373966681	-0.887892576	0.374598538	0.899594213	1.811020347	0.370480452	0.759166458	0.488009511	0.625543104	0.875007771	c1
chr16:8767621-8769939	chr16:8766452-8768652	ENSG00000183044.12_10	ABAT	+	1031	5.835639075	0.014665111	0.286532676	0.051181287	0.959181063	0.998670149	1.753912599	0.432534875	0.543715787	0.79551649	0.426313122	0.769962685	c1
chr9:107688658-107690994	chr9:107690235-107692435	ENSG00000165029.17_11	ABCA1	-	759	12.63717118	0.353223359	0.310200727	1.138692878	0.254831274	0.805769871	1.206003865	-0.2368091	1.026944645	-0.230595779	0.817628847	0.945741105	c1
chr2:216001492-216003867	chr2:216003148-216005348	ENSG00000144452.15_8	ABCA12	-	719	2.854339332	0.006554375	0.478507161	0.013697549	0.989071279	0.999632319	1.346145028	0.19742903	0.675090569	0.292448213	0.76994395	0.930643413	c1
chr7:48210807-48211066	chr7:48209054-48211254	ENSG00000179869.15_8	ABCA13	+	259	1.716745204	-0.501771113	0.776370111	-0.646304006	0.518082494	0.953912215	0.076288168	-0.046037774	3.262372161	-0.014111748	0.988740828	NA	c1
chr9:139922520-139924156	chr9:139923166-139925366	ENSG00000107331.18_14	ABCA2	-	990	11.2560624	0.256030185	0.231311208	1.106864587	0.268352479	0.819807608	4.007101778	0.543971163	0.487850463	1.115036685	0.264834702	0.658868648	c1
chr16:2389295-2391622	chr16:2390546-2392746	ENSG00000167972.14_10	ABCA3	-	1076	13.89830994	-0.088544752	0.244567376	-0.362046458	0.717317314	0.985253667	2.376829523	-0.386231277	0.705150678	-0.547728718	0.58387819	0.854816187	c1
chr1:94586276-94587452	chr1:94586503-94588703	ENSG00000198691.14_9	ABCA4	-	949	1.537202312	0.990440931	0.479437606	2.065839054	0.038843679	0.309182688	0	NA	NA	NA	NA	NA	c1
chr17:67322322-67324009	chr17:67323184-67325384	ENSG00000154265.16_8	ABCA5	-	825	24.99687815	-0.343201978	0.312578555	-1.097970326	0.272217447	0.823478638	6.291387137	-0.473441357	0.373425018	-1.26783513	0.204856834	0.607698385	c1
chr19:1039635-1043090	chr19:1037995-1040195	ENSG00000064687.13_9	ABCA7	+	560	11.18574927	-0.086206349	0.257644879	-0.334593684	0.73793161	0.987355732	3.314228244	0.308450717	0.414241281	0.744616076	0.456503847	0.788055926	c1
chr17:67057063-67057274	chr17:67056889-67059089	ENSG00000154258.17_8	ABCA9	-	211	1.754411099	-0.237975452	0.638468129	-0.372728788	0.709350308	0.984389621	0.281574249	-0.584052837	1.960217334	-0.297953103	0.765738957	NA	c1
chr1:229693742-229695374	chr1:229694253-229696453	ENSG00000135776.5_7	ABCB10	-	1121	29.09088846	-0.146317401	0.316213136	-0.462717656	0.643566761	0.977341319	4.077218234	0.128736279	0.335976903	0.383170028	0.7015937	0.90524751	c1
chr2:220082407-220084415	chr2:220083515-220085715	ENSG00000115657.14_13	ABCB6	-	900	16.99403925	-0.302211903	0.281142464	-1.074942213	0.282400601	0.833092397	4.055013128	-1.139203	0.54474317	-2.091266237	0.036504205	0.359031873	c1
chrX:74375108-74378209	chrX:74376366-74378566	ENSG00000131269.19_17	ABCB7	-	1843	3.069636741	0.019831815	0.403603262	0.049136905	0.960810193	0.998699925	2.426274766	-0.192505061	0.471890176	-0.407944626	0.683314329	0.899222178	c1
chr7:150724693-150726187	chr7:150723508-150725708	ENSG00000197150.13_13	ABCB8	+	1015	35.33412261	-0.531356032	0.301168276	-1.764316081	0.077678778	0.465757045	4.949498324	0.425313162	0.30500336	1.39445402	0.163180545	0.561685163	c1
chr12:123466230-123466326	chr12:123465995-123468195	ENSG00000150967.19_14	ABCB9	-	96	9.135373046	1.417071217	0.364895303	3.883500841	1.02963e-4	0.004785482	1.844025414	-0.653294332	0.663684594	-0.984344577	0.324946118	0.704826277	c1
chr16:16042848-16044843	chr16:16040994-16043194	ENSG00000103222.20_13	ABCC1	+	346	4.445581873	0.218124401	0.312768559	0.697398747	0.485553285	0.944625915	2.325413255	0.453159769	0.503941974	0.899230055	0.368530135	0.738549479	c1
chr6:43394812-43396077	chr6:43393103-43395303	ENSG00000124574.15_11	ABCC10	+	491	23.09969866	-0.046981253	0.264231565	-0.177803333	0.858877429	0.995428595	5.06744203	0.930479251	0.256306726	3.630334895	2.83054e-4	0.035191144	c1
chr16:48190450-48190944	chr16:48189728-48191928	ENSG00000140798.17_9	ABCC12	-	494	3.342331032	-0.173133301	0.418235242	-0.413961531	0.67890228	0.980714762	0.048671707	0.046701563	3.262372161	0.014315216	0.9885785	NA	c1
chr17:48712083-48712633	chr17:48710137-48712337	ENSG00000108846.16_6	ABCC3	+	254	6.778995802	0.25440015	0.267224662	0.952008503	0.34109267	0.878999519	0.271919413	0.160125467	1.98227586	0.080778599	0.935618028	NA	c1
chr13:95952656-95954526	chr13:95953528-95955728	ENSG00000125257.16_12	ABCC4	-	998	9.919379297	-0.283044968	0.403934378	-0.700720174	0.483477663	0.943759924	0.570451393	0.23889268	1.006931161	0.237248274	0.812464188	NA	c1
chr3:183733919-183736353	chr3:183735526-183737726	ENSG00000114770.17_9	ABCC5	-	827	18.95438999	-0.434985436	0.230797686	-1.884704491	0.059469746	0.400033069	3.538356734	-0.613576075	0.465945107	-1.316841976	0.187891599	0.588482062	c1
chr16:16316894-16318049	chr16:16317178-16319378	ENSG00000091262.17_7	ABCC6	-	871	4.084883912	-0.751560685	0.466381183	-1.611473	0.107076667	0.553533019	0.376932443	0.934885122	1.195729582	0.781853302	0.434300792	NA	c1
chr11:17497539-17498599	chr11:17498240-17500440	ENSG00000006071.16_16	ABCC8	-	359	8.2862489	-0.520040773	0.381285953	-1.363912749	0.172595028	0.694407238	1.764245391	0.454724444	1.017944587	0.446708446	0.655085583	0.887847778	c1
chr12:22093999-22095368	chr12:22095276-22097476	ENSG00000069431.14_11	ABCC9	-	92	1.810380357	0.021933514	0.720436303	0.030444765	0.975712344	0.998947998	0.18418599	-0.046037774	3.262372161	-0.014111748	0.988740828	NA	c1
chr12:40012483-40014748	chr12:40013404-40015604	ENSG00000173208.4_7	ABCD2	-	1344	4.095477592	1.06375364	0.293209771	3.627961084	2.85668e-4	0.0102023	0.032141004	0.046701563	3.262372161	0.014315216	0.9885785	NA	c1
chr1:94882788-94884858	chr1:94881944-94884144	ENSG00000117528.14_12	ABCD3	+	1356	24.59404056	-0.117940061	0.266702797	-0.442215314	0.658333406	0.978667167	4.515415199	-0.88569143	0.497429458	-1.780536749	0.074988161	0.446970999	c1
chr6:30538436-30539719	chr6:30537169-30539369	ENSG00000204574.14_13	ABCF1	+	933	5.350756122	-0.115141355	0.31726985	-0.362913005	0.716669872	0.985178903	9.018103695	0.278657811	0.432154036	0.644811311	0.519049471	0.824276649	c1
chr3:183903099-183904676	chr3:183901882-183904082	ENSG00000161204.12_8	ABCF3	+	983	27.57830875	-0.375424167	0.297600532	-1.261503683	0.207127434	0.747613269	6.939095495	-1.754091514	0.607373394	-2.887995309	0.003877057	0.153151497	c1
chr21:43618775-43620189	chr21:43617798-43619998	ENSG00000160179.19_11	ABCG1	+	1223	1.862921635	0.163379742	0.503783328	0.324305576	0.745706699	0.987782301	2.096265052	0.669945145	0.594296166	1.127291716	0.259619164	0.653052451	c1
chr4:89152197-89152935	chr4:89152579-89154779	ENSG00000118777.12_13	ABCG2	-	356	0.925364902	0.831917754	0.622088678	1.337297694	0.181125483	0.708813294	0.040441393	0.819523876	3.262372161	0.251204901	0.801655695	NA	c1
chr11:119018833-119019402	chr11:119017761-119019961	ENSG00000172350.10_13	ABCG4	+	569	2.90400709	-0.190666249	0.431597083	-0.441769087	0.65865631	0.978762888	0	NA	NA	NA	NA	NA	c1
chr2:44058701-44059975	chr2:44057080-44059280	ENSG00000143921.9_12	ABCG8	+	579	3.60531019	0.242870709	0.35802709	0.678358471	0.497544433	0.948058481	0.19770925	-0.046037774	3.262372161	-0.014111748	0.988740828	NA	c1
chr2:27346075-27347156	chr2:27344656-27346856	ENSG00000143994.14_7	ABHD1	+	781	6.661340672	0.010715636	0.297055844	0.036072799	0.971224311	0.998947998	1.919384016	-0.556838703	0.658490952	-0.84562848	0.397760032	0.756124566	c1
chr3:111697332-111698898	chr3:111695856-111698056	ENSG00000144827.9_6	ABHD10	+	724	21.81773787	-0.496292135	0.285665031	-1.73732197	0.082330356	0.480730099	5.755923309	-1.553372921	0.578031319	-2.687350791	0.007202127	0.200337081	c1
chr7:73152555-73153868	chr7:73152981-73155181	ENSG00000106077.19_10	ABHD11	-	887	40.79629983	-0.30021622	0.293569983	-1.022639362	0.306478392	0.852786581	9.694904552	-0.383066619	0.455763804	-0.84049373	0.400631616	0.756627026	c1
chr14:51338593-51339413	chr14:51336770-51338970	ENSG00000131969.15_9	ABHD12B	+	377	3.119631393	-0.364549639	0.482244761	-0.75594318	0.449683263	0.932481274	0.768560503	-0.752249283	1.470608624	-0.51152242	0.608985293	NA	c1
chr17:27892633-27896699	chr17:27893854-27896054	ENSG00000168792.5_7	ABHD15	-	2200	12.95588152	-0.20235889	0.263108384	-0.769108484	0.441828912	0.929552684	3.257028516	-2.020761008	1.019248929	-1.982598118	0.047412338	0.391239368	c1
chr6:31669297-31671657	chr6:31670932-31673132	ENSG00000204427.12_8	ABHD16A	-	725	3.185561709	-0.021737946	0.390373283	-0.055685025	0.95559273	0.998498575	5.340588031	0.70205304	0.282001105	2.489540029	0.012790851	0.250648244	c1
chr19:1884708-1886031	chr19:1885294-1887494	ENSG00000129968.17_7	ABHD17A	-	737	9.440004055	0.566827377	0.253991952	2.231674559	0.02563648	0.237004561	4.878787465	0.726652421	0.286140655	2.539493808	0.011101301	0.236269555	c1
chr15:80971955-80972343	chr15:80970024-80972224	ENSG00000136379.12_9	ABHD17C	+	269	1.788894773	0.012024761	0.654279268	0.018378637	0.985336795	0.99942929	1.355318036	0.231775587	0.640189729	0.362042027	0.717320624	0.911310712	c1
chr14:23066436-23068316	chr14:23065198-23067398	ENSG00000100439.11_7	ABHD4	+	962	6.032793793	0.157770292	0.279847059	0.563773272	0.572908444	0.965335389	1.296628493	0.143068916	0.646177521	0.221408066	0.824774712	0.948395639	c1
chr3:43731388-43733229	chr3:43729599-43731799	ENSG00000011198.10_15	ABHD5	+	411	15.95573906	0.042820381	0.245744003	0.174247918	0.861670629	0.995559638	2.361675643	-0.143692189	0.495746766	-0.289849978	0.771931011	0.931584595	c1
chr3:58222757-58224328	chr3:58221258-58223458	ENSG00000163686.15_8	ABHD6	+	701	9.834510377	0.308099856	0.255450678	1.206103103	0.227777739	0.774243205	0.921712651	1.916420246	0.66493174	2.882130797	0.003949957	NA	c1
chr10:27148884-27150446	chr10:27149815-27152015	ENSG00000136754.18_14	ABI1	-	631	25.56665784	0.234172325	0.206978141	1.131386745	0.257892348	0.809035772	4.470015412	0.258657725	0.300259612	0.861446945	0.38899193	0.750239203	c1
chr2:204191351-204194172	chr2:204191002-204193202	ENSG00000138443.17_10	ABI2	+	1851	13.75426473	0.066870715	0.264850869	0.252484407	0.800666666	0.991397274	8.914797679	0.07681963	0.256672226	0.299290777	0.764718191	0.930041465	c1
chr3:100711124-100712398	chr3:100712158-100714358	ENSG00000154175.18_15	ABI3BP	-	240	2.427652652	-0.129136086	0.518827566	-0.248899817	0.803438277	0.991520215	0.164971251	-0.409028908	3.099813483	-0.131952748	0.895021666	NA	c1
chr1:179197743-179200001	chr1:179198618-179200818	ENSG00000143322.22_15	ABL2	-	1383	10.11603904	0.47844486	0.238681665	2.004531265	0.045013181	0.338476516	5.789514381	-0.173508476	0.357603232	-0.485198288	0.627535697	0.87557948	c1
chr10:116526583-116528518	chr10:116527619-116529819	ENSG00000099204.21_16	ABLIM1	-	899	3.515679774	0.307253296	0.334167046	0.919460192	0.357854918	0.889523371	1.963732331	0.403867861	0.467806991	0.863321559	0.387960694	0.749846913	c1
chr4:8158410-8162109	chr4:8160358-8162558	ENSG00000163995.21_13	ABLIM2	-	1751	12.69144148	-0.081819541	0.28420746	-0.287886676	0.773433486	0.989234032	2.640149368	1.143435252	0.638412355	1.791060658	0.073283562	0.443997076	c1
chr5:148520400-148522526	chr5:148519045-148521245	ENSG00000173210.20_6	ABLIM3	+	845	6.258242253	-0.199532856	0.375791181	-0.530967372	0.595441389	0.969277022	0.507799267	-0.178979125	1.209365836	-0.147994196	0.882347349	NA	c1
chr9:136149131-136151545	chr9:136151239-136153439	ENSG00000175164.16_13	ABO	-	306	3.989202796	0.096676958	0.424342067	0.227827891	0.819780043	0.992599603	5.472661662	0.83485035	1.330179155	0.627622487	0.530251274	0.826502365	c1
chr17:1131590-1133158	chr17:1132831-1135031	ENSG00000159842.16_12	ABR	-	327	3.005778569	0.817384671	0.381361164	2.143334845	0.032086221	0.273969656	2.300207472	0.652111018	0.401013177	1.626158581	0.103915925	0.49538176	c1
chr8:107782232-107782647	chr8:107782271-107784471	ENSG00000174429.4_7	ABRA	-	376	1.761268069	1.275132505	0.438935054	2.905059626	0.003671831	0.063343395	0.227762261	0.834685467	2.401794448	0.347525771	0.728196361	NA	c1
chr6:139348715-139352137	chr6:139347881-139350081	ENSG00000146386.8_6	ABRACL	+	1366	11.75310824	-0.553761154	0.274098228	-2.020301838	0.043352088	0.331369445	3.713955747	-1.803464946	0.8042573	-2.24239798	0.024935662	0.315334392	c1
chr6:26594734-26597725	chr6:26595180-26597380	ENSG00000146109.5_6	ABT1	+	2200	8.574744741	0.042824415	0.259956831	0.164736642	0.869151275	0.996050255	5.115688804	0.132678041	0.306401674	0.433019962	0.665000268	0.890857507	c1
chr3:127390359-127392826	chr3:127389777-127391977	ENSG00000114626.18_9	ABTB1	+	1618	16.8143453	-0.43183254	0.266724136	-1.61902311	0.105442291	0.549010956	3.511328648	-0.577170121	0.492144933	-1.172764531	0.240890246	0.637128607	c1
chr11:34378182-34381027	chr11:34379356-34381556	ENSG00000166016.6_8	ABTB2	-	1671	15.56179435	-0.095342348	0.2623852	-0.363367855	0.716330111	0.98515556	1.73165007	-0.161131649	0.839732579	-0.191884479	0.847832695	0.956535054	c1
chr19:55849857-55852772	chr19:55849253-55851453	ENSG00000267531.1	AC020922.1	+	1596	43.35712563	-0.508792086	0.309263716	-1.645172258	0.099934293	0.533959833	1.662421632	-1.610955822	1.091996999	-1.475238323	0.140148482	0.541662707	c1
chr3:38178051-38180731	chr3:38178532-38180732	ENSG00000060971.19_8	ACAA1	-	2199	16.68722189	0.061790408	0.331280108	0.186520128	0.852036896	0.994925691	2.070700017	1.424390211	0.4506491	3.16075237	0.001573622	0.100304435	c1
chr18:47338625-47341521	chr18:47340122-47342322	ENSG00000167315.18_11	ACAA2	-	1399	13.84797078	-0.24210113	0.248285069	-0.975093393	0.329513936	0.871105123	4.604361262	-0.923293701	0.512358622	-1.802045797	0.0715382	0.440345678	c1
chr12:109553607-109554476	chr12:109552391-109554591	ENSG00000076555.16_10	ACACB	+	869	2.47208634	0.173499063	0.459274036	0.377768063	0.7056029	0.98381032	1.274030835	-1.026879009	0.931831784	-1.102000411	0.270461493	0.664092097	c1
chr3:132378027-132380300	chr3:132378725-132380925	ENSG00000240303.8_8	ACAD11	-	1575	11.52165735	-0.245397032	0.251082004	-0.977358106	0.328391896	0.870327362	2.443812448	-0.038023199	0.488518786	-0.077833648	0.93796038	0.982397906	c1
chr11:134122460-134123985	chr11:134121441-134123641	ENSG00000151498.12_4	ACAD8	+	1181	17.19044207	-0.309719267	0.274401186	-1.12870965	0.259020337	0.810155449	4.953647306	-0.32186878	0.371978366	-0.865288976	0.3868802	0.748775381	c1
chr3:128597472-128599306	chr3:128596438-128598638	ENSG00000177646.20_10	ACAD9	+	1166	16.98934043	-0.323918723	0.305528963	-1.060189907	0.289058212	0.839014495	10.22558416	-0.731952633	0.34977248	-2.09265358	0.03638009	0.359031873	c1
chr2:211089116-211091078	chr2:211089970-211092170	ENSG00000115361.8_8	ACADL	-	1108	4.230827806	-0.745950553	0.470051251	-1.586955787	0.112522659	0.568652505	0.356481072	0.164465163	1.276745024	0.128815981	0.89750326	NA	c1
chr1:76189141-76191969	chr1:76188115-76190315	ENSG00000117054.15_14	ACADM	+	1174	14.9690274	-0.273041803	0.282516272	-0.966463989	0.333812058	0.874162426	5.138721769	-0.338782179	0.44896749	-0.754580647	0.450500639	0.783547317	c1
