"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"chr1:95822-96140",1.88722792904606,1.20518126418804,0.30044346685117,4.01134122442093,6.03747746007613e-05,0.00152546627176639
"chr1:96151-96995",1.54417684948654,1.24684850339637,0.341358354879613,3.65260871917459,0.000259589631989062,0.00413714652202437
"chr1:102835-103371",1.45339781852564,1.47968421857319,0.352036182949205,4.20321628923778,2.63148921752483e-05,0.000868326696944656
"chr1:242715-243378",1.62875381420045,1.21296217585461,0.344746769544118,3.51841491497829,0.00043413300630726,0.00588785646059173
"chr1:245745-246423",1.34756387089409,1.62774145107733,0.342597991037266,4.75117044950878,2.02242558694852e-06,0.000152101202866036
"chr1:266527-266992",0.779289392093646,1.41971660213865,0.491107170263591,2.8908488576468,0.00384202847347946,0.0264574347966888
"chr1:384405-386591",2.65226974422374,1.74304154950864,0.252846926550377,6.89366318700876,5.43736783170806e-12,3.92369629368923e-08
"chr1:388031-388554",1.47475742252686,1.1146441754037,0.333611936417452,3.34113997051032,0.000834351487806416,0.00925643708701071
"chr1:397472-398500",0.776717658465604,1.22885403286516,0.465287150971412,2.64106591015805,0.0082645639643849,0.0448199243140006
"chr1:405795-406155",0.96547538597836,1.7674154976395,0.432628171001991,4.08529914625317,4.40200655936114e-05,0.00123540635747475
"chr1:409141-409478",1.20330997951355,1.71373723025291,0.395303261247409,4.33524688069885,1.45596623415139e-05,0.000579750672405372
"chr1:411832-412860",1.40374576588439,1.4324680153186,0.367370786281963,3.89924313203052,9.64938441884483e-05,0.00210331738592228
"chr1:426305-427043",1.36318097785717,1.32390464030044,0.365475316394157,3.62241875419196,0.000291861144048472,0.00447676194088129
"chr1:433455-434405",1.7688231083637,1.05136509854103,0.311363375724317,3.37664985836971,0.000733743895988052,0.00847540301781245
"chr1:441545-442465",2.31785071878982,1.20106615896421,0.282004214102485,4.25903620903951,2.05310214255376e-05,0.000731637105410106
"chr1:531221-531799",1.80372028171578,1.26504380354814,0.300579568432044,4.20868194783554,2.56864647099503e-05,0.000853977528970731
"chr1:540451-541464",3.13043723784365,1.18608660950077,0.236853123677841,5.00768827146246,5.50876575874972e-07,6.24838651461325e-05
"chr1:550339-551702",1.69738737723708,1.26588983637475,0.31245358955211,4.05144917102522,5.09013847298516e-05,0.00136249588721878
"chr1:557120-558238",1.26286286098057,1.52186987974793,0.379461362890811,4.01060563361189,6.05631966407751e-05,0.00152905692748352
"chr1:564484-566792",1195.37639326663,1.0461441786609,0.206418928798467,5.06806320888468,4.01883960219739e-07,5.01850537259426e-05
"chr1:567265-568166",1230.68905127724,1.01216704006481,0.227393632822467,4.45116702478224,8.54048806017626e-06,0.00040283204660335
"chr1:568797-568916",1618.7349801539,1.12303571546951,0.210297161174176,5.34023240826996,9.28275016493431e-08,1.8137298300128e-05
"chr1:569282-569579",1545.24212326804,1.09686923707992,0.206873485939974,5.3021257513792,1.14461948667009e-07,2.09116891984646e-05
"chr1:569890-570013",1567.45145781257,1.03451749153603,0.191758160544018,5.3949072550608,6.85589559807078e-08,1.45764078838678e-05
